20200208,闵行,航华,宝丽花苑 中间楼层双南临河景观 全新精装修 随时看必看好房,348万,2室1厅 | 76.18平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_TQvu4EoMb_1.jpg.296x216.jpg
20200208,闵行,航华,南北户型  满五唯一 无个税 景观楼 采光足,280万,2室1厅 | 67.73平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-eab0fd75-73ef-4d0a-ab17-4a80f12aa9e2.jpg.296x216.jpg
20200208,闵行,航华,华菁公寓 2室1厅 345万,345万,2室1厅 | 99.4平米 | 南 | 精装 | 低楼层(共14层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_0vTQiqBO3_1.jpg.296x216.jpg
20200208,闵行,航华,中间楼层，中装两房，业主方税费免征，欢迎鉴赏。,260万,2室1厅 | 61.87平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2P7vQa1OD.jpg.296x216.jpg
20200208,闵行,航华,税费低，格局方正，南北通风，采光无遮挡,330万,2室1厅 | 75.93平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Qm1WdUfoE_1.jpg.296x216.jpg
20200208,闵行,航华,航华三村三街坊 2室0厅 248万,248万,2室0厅 | 49.8平米 | 南 北 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8aDaZ74Vf_1.jpg.296x216.jpg
20200208,闵行,航华,满五唯一，双南两房，精装修，低楼层，诚意出售,270万,2室1厅 | 62.79平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7I7LlbDb9_1.jpg.296x216.jpg
20200208,闵行,航华,丹桂花园 三房两厅两卫 景观楼层 看房方便 诚意出售房主自荐,480万,3室2厅 | 113.81平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e32425db-8971-4037-8b43-6309197db3c0.jpg.296x216.jpg
20200208,闵行,航华,2015年次新房,交通便捷，采光棒,585万,3室2厅 | 116.63平米 | 南 北 | 毛坯 | 低楼层(共11层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-afc58d8b-32ce-4c25-b371-0c53a42f6ed0.jpg.296x216.jpg
20200208,闵行,航华,永兴小区 1室1厅 220万房主自荐,220万,1室1厅 | 47.8平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7bc916a1-e44a-471f-8ebc-90215d6b5b8e.jpg.296x216.jpg
20200208,闵行,航华,航华底层两房  带院子 交通便利 满五年诚意出售随时看房主自荐,360万,2室1厅 | 76.69平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1a87b1d1-4433-4897-9857-120683344856.jpg.296x216.jpg
20200208,闵行,航华,景观露台，两层复式房，采光充足，视野开阔，买它。房主自荐,493万,3室2厅 | 124.85平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-78992b92-0b6b-4dc5-9b77-cc63c36fc7c5.jpg.296x216.jpg
20200208,闵行,航华,一村正南精装修大一房 户型改动正气 诚意出售房主自荐,232万,1室1厅 | 54.37平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-13fd17a5-6c00-4add-b232-d708de90a7af.jpg.296x216.jpg
20200208,闵行,航华,出门71路电车直达外滩，出行便利 近外环电梯房沪青平,300万,2室1厅 | 92.92平米 | 西南 | 精装 | 低楼层(共14层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-6572278d-3e8f-46d4-99be-cc2595bcefe6.jpg.296x216.jpg
20200208,闵行,航华,满五唯一，看房随时，景观楼层，客厅南北通风采光好房主自荐,638万,3室2厅 | 188.36平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-982ec343-6a9b-4e6d-a968-de6f1240ddc9.jpg.296x216.jpg
20200208,闵行,航华,首付140万起，近地铁大两房，中间楼层，看房方便,395万,2室1厅 | 87平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f6faf81e-50cb-4a40-b6e2-df5f5e3cfab4.jpg.296x216.jpg
20200208,闵行,航华,中间楼层 双南两房 大客厅 居住舒适 好房子,360万,2室2厅 | 82.73平米 | 南 北 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-b1fd3100-f3cc-4e3b-8fcb-6fd301398c8b.png.296x216.jpg
20200208,闵行,航华,税少户型通透，文化公园尽收眼底，邻地铁,235万,1室1厅 | 54.84平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ded1f5df-66bb-4ca8-b9d5-30528adece35.jpg.296x216.jpg
20200208,闵行,航华,春之苑 4室2厅 780万,780万,4室2厅 | 167.14平米 | 南 | 精装 | 高楼层(共5层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8db4cd4f-837e-4ecb-b7d4-84f5e3972b17.jpg.296x216.jpg
20200208,闵行,航华,航华二村 中间楼层 近地铁 交通便利 看房随时,320万,2室1厅 | 68.59平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-91935520-bf0c-4b72-950f-b7490ce1da1e.jpg.296x216.jpg
20200208,闵行,航华,华菁公寓 2室1厅 315万房主自荐,315万,2室1厅 | 71.63平米 | 南 | 其他 | 中楼层(共13层) | 1994年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-28b5a247-f36d-462b-b927-b3a5e3f94c8a.jpg.296x216.jpg
20200208,闵行,航华,温馨的精装婚房 中间楼层 居住舒适 满五年房主自荐,283万,2室1厅 | 65.45平米 | 南 北 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5072323a-a7d3-490f-8f26-dbabc9e3e723.jpg.296x216.jpg
20200208,闵行,航华,中间楼层，户型方正，看房方便，诚意出售,295万,2室1厅 | 71.47平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Eo8H9Hwqp_1.jpg.296x216.jpg
20200208,闵行,航华,南北通风 中间楼层 满五唯一税少 的46平大一房 请拿走,230万,1室1厅 | 46.65平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e7e0f551-e55a-4322-b4d4-442ecea0c075.jpg.296x216.jpg
20200208,闵行,航华,商品房小区里的售后公房 精装修两楼 业主诚心房主自荐,370万,2室1厅 | 66.97平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qkBiocJlI_1.jpg.296x216.jpg
20200208,闵行,航华,售后公房 税少 无抵押 产权清晰 近地铁 小区中间位置房主自荐,265万,2室1厅 | 65.45平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-accd3467-9372-4496-8522-ddf7e2f681eb.png.296x216.jpg
20200208,闵行,航华,高区景观两房 采光无遮挡 户型方正 看房随时,285万,2室1厅 | 72.4平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mD0gNJH2D_1.jpg.296x216.jpg
20200208,闵行,航华,航华一村 1室1厅 178万,178万,1室1厅 | 41.07平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/e6a5d2ec-4490-4c40-b5fc-32b7610db85a_1000.jpg.296x216.jpg
20200208,闵行,航华,98年商品房，1房2厅，居家装修满五年，看房提前约房主自荐,268万,1室2厅 | 61.34平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-41f83ffb-fc49-4711-bb0d-ee531ff9c75e.jpg.296x216.jpg
20200208,闵行,航华,满五唯一商品房，南北户型，实用得房率高，居住舒适,430万,2室2厅 | 94.6平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5bff27f7-7641-4652-8b0e-db865230d0c3.jpg.296x216.jpg
20200208,闵行,航华,航华大一房 客厅有窗 全明户型 西边套 采光无忧,235万,1室1厅 | 52平米 | 南 北 | 毛坯 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GMT1YYYCa_1.jpg.296x216.jpg
20200208,闵行,航华,动迁房不含税，房东看好一手，随时可签，地铁近，急卖,288万,2室1厅 | 72.41平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_HN5DpzsZU_1.jpg.296x216.jpg
20200208,闵行,航华,航华四村精装大一房，近地铁明户型，看房随时，诚意售,230万,1室1厅 | 49.66平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_bG2weHXlx_1.jpg.296x216.jpg
20200208,闵行,航华,近十号线航中路站 商品房  小区中位置 采光佳,360万,2室1厅 | 82.06平米 | 南 北 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6jYIv6XMo_1.jpg.296x216.jpg
20200208,闵行,航华,航华四村 2室1厅 265万,265万,2室1厅 | 52.14平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8FQWp1qjz_1.jpg.296x216.jpg
20200208,闵行,航华,10号线800米，双南户型，中间楼层，业主诚意出售。,286万,2室1厅 | 66.9平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/5f1a26a9-13ad-4a42-a8dd-666eecacaae4_1000.jpg.296x216.jpg
20200208,闵行,航华,繁华地段，位置安静，全明户型，双南两房。,360万,2室1厅 | 76.7平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Ha3nYnhsW_1.jpg.296x216.jpg
20200208,闵行,航华,西边套全明户型两房，南北通透，客厅带窗户,278万,2室1厅 | 67平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7hVubusb4_1.jpg.296x216.jpg
20200208,闵行,航华,航华四村 南北两房 居家精装 满五年税费少 诚意出售房主自荐,235万,2室1厅 | 52.14平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/c5f6bd1a-5559-418b-994c-4b5e6000e7f4_1000.jpg.296x216.jpg
20200208,闵行,航华,品质小区  全明大两房 楼层低 适宜人群广 户型正气,420万,2室1厅 | 89.9平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2N4uKF0jr_1.jpg.296x216.jpg
20200208,闵行,航华,精装大一房，全明户型，近地铁，一梯两户，,249万,1室1厅 | 54.49平米 | 南 | 其他 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Md6OnUbGk_1.jpg.296x216.jpg
20200208,闵行,航华,满五年唯一精装双南户型景观楼层视野开阔,310万,2室1厅 | 68.59平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_EwqUJrwCP_1.jpg.296x216.jpg
20200208,闵行,航华,低楼层，大三房，单价低，诚心卖房主自荐,370万,3室1厅 | 89.55平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/02555604-5a1a-4ac4-b32c-bfcbf75b4f7f_1000.jpg.296x216.jpg
20200208,闵行,航华,丹桂花园 2室1厅 378万,378万,2室1厅 | 81.5平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CPlhFyFuQ_1.jpg.296x216.jpg
20200208,闵行,航华,商品房，一梯两户，近2.9米层高，带固定车位。,500万,2室2厅 | 108.98平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,https://image1.ljcdn.com/310000-inspection/pc1_f1GnKYqj8_1.jpg.296x216.jpg
20200208,闵行,航华,沪江新苑 2室1厅 370万,370万,2室1厅 | 73.71平米 | 南 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ALZNaX4js_1.jpg.296x216.jpg
20200208,闵行,航华,此房是满五唯一的房改售房，没有增值税个税，双南两房,290万,2室1厅 | 66.57平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dtY1fLyRz_1.jpg.296x216.jpg
20200208,闵行,航华,面对公园，坐拥地铁，花园位置，中间楼层，诚意出售！,500万,2室2厅 | 100.34平米 | 南 | 简装 | 中楼层(共5层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hrVebSUBp_1.jpg.296x216.jpg
20200208,闵行,航华,售后公房1个点个税，中间楼层，近71路，交通便利,290万,2室1厅 | 67.73平米 | 南 北 | 毛坯 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_S4rzCQAZI_1.jpg.296x216.jpg
20200208,闵行,航华,广达新苑   一室两厅  业主诚意出售,320万,1室2厅 | 66.88平米 | 南 | 其他 | 中楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_uFD2QESDI_1.jpg.296x216.jpg
20200208,闵行,航华,一梯两户 商品房  户型正气   双南全明格局房主自荐,350万,2室2厅 | 86.03平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_32yGbOJnK_1.jpg.296x216.jpg
20200208,闵行,航华,航华四村 南北两居室 售后公房 中间楼层 随时看房,250万,2室1厅 | 56.3平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_bY7a5gBUo_1.jpg.296x216.jpg
20200208,闵行,航华,航华一村 2室1厅 258万,258万,2室1厅 | 60.4平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OjrVszwzi_1.jpg.296x216.jpg
20200208,闵行,航华,婚房装修南北两房，一梯两户通风好，看房方便拎包住,395万,2室1厅 | 81.03平米 | 南 | 其他 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2ca0cf13-0e9f-4e57-bbcb-c8babe516b27.png.296x216.jpg
20200208,闵行,航华,满五年唯一 一梯两户商品房 精装修 大大大两房,450万,2室2厅 | 106.27平米 | 南 北 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4a2902b5-cd36-4de9-944e-3fb87e201577.jpg.296x216.jpg
20200208,闵行,航华,一梯两户，中间楼层，近地铁站，双南两房，诚意出售,338万,2室1厅 | 74.58平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7af4f0f2-1c4c-47b3-8a35-b33b3bf7b8b6.jpg.296x216.jpg
20200208,闵行,航华,全南户型，万科11年承建，中高楼层，近地铁。,368万,1室1厅 | 57.36平米 | 南 | 简装 | 高楼层(共12层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f60ddb00-a217-46e7-a174-f24b36b2823e.jpg.296x216.jpg
20200208,闵行,航华,航华四村 2室1厅 242万,242万,2室1厅 | 52.14平米 | 南 北 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_o64CAfvPP_1.jpg.296x216.jpg
20200208,闵行,航华,我不想爬楼梯，我不想装修，您可以选择：精装电梯两房,355万,2室2厅 | 96.78平米 | 南 | 精装 | 低楼层(共14层) | 1997年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/test-38f38d64-f37b-4be3-b12f-4ffa358e7f34.png.296x216.jpg
20200208,闵行,航华,好房在手 看房跟我走 三楼精装大一房 满五唯一无个税,215万,1室1厅 | 47.8平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-10a18f04-9577-4a4b-a049-29943108e07a.png.296x216.jpg
20200208,闵行,航华,一村经典小一房 适合刚需客户，给您安一个舒心的家!!,160万,1室1厅 | 31.54平米 | 南 | 其他 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-433943b6-ae69-4d9d-92b3-f20e88abd81a.png.296x216.jpg
20200208,闵行,航华,位置好，楼层低，看房方便，诚意售房房主自荐,288万,2室1厅 | 64.74平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ddfc48b1-a678-47a4-9f0a-0df2f411b84a.jpg.296x216.jpg
20200208,闵行,航华,航华成熟小区，小区中当位置，家电全宋，全明户型房主自荐,340万,2室1厅 | 75.83平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-23a20780-c2b6-43a2-92fd-83e45d7092f1.jpg.296x216.jpg
20200208,闵行,航华,航华四村精装大一房，满五年，地铁航中路，有固定车位,273万,1室1厅 | 55.04平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-933ca1bd-9dcd-4faa-bce1-633142a9fb82.jpg.296x216.jpg
20200208,闵行,航华,中间楼层 边套全明 总价低 单价低 近地铁,255万,2室1厅 | 62.74平米 | 南 | 毛坯 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-4a4906bb-50da-4a48-8df5-2771538e1868.png.296x216.jpg
20200208,闵行,航华,一村双卧朝南一梯两户全明采光无遮挡看房随时业主急售房主自荐,320万,2室1厅 | 78.5平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-6aa27e9c-c799-47a5-8110-821c5d6abf60.png.296x216.jpg
20200208,闵行,航华,低总价一房，采光充足，看房随时，房东诚心出售房主自荐,166万,1室1厅 | 38.84平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c36486b1-b067-4d38-9603-7227d729b908.jpg.296x216.jpg
20200208,闵行,航华,地铁大一房，售后公房满五唯一，交通便利，诚意出售,233万,1室1厅 | 57.7平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-43b5c4d2-a466-4355-9d27-13808f78811f.png.296x216.jpg
20200208,闵行,航华,航华四村 南北两房 交通便利 诚意出售 随时看房 税少,230万,2室1厅 | 52.34平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-9b00ca87-ec25-4695-88ef-24cf963a0b33.png.296x216.jpg
20200208,闵行,航华,精装两房，南北通透，南北双阳台景观视野，近十号线,380万,2室1厅 | 81.03平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6d0d4f62-6fac-45b9-a28d-dbad3353eaa9.jpg.296x216.jpg
20200208,闵行,航华,航华二村信利苑 1室1厅 278万,278万,1室1厅 | 61.34平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ca596c16-cb90-43f3-beb2-c630c62ba3fc.jpg.296x216.jpg
20200208,闵行,航华,动迁房 精装修 南北两房户型正气 业主自住看房随时,270万,2室1厅 | 60.31平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a0274170-06b3-4701-8fd8-ac84732d4af0.jpg.296x216.jpg
20200208,闵行,航华,71路公交直达外滩 电梯 满五唯一 停车方便 急售！!!!,330万,2室1厅 | 89.98平米 | 东南 | 精装 | 低楼层(共14层) | 1997年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-c78fd4c9-bfb8-48f5-9285-342f610e0f7d.jpg.296x216.jpg
20200208,闵行,航华,航华一村一房 一梯两户 满五唯一 户型端正 看房随时房主自荐,187万,1室1厅 | 40.87平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-36a3f1f0-3c22-4028-be5a-a3731bfb9e9e.jpg.296x216.jpg
20200208,闵行,航华,春晖小区 一楼带天井 精装修 家具家电不带走,205万,1室0厅 | 36.3平米 | 南 北 | 精装 | 低楼层(共6层) | 1995年建 | 暂无数据,https://image1.ljcdn.com/310000-inspection/prod-ba60a3d4-caf1-49f7-99e1-fb4087a73f65.jpg.296x216.jpg
20200208,闵行,航华,沪光小区 2室1厅 310万,310万,2室1厅 | 69.58平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f63eaf9d-ef5b-4b8d-a855-f69267f36e06.jpg.296x216.jpg
20200208,闵行,航华,单价低户型正，采光好通风棒，出行便环境佳。速来看。,233万,1室1厅 | 57.7平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fd17279b-a4fa-4109-a68c-fdbd8c9f2466.jpg.296x216.jpg
20200208,闵行,航华,次顶楼采光好，售后公房满五唯一省税，精装修，近地铁,325万,2室1厅 | 70.64平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9372b9e3-12d6-4f0a-9c1b-e612a75b2ae9.jpg.296x216.jpg
20200208,闵行,航华,三村售后公房无增值税，交通方便，产权清晰，诚意出售,254万,2室1厅 | 62.65平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b8b82bf6-136f-4c0b-8c38-b876405e55a0.jpg.296x216.jpg
20200208,闵行,航华,满五唯一 免征个税 朝南大一房 高楼层采光通风好房主自荐,252万,1室1厅 | 58.88平米 | 南 北 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_d0xsY9E26_1.jpg.296x216.jpg
20200208,闵行,航华,航华繁华板块，低总价一房，采光好，看房随时。房主自荐,195万,1室1厅 | 43.1平米 | 南 | 其他 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/981dad02-37a7-4114-984d-cab65646431c_1000.jpg.296x216.jpg
20200208,闵行,航华,航华繁华板块，低总价一房，采光好，不临街房主自荐,168万,1室1厅 | 38.84平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c01d6ed8-9e6b-46f6-81fa-c127abb9f788.jpg.296x216.jpg
20200208,闵行,航华,精装两房 业主急卖 价格可谈 近71路房主自荐,249万,2室1厅 | 58.24平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-f6d31d16-68f3-4bd7-ad30-97780b65fe2a.png.296x216.jpg
20200208,闵行,航华,总价低，户型好，诚意卖，随时看房,198万,1室1厅 | 49.86平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-9dc6e4aa-60e1-475f-a97b-b0e9746b429f.png.296x216.jpg
20200208,闵行,航华,品质小区 满五不沿街，东边套，全明户型 景观楼层房主自荐,448万,3室2厅 | 100.28平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-1eea4237-8c73-4e23-88b1-8fee4b4eee40.png.296x216.jpg
20200208,闵行,航华,此房南北两房，景观楼层，户型正，单价低，诚心卖,258万,2室1厅 | 62.08平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8dce2107-49c6-4be8-aeb8-223072dc7f3a.jpg.296x216.jpg
20200208,闵行,航华,原外销房，一梯一户，精装修，满五唯一，看房随时,596万,3室2厅 | 151.49平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/bdb81a62-1e3e-4e4a-9f21-4d584df7505f_1000.jpg.296x216.jpg
20200208,闵行,航华,品质小区 少有户型 中间楼层 采光好 交通便利,180万,1室1厅 | 35.84平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4bed470d-e1d9-4f17-8f15-76925a4cbe92.jpg.296x216.jpg
20200208,闵行,航华,刚需小一房 总价低 景观楼层 给您一个安静舒心的家!,159万,1室0厅 | 31.54平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-215b0704-7ca4-4ea2-99ee-2c07c15882c1.jpg.296x216.jpg
20200208,闵行,航华,明星花园，景观楼层，户型正气，产权清晰，看房随时,525万,3室2厅 | 108.45平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-5be61d88-c871-4ed8-9f34-ebd2b41e7326.png.296x216.jpg
20200208,闵行,航华,满五唯一 普通住宅 没有个税增值税 可以一改二,210万,1室1厅 | 54.86平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ad5804f8-8b17-4d22-9da7-b004d723de60.jpg.296x216.jpg
20200208,闵行,航华,近地铁，双南精装开放，一梯两户，看房周末，景观层,320万,2室1厅 | 71.98平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-a7824a88-c664-46fc-a19c-668e7d0a338b.png.296x216.jpg
20200208,闵行,航华,98年商品房，临河景观，适宜楼层，近地铁，出行方便房主自荐,345万,2室1厅 | 82.09平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-53cc8aff-e9cf-4ee5-8745-fda4977ae678.png.296x216.jpg
20200208,闵行,航华,正气三房，71路无轨电车，未来虹桥商务区,固定车位,585万,3室2厅 | 144.91平米 | 南 北 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-740f55d1-ec38-49d7-a9a0-e780a921b7ea.jpg.296x216.jpg
20200208,闵行,航华,沪光小区 3室1厅 395万,395万,3室1厅 | 86.53平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9261e563-e524-4f2a-8edc-0b70b1149948.jpg.296x216.jpg
20200208,闵行,航华,航华三村四街坊 2室2厅 396万,396万,2室2厅 | 87.84平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-e145e7de-adca-443d-9c01-12d3772de294.png.296x216.jpg
