20200208,宝山,罗店,满5唯一0个税，带地下产权车位，精装3房必看好房,306万,3室2厅 | 87.86平米 | 南 北 | 精装 | 中楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IB6X44PGy_1.jpg.296x216.jpg
20200208,宝山,罗店,罗南二村 2室1厅 205万,205万,2室1厅 | 69.63平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pfozZouup_1.jpg.296x216.jpg
20200208,宝山,罗店,铂珏公馆 3室2厅 730万,730万,3室2厅 | 210.95平米 | 南 | 精装 | 中楼层(共8层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_seyXFXaLA_1.jpg.296x216.jpg
20200208,宝山,罗店,房子是11年的商品房，一楼带地下室40平方，近地铁。,439万,3室2厅 | 135.89平米 | 南 | 精装 | 低楼层(共7层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8ed47818-94bd-4a0f-9afc-44cc7125d6f3.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖颐景园 3室2厅 398万,398万,3室2厅 | 126.83平米 | 南 | 精装 | 中楼层(共5层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-375b6d56-791c-47e5-989a-40d25551bf16.jpg.296x216.jpg
20200208,宝山,罗店,万科琥珀郡园，中间楼层，带车位，诚意出售,413万,3室2厅 | 89.11平米 | 南 | 精装 | 中楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-545a8214-d2d2-40d6-94b1-6ad43709eee7.jpg.296x216.jpg
20200208,宝山,罗店,万科琥珀郡园 3室2厅 390万,390万,3室2厅 | 99.22平米 | 南 | 精装 | 低楼层(共8层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-cc8b1664-3608-46b2-abd7-aef8cc3143c6.jpg.296x216.jpg
20200208,宝山,罗店,万科琥珀郡园 3室1厅 415万,415万,3室1厅 | 99平米 | 东南 南 | 精装 | 低楼层(共8层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-faf1d6fb-ac9b-488f-82fe-42fe5f49cca5.jpg.296x216.jpg
20200208,宝山,罗店,罗南二村 2室1厅 185万,185万,2室1厅 | 65.45平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-187cfd46-69af-4a87-af4a-df466890014b.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖颐景园  精装两房 满五唯一免个税 随时看房,289万,2室1厅 | 83.87平米 | 南 | 精装 | 中楼层(共5层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-ef9cffa3-1937-4e35-9a4c-74f2f53175a4.png.296x216.jpg
20200208,宝山,罗店,近地铁；出行方便；精装修可拎包入住；看房方便,355万,3室2厅 | 90.86平米 | 南 | 精装 | 中楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-08596294-dad0-4c21-9eee-fca8a2b4f5e3.jpg.296x216.jpg
20200208,宝山,罗店,罗南二村，精装修，满二唯一，低楼层,280万,3室2厅 | 103.05平米 | 南 | 精装 | 低楼层(共5层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1be7fcd6-edcc-4702-acab-f3cd5116816d.jpg.296x216.jpg
20200208,宝山,罗店,万科琥珀郡园 4室2厅 430万,430万,4室2厅 | 89平米 | 南 北 | 精装 | 中楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-87d6c51a-0830-4575-8b01-5794dac058c4.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖岭域一楼带花园带地下室，带采光天井，精装修,420万,3室2厅 | 128平米 | 南 | 精装 | 低楼层(共7层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4c21ce11-a37f-4863-8bdf-9225a00d94a1.jpg.296x216.jpg
20200208,宝山,罗店,万科顶复，东边套，小区中间位置，采光好,438万,3室2厅 | 80.53平米 | 南 | 毛坯 | 高楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-5a46fe0e-f3a6-457e-bb75-e0d50baa63a2.png.296x216.jpg
20200208,宝山,罗店,中间楼层，双南户型，税费少，诚心出售,225万,2室1厅 | 83平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f106af33-702a-4391-a49f-29f2ea56fce8.jpg.296x216.jpg
20200208,宝山,罗店,双南户型，采光好，房东诚心卖，诚心卖，诚心卖！！！,190万,2室1厅 | 69.83平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3a1b298c-fe13-4dd5-b180-a88005ad24e7.jpg.296x216.jpg
20200208,宝山,罗店,远洋7号 3室2厅 410万,410万,3室2厅 | 104.12平米 | 南 | 简装 | 中楼层(共11层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WIuKqhc1X_1.jpg.296x216.jpg
20200208,宝山,罗店,万科臻园顶楼复式，装修拎包入住，标准4房，满五唯一,630万,4室2厅 | 157平米 | 南 | 精装 | 高楼层(共5层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_gpNOsqc8S_1.jpg.296x216.jpg
20200208,宝山,罗店,金辉兰湖美域 3室2厅 690万,690万,3室2厅 | 230.83平米 | 南 | 精装 | 低楼层(共6层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_q11rIeriG_1.jpg.296x216.jpg
20200208,宝山,罗店,新装修，房东诚心出售，家具家电齐全,197万,2室1厅 | 70.02平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6K0sHEcJD_1.jpg.296x216.jpg
20200208,宝山,罗店,满五唯一0个税 顶楼复式电梯房,365万,3室1厅 | 86.69平米 | 南 | 其他 | 高楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SG75fZkiJ_1.jpg.296x216.jpg
20200208,宝山,罗店,业主诚心卖，采光充足，出行便利，配套齐全,192万,2室1厅 | 69.95平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_shj6qzJDk_1.jpg.296x216.jpg
20200208,宝山,罗店,近地铁，双南户型，中等装修，中间楼层，业主诚心出售,198万,2室1厅 | 69.83平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yClJUO84p_1.jpg.296x216.jpg
20200208,宝山,罗店,罗南二村 2室1厅 186万,186万,2室1厅 | 69.63平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_lZ1TYVaqi_1.jpg.296x216.jpg
20200208,宝山,罗店,远洋七号丨97平精装两房丨前排景观丨近地铁M7,380万,2室1厅 | 97.13平米 | 南 北 | 其他 | 高楼层(共12层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_tHYJMYAGw_1.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖岭域 2室1厅 380万,380万,2室1厅 | 150.7平米 | 南 | 精装 | 低楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_3VMxoY738_1.jpg.296x216.jpg
20200208,宝山,罗店,3楼简装双南两房，随时可看，业主诚心卖，价格可谈,198万,2室1厅 | 69.73平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yWS0pApq1_1.jpg.296x216.jpg
20200208,宝山,罗店,罗南二村 2室1厅 195万,195万,2室1厅 | 65.35平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ptStfDqL7_1.jpg.296x216.jpg
20200208,宝山,罗店,罗南二村 2室1厅 200万房主自荐,200万,2室1厅 | 69.73平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_aFucOLoSD_1.jpg.296x216.jpg
20200208,宝山,罗店,罗南二村 2室1厅 205万,205万,2室1厅 | 69.63平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_vAb1fj1Ql_1.jpg.296x216.jpg
20200208,宝山,罗店,户型方正，中间楼层，附带家具家电,295万,2室2厅 | 83.78平米 | 南 | 精装 | 中楼层(共5层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_3rfElXYVg_1.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖颐景园 2室2厅 293万,293万,2室2厅 | 91.08平米 | 南 | 精装 | 中楼层(共5层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4R9Kl0NZ3_1.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖岭域 3室2厅 369万,369万,3室2厅 | 142.97平米 | 南 | 其他 | 低楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-c64088de-a2fd-4ae8-9b5d-5cf43df91883.png.296x216.jpg
20200208,宝山,罗店,双南一北三房，中等装修，家具家电齐全,252万,3室2厅 | 90.41平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-f8cd0d9c-b0a5-460f-8a07-83a06d558c6f.jpg.296x216.jpg
20200208,宝山,罗店,满五唯一 三房户型 两房朝南  通透户型  业主诚意卖,225万,3室1厅 | 85.59平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2174579c-8466-4061-a857-7edc4554b71d.jpg.296x216.jpg
20200208,宝山,罗店,地铁电梯好房，万科物业。舒适度有保证,595万,3室2厅 | 142.45平米 | 南 | 精装 | 中楼层(共8层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5bfc00a2-bc15-4c40-abd5-e048b44b3aac.jpg.296x216.jpg
20200208,宝山,罗店,此房户型方正，两房朝南，采光好，楼层好,210万,3室1厅 | 75.79平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7a858d22-3c12-49b2-b91f-3d675aafac32.jpg.296x216.jpg
20200208,宝山,罗店,万科 大平层 花园洋房 有电梯 空调 带地暖,535万,3室2厅 | 157.77平米 | 南 北 | 精装 | 中楼层(共5层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-9250e3ca-408e-40c8-a53d-5b4a180cd2c2.png.296x216.jpg
20200208,宝山,罗店,罗南二村 2室1厅 198万,198万,2室1厅 | 69.72平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0G0u6efsR_1.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖颐景园 2室2厅 298万,298万,2室2厅 | 83.81平米 | 南 | 精装 | 中楼层(共5层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8ec1f994-3929-4522-8b42-3d80a24dfb61.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖颐景园 2室2厅 310万房主自荐,310万,2室2厅 | 88.36平米 | 南 北 | 精装 | 高楼层(共5层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-21792953-5d0a-4b0a-a11c-02a56de09b64.png.296x216.jpg
20200208,宝山,罗店,罗南二村 2室1厅 240万,240万,2室1厅 | 84平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e34eeb67-3cd2-407b-8caa-12257e492995.jpg.296x216.jpg
20200208,宝山,罗店,此房满五唯一，高楼层，采光通风好，配套设施齐全,137万,1室1厅 | 47平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-33b23059-0e1a-4357-834e-674fe524c1dd.jpg.296x216.jpg
20200208,宝山,罗店,此房采光好，税费少，家具及电齐全，干净整洁,273万,2室2厅 | 93.11平米 | 南 | 精装 | 中楼层(共5层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ba9dac3f-a1d3-4ded-919c-9d33363c267c.jpg.296x216.jpg
20200208,宝山,罗店,此房户型方正，两房朝南，采光好，楼层好，地铁近,194万,2室1厅 | 69.63平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0f3f8bcf-65a4-406c-adfa-ee97806858c0.jpg.296x216.jpg
20200208,宝山,罗店,远洋七号丨102平精装三房丨满五唯一丨带车位,400万,3室2厅 | 102.65平米 | 南 | 精装 | 中楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c3b24647-d1aa-4662-b4a3-09e512d5157c.jpg.296x216.jpg
20200208,宝山,罗店,远洋七号丨107平精装3房丨满两年丨次顶楼丨诚心售房主自荐,420万,3室1厅 | 107.17平米 | 南 | 其他 | 高楼层(共12层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-72e37ce1-1532-48d7-b3a5-78c5b11c59ce.jpg.296x216.jpg
20200208,宝山,罗店,远洋7号 3室2厅 420万房主自荐,420万,3室2厅 | 107.06平米 | 南 | 其他 | 中楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e367ebad-007d-48e7-9a9d-afbf428db17a.jpg.296x216.jpg
20200208,宝山,罗店,罗南二村 2室1厅 208万房主自荐,208万,2室1厅 | 69.63平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e1ea40ad-7fec-4cc2-ae0a-60dea91db390.jpg.296x216.jpg
20200208,宝山,罗店,此房满两年 两房朝南一房朝北  采光通风,428万,3室2厅 | 117.39平米 | 南 | 精装 | 中楼层(共5层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fd685395-69dc-4a58-8b4a-49809ecd41a6.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖岭域 3室2厅 370万,370万,3室2厅 | 90.96平米 | 南 | 精装 | 中楼层(共7层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5NvAYCRI3_1.jpg.296x216.jpg
20200208,宝山,罗店,万科琥珀郡园 3室2厅 496万,496万,3室2厅 | 115平米 | 南 | 精装 | 高楼层(共8层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7330c758-bec3-4fec-85ea-a308d75b44d3.jpg.296x216.jpg
20200208,宝山,罗店,欧式精装，中~央空调加地暖3房朝南大平层，单价3万多房主自荐,470万,3室2厅 | 153.68平米 | 南 东 西 | 精装 | 中楼层(共9层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/327f2ab0-9ecb-42a5-a5f4-d68ae182f69b.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖精装大别墅 满五唯一 税费少，户型佳房主自荐,620万,4室3厅 | 216.86平米 | 南 | 精装 | 低楼层(共4层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/ab52490b-093b-4b4a-b67c-f9dcdc1fa766.jpg.296x216.jpg
20200208,宝山,罗店,万科琥珀郡园 4室2厅 680万,680万,4室2厅 | 218.6平米 | 南 | 精装 | 低楼层(共8层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/18cb0c81-5917-4042-9b9e-3e6391349989.jpg.296x216.jpg
20200208,宝山,罗店,一手动迁，税少，全明户型，精装，采光好房主自荐,320万,3室2厅 | 126.96平米 | 南 | 精装 | 低楼层(共5层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/5b73799d-f694-4eff-a837-867f6e6ea043.jpg.296x216.jpg
20200208,宝山,罗店,罗南2005年新小区，房型正气,业主诚心出售,310万,3室2厅 | 126.96平米 | 南 | 毛坯 | 中楼层(共5层) | 2005年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20171126/93d7cf87-83bc-4354-a63c-37ab8848470b.jpg.296x216.jpg
20200208,宝山,罗店,一手新房子买来就没有住过，5楼采光视野都没得说~,405万,3室2厅 | 99.11平米 | 南 | 精装 | 中楼层(共7层) | 2012年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20170905/8715663b-d3b6-4a1f-8a56-15412d9502b7.jpg.296x216.jpg
20200208,宝山,罗店,拥有下叠别墅房型的精装修地铁花园洋房,415万,4室3厅 | 102平米 | 南 | 精装 | 低楼层(共11层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/de265262-b841-484c-89f5-16ab0fdf6714.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖花园 4室2厅 800万,800万,4室2厅 | 185平米 | 西南 | 精装 | 下叠(共3层) | 2012年建 | 板楼 | 叠拼别墅,https://image1.ljcdn.com/310000-inspection/b94ca5be-336d-468f-8d9c-80551af328a9.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖花园 5室3厅 1200万,1200万,5室3厅 | 341.51平米 | 南 | 精装 | 低楼层(共1层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/21a09f6b-8a0b-4f9f-bc0a-4ccf6bcbe34d.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖中华园 4室2厅 600万房主自荐,600万,4室2厅 | 158.13平米 | 南 | 精装 | 低楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-080ab05c-245c-4fac-a8f4-81836ade22e9.png.296x216.jpg
20200208,宝山,罗店,美兰湖岭域 南北通透，格局好，带地下室，配套设施齐,760万,5室2厅 | 217.95平米 | 暂无数据 | 毛坯 | 低楼层(共3层) | 2011年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20171209/976e8011-56b0-478e-8b94-908031fd4b31.jpg.296x216.jpg
20200208,宝山,罗店,精装保养好，正气三房，带独卫有飘窗，交通便利,530万,3室2厅 | 138.54平米 | 南 | 精装 | 中楼层(共6层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/6e4898b4-4ec4-4729-bc03-b9ffac9b3acd.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖花园下叠别墅，大四房，精装修，带花园,750万,4室2厅 | 314平米 | 南 | 精装 | 低楼层(共4层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/7c39078a-4101-49ca-8ae6-6aa689abc114.jpg.296x216.jpg
20200208,宝山,罗店,万科琥珀郡园 4室2厅 750万,750万,4室2厅 | 177平米 | 南 北 | 精装 | 中楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/2b49710f-c266-4542-ba2e-f990661ca2ad.jpg.296x216.jpg
20200208,宝山,罗店,三房两厅两卫，三开间朝南大三房,390万,3室2厅 | 127.06平米 | 南 北 | 毛坯 | 中楼层(共5层) | 2007年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20170318/922ae0b9-b878-4bbb-bb7d-57e85b2391e0.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖花园︱216平上叠别墅︱满五少税︱带露台+花园,800万,4室3厅 | 196.79平米 | 西南 | 精装 | 中楼层(共4层) | 2010年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20170714/ef575844-424c-4d26-adc3-05bfb3bb3df8.jpg.296x216.jpg
20200208,宝山,罗店,金辉兰湖美域 4室2厅 550万,550万,4室2厅 | 205平米 | 南 | 毛坯 | 低楼层(共6层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/rsp_pic_uploada66a8e2f-1690-48cd-8b67-80d9404acb78.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖颐景园 6室2厅 620万,620万,6室2厅 | 226.51平米 | 南 | 简装 | 低楼层(共4层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/214eff93-b6aa-467d-af11-571932d3c528.jpg.296x216.jpg
20200208,宝山,罗店,欧式风格的上叠别墅 品质享受 上下三层 私家车位房主自荐,608万,3室2厅 | 151平米 | 西南 | 精装 | 下叠(共4层) | 2012年建 | 板楼 | 叠拼别墅,https://image1.ljcdn.com/310000-inspection/de548c47-a1c5-4b10-920e-e95887a39012.jpg.296x216.jpg
20200208,宝山,罗店,金辉兰湖美域 5室3厅 650万,650万,5室3厅 | 206平米 | 南 | 精装 | 高楼层(共5层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_v5yUCiawA_1.jpg.296x216.jpg
20200208,宝山,罗店,朗诗绿岛(公寓) 4室2厅 750万房主自荐,750万,4室2厅 | 174.07平米 | 南 | 精装 | 高楼层(共7层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1KwlquHbv_1.jpg.296x216.jpg
20200208,宝山,罗店,富丽苑 顶楼复式 得房率高 看房方便 诚心出售,375万,3室2厅 | 126.96平米 | 南 | 精装 | 高楼层(共5层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_oQKfcX0Qm_1.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖中华园 3室2厅 680万,680万,3室2厅 | 167.07平米 | 南 | 精装 | 低楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_DQWu2xJbo_1.jpg.296x216.jpg
20200208,宝山,罗店,顺驰美兰湖 3室2厅 381万房主自荐,381万,3室2厅 | 115平米 | 南 北 | 精装 | 中楼层(共5层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7NqtaeW9M_1.jpg.296x216.jpg
20200208,宝山,罗店,此房是万科低楼复式，带花园，有地暖，精装修自住,540万,3室2厅 | 117.4平米 | 南 | 精装 | 低楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20161003/301834aa-ca6e-45c0-919c-561b6c48d5ad.jpg.296x216.jpg
20200208,宝山,罗店,小区第YI排 河景房 人车分流保养好 诚意出售,839万,4室2厅 | 191.99平米 | 南 | 精装 | 低楼层(共1层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/3218cbb0-4605-483e-abef-a1bd00722bbd.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖花园 4室2厅 836万,836万,4室2厅 | 197.87平米 | 西 西南 | 精装 | 下叠(共3层) | 2012年建 | 板楼 | 叠拼别墅,https://image1.ljcdn.com/310000-inspection/391bbe67-a0b2-4b32-9d5e-2b75d1e7788b.jpg.296x216.jpg
20200208,宝山,罗店,小区较少上叠别墅，得房率高，业主诚意出售房主自荐,630万,5室2厅 | 176.04平米 | 南 | 毛坯 | 中楼层(共4层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/e1d9a48f-c987-4d41-856c-18de5edfd839.jpg.296x216.jpg
20200208,宝山,罗店,精装大三房 两房朝南 房东急售 ！,450万,3室2厅 | 131.88平米 | 南 北 | 精装 | 中楼层(共5层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-40abc6c2-2f11-4f25-b94f-7d00f9cd97ef.jpg.296x216.jpg
20200208,宝山,罗店,顺驰美兰湖 4室2厅 450万房主自荐,450万,4室2厅 | 141.05平米 | 南 | 精装 | 低楼层(共5层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_sXTg6l9vD_1.jpg.296x216.jpg
