20200208,浦东,曹路,小巧的户型，温馨的家，采光充足，居住舒适。必看好房,219万,1室1厅 | 56.29平米 | 南 | 精装 | 中楼层(共24层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ea119e69-8eff-41f4-848a-3e783d52f7e8.jpg.296x216.jpg
20200208,浦东,曹路,星纳家园 2室1厅 312万,312万,2室1厅 | 79.31平米 | 南 北 | 精装 | 16层 | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SHtEU6865_1.jpg.296x216.jpg
20200208,浦东,曹路,精装修买进价格，南北通，视野好，业主诚心出售,350万,3室1厅 | 87.64平米 | 南 | 精装 | 低楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IJkqwc7Me_1.jpg.296x216.jpg
20200208,浦东,曹路,房型正气，南北通透，中等装修，不靠马路，房东诚心,445万,3室2厅 | 121.7平米 | 南 北 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_d55HKl71Y_1.jpg.296x216.jpg
20200208,浦东,曹路,一手动迁，满5年唯一，电梯房中层，采光视野好，诚心,420万,3室2厅 | 110.38平米 | 南 | 精装 | 中楼层(共18层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QBJk2GVVC_1.jpg.296x216.jpg
20200208,浦东,曹路,精装两房拎包入住，家具家电齐全,295万,2室2厅 | 86.23平米 | 南 | 精装 | 低楼层(共11层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-40ee0bfe-f559-45f8-94a7-f322e9adb147.jpg.296x216.jpg
20200208,浦东,曹路,一手动迁房源  热门户型  景观房  欢迎咨询,293万,2室2厅 | 74.35平米 | 南 | 毛坯 | 18层 | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pIFCyCr9G_1.jpg.296x216.jpg
20200208,浦东,曹路,中虹家园 南 北 两 房  房 东 急 售 税费低位置佳,265万,2室1厅 | 70.4平米 | 南 | 简装 | 低楼层(共16层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d7ecf686-b40d-4705-bd22-9a465816753e.jpg.296x216.jpg
20200208,浦东,曹路,自住装修小两房  近9号线地铁站  户型方正  诚心出售房主自荐,309万,2室1厅 | 64.37平米 | 南 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0991ce4e-58e3-4487-9c26-65875f54307d.jpg.296x216.jpg
20200208,浦东,曹路,自住精装，满五唯一，楼层好，采光足，南北透,198万,1室1厅 | 54.11平米 | 南 北 | 精装 | 中楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b7512335-6f1a-4f03-a79b-66aad3ce0ca4.jpg.296x216.jpg
20200208,浦东,曹路,星颂家园三房，户型正气，精装修，看房方便。,399万,3室2厅 | 100.75平米 | 南 北 | 精装 | 低楼层(共24层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e3777c56-6c3e-434b-84b8-c1e46e018a00.jpg.296x216.jpg
20200208,浦东,曹路,满五唯一，省钱、省心！业主诚意急卖,251万,1室2厅 | 71平米 | 南 | 精装 | 低楼层(共10层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-af152db8-2303-45ff-8385-aff254a64811.png.296x216.jpg
20200208,浦东,曹路,急急急于出手，税费少，急售，只要您看中，其他好商量房主自荐,259.8万,2室1厅 | 72平米 | 南 | 精装 | 低楼层(共11层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-747af67a-bd44-4e13-9a18-f57cbce0d82e.jpg.296x216.jpg
20200208,浦东,曹路,盛世春晓苑简装两房+带电梯+一手动迁,295万,2室2厅 | 75.07平米 | 南 | 简装 | 高楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5bec5002-7368-4173-b97a-b514a98af467.jpg.296x216.jpg
20200208,浦东,曹路,中间位置 模范小区 中间楼层 税少 产权清晰 诚意出售,269万,2室1厅 | 68.81平米 | 南 | 毛坯 | 高楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9f7acdb9-4c0b-4a31-b062-03b4a0af3a73.jpg.296x216.jpg
20200208,浦东,曹路,358弄71.81平，货币动迁，满五不唯一，业主诚心,300万,2室1厅 | 71.81平米 | 南 | 简装 | 中楼层(共5层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-265129df-26b1-419c-a824-3555259289f2.jpg.296x216.jpg
20200208,浦东,曹路,丰舍东苑南北两房，中间楼层，交通便利，05年商品房,300万,2室1厅 | 72.17平米 | 南 | 简装 | 中楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8884ab9e-9eb0-4467-8aab-16530a2fcfe1.jpg.296x216.jpg
20200208,浦东,曹路,精装修满五年唯一 商品房 电梯房 自住看房方便,440万,2室2厅 | 91.57平米 | 南 北 | 精装 | 低楼层(共9层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-27e33ceb-ecce-4c87-99b8-d42249a5c531.png.296x216.jpg
20200208,浦东,曹路,高关注度好房，众望所归的：省钱、省心！业主诚意急卖房主自荐,330万,2室2厅 | 90.05平米 | 南 北 | 精装 | 高楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6e149b16-ae05-4518-9739-fa1059fdf9e4.jpg.296x216.jpg
20200208,浦东,曹路,精装小两房  业主自住   近9号线顾唐站     带院子,295万,2室1厅 | 59.48平米 | 南 北 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e729b386-fc49-4ae9-bacc-2db8f0743b65.jpg.296x216.jpg
20200208,浦东,曹路,私密性好 南北通户型方正大两房 位置好,385万,2室2厅 | 89.08平米 | 南 | 简装 | 低楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ff12046b-8d04-4e78-8472-cc7f3a62309e.jpg.296x216.jpg
20200208,浦东,曹路,佳伟景苑大一房 房东诚心出售 电梯房  楼层好,209万,1室1厅 | 55.51平米 | 南 | 简装 | 高楼层(共14层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LQNICQ3G7_1.jpg.296x216.jpg
20200208,浦东,曹路,358弄71.81平，货币动迁，满五不唯一，业主诚心,300万,2室1厅 | 71.81平米 | 南 | 简装 | 中楼层(共5层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9af216f1-7ec9-469c-82ce-a0d914355666.jpg.296x216.jpg
20200208,浦东,曹路,商品房，精装修，可拎包入住，小区品质高，税费少。,375万,2室2厅 | 87.84平米 | 南 北 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zkHiDOv5m_1.jpg.296x216.jpg
20200208,浦东,曹路,电梯大三房 小区位置好 视野开阔 通风好 不要错过哦,429万,3室2厅 | 120平米 | 南 | 毛坯 | 高楼层(共24层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8a6201eb-7a7d-4a80-a787-d04daee39f3d.jpg.296x216.jpg
20200208,浦东,曹路,曹路中虹家园2房南北户型一手动迁税费少房东诚意出售,280万,2室1厅 | 71.2平米 | 南 | 毛坯 | 高楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rKgLbAkoF_1.jpg.296x216.jpg
20200208,浦东,曹路,满五唯一，一改二两房，花园位置，诚意出售,292万,2室1厅 | 69.69平米 | 南 | 简装 | 低楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b8128b89-fa14-4f85-bb23-45c215724080.jpg.296x216.jpg
20200208,浦东,曹路,中虹家园两房诚意出售 看房方便 位置好 价格可谈,272万,2室1厅 | 71.2平米 | 南 北 | 毛坯 | 高楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_DdbT8Gof8_1.jpg.296x216.jpg
20200208,浦东,曹路,曹路民风小区   舒适两房  满五唯一 诚心出售,265万,2室1厅 | 88.31平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6feebbb6-deb6-405f-88fa-d115c7b57b45.jpg.296x216.jpg
20200208,浦东,曹路,楼层位置佳，南北通透，采光佳，房东诚意出售,217万,2室1厅 | 52.3平米 | 南 北 | 精装 | 低楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8quIiK875_1.jpg.296x216.jpg
20200208,浦东,曹路,此房满五年唯一，南北户型，步行1500米到九号线！,365万,2室1厅 | 95.38平米 | 南 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_YUAALLm6s_1.jpg.296x216.jpg
20200208,浦东,曹路,河滨城市花园 全明户型，方正舒适，采光好 近地铁！房主自荐,345万,2室1厅 | 69.98平米 | 南 北 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KzvL2t5A9_1.jpg.296x216.jpg
20200208,浦东,曹路,一楼带院子两房，南北户型，步行400米到宝龙广场！房主自荐,345万,2室1厅 | 71.06平米 | 南 北 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SWwF1maNQ_1.jpg.296x216.jpg
20200208,浦东,曹路,精装大两房，超大空间，品质极高房主自荐,360万,2室2厅 | 90.85平米 | 南 | 精装 | 高楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1IR8nmc2e_1.jpg.296x216.jpg
20200208,浦东,曹路,不靠路，非底楼，南北户型，中等装修，满五年唯一,293万,2室2厅 | 73.09平米 | 南 北 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4ttQih6bM_1.jpg.296x216.jpg
20200208,浦东,曹路,满五年唯一，中间楼层，双南正气房型，采光充足,265万,2室1厅 | 69.6平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_DuktIM3oN_1.jpg.296x216.jpg
20200208,浦东,曹路,星纳家园 精装两房 无增值税无个税 双南户型采光好,295万,2室1厅 | 74.89平米 | 南 | 精装 | 16层 | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_NgkmeASSG_1.jpg.296x216.jpg
20200208,浦东,曹路,西苑中装南北两房，楼层好，位置佳，挥泪出售。,295万,2室1厅 | 71.28平米 | 南 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Y84by4QER_1.jpg.296x216.jpg
20200208,浦东,曹路,一手动迁税少 ，大一房，诚心出售，价格可谈,208万,1室1厅 | 53.29平米 | 南 | 毛坯 | 低楼层(共6层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZTSqccKg3_1.jpg.296x216.jpg
20200208,浦东,曹路,此房是精装修中间楼层，满两年，诚意出售拎包入住,268万,2室1厅 | 69.27平米 | 南 | 精装 | 中楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cNYUX7kdm_1.jpg.296x216.jpg
20200208,浦东,曹路,精装修，楼层好，视野好，业主诚心出售,215万,1室1厅 | 51平米 | 南 | 精装 | 高楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2Sb3AFs2v_1.jpg.296x216.jpg
20200208,浦东,曹路,近地铁，温馨两居室，简约清新，户型方正,310万,2室2厅 | 89.88平米 | 南 北 | 精装 | 低楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zeFZ7R9KN_1.jpg.296x216.jpg
20200208,浦东,曹路,一手动迁，税费少，业主置换，诚意出售，,275万,2室1厅 | 75.26平米 | 南 | 毛坯 | 中楼层(共14层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_C0IlT0tvX_1.jpg.296x216.jpg
20200208,浦东,曹路,满五唯一，一手动迁，精装拎包入住.诚意出售,320万,2室2厅 | 81.85平米 | 南 | 精装 | 中楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UCUaRnfVu_1.jpg.296x216.jpg
20200208,浦东,曹路,阳光苑 中间楼层 小区中间位置,232万,2室1厅 | 67.03平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_46mlA1iz8_1.jpg.296x216.jpg
20200208,浦东,曹路,精装两房，装修别致，温文尔雅，适宜居住,266万,2室1厅 | 73.99平米 | 南 | 简装 | 低楼层(共6层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_w1LvIoGl3_1.jpg.296x216.jpg
20200208,浦东,曹路,精装修拎包入住，房东诚意出售，随时看房子,262万,2室1厅 | 69.29平米 | 南 | 精装 | 低楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_tWhOUOLQJ_1.jpg.296x216.jpg
20200208,浦东,曹路,双南格局，出行便利，小区环境优美,435万,2室2厅 | 93平米 | 南 | 毛坯 | 中楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kiQMUFUft_1.jpg.296x216.jpg
20200208,浦东,曹路,满五唯一，附带20平米大阳台的3房，置业必看好房！急,415万,3室2厅 | 93.28平米 | 南 北 | 精装 | 中楼层(共11层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-738de224-1fa9-401a-8fe9-bb464b00e10d.jpg.296x216.jpg
20200208,浦东,曹路,成熟小区阳光苑 中间楼层 采光佳,325万,3室1厅 | 92.5平米 | 南 | 毛坯 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mgUhjVaJa_1.jpg.296x216.jpg
20200208,浦东,曹路,9号线顾唐路地铁，04年商品房，南北两房，楼层适中房主自荐,316万,2室1厅 | 64.37平米 | 南 北 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-82543865-0581-4303-97ba-b522fddb4069.png.296x216.jpg
20200208,浦东,曹路,南北大两房，毛坯随意装修，格局好，小区位置佳,290万,2室2厅 | 86.55平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1lFoT1x1g_1.jpg.296x216.jpg
20200208,浦东,曹路,极景易家商品房 二楼采光好  户型正气  总价便宜,360万,2室2厅 | 90.82平米 | 南 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-47e1c946-3d04-4287-9b2a-b976cc712712.jpg.296x216.jpg
20200208,浦东,曹路,曹路地铁覆盖区 繁华地段 卧室朝南 居家装修,290万,3室1厅 | 82.39平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-04245467-228e-41d4-ba7a-4f20314b50b3.jpg.296x216.jpg
20200208,浦东,曹路,南北通户型， 全明户型 看房方便 房东诚心出售,330万,2室2厅 | 86平米 | 南 北 | 毛坯 | 低楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ae81839f-108e-4ca0-8fa2-e40f8a9ad985.jpg.296x216.jpg
20200208,浦东,曹路,9号线曹路地铁站  一手动迁税费低 毛坯随时看房,199万,1室1厅 | 51.24平米 | 南 | 毛坯 | 低楼层(共18层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Q3ysFXIlH_1.jpg.296x216.jpg
20200208,浦东,曹路,钥匙房 随时看 南北户型中间位置两房一厅 采光充足,265万,2室1厅 | 73.99平米 | 南 | 毛坯 | 低楼层(共6层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Gh8hPR5Tp_1.jpg.296x216.jpg
20200208,浦东,曹路,9号线9号线！双南方正两房真便宜！,315万,2室1厅 | 81.7平米 | 南 | 简装 | 低楼层(共24层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-cf36681a-b820-4893-b80f-6abb1e7c1e30.png.296x216.jpg
20200208,浦东,曹路,满五唯一，原始3房2厅！高关注度好房，随时看房，急卖,385万,3室2厅 | 117.57平米 | 东南 南 西南 北 | 精装 | 低楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d6835090-8181-478d-90c5-699019ed4cdf.jpg.296x216.jpg
20200208,浦东,曹路,精装蝴蝶户型三房  满五唯一税费少 高品质商品房小区,430万,3室2厅 | 108.28平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-39e0d473-c6a9-4f38-8826-98c2275141ec.jpg.296x216.jpg
20200208,浦东,曹路,精装两房朝南，随时入住，房东诚心,330万,2室2厅 | 89.8平米 | 南 | 精装 | 中楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4RKN1dWzQ_1.jpg.296x216.jpg
20200208,浦东,曹路,满五年唯一，一梯两户，有钥匙方便看房子，房东诚心,169万,1室1厅 | 47.5平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ewMA2xMUc_1.jpg.296x216.jpg
20200208,浦东,曹路,双南两房，随时可看！带环形大阳台，高关注度好房！房主自荐,337万,2室2厅 | 88.71平米 | 南 | 精装 | 中楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3a06a357-b55f-4abb-b9fb-bfe6074f5a4a.jpg.296x216.jpg
20200208,浦东,曹路,一手动迁 满五唯一 税费低  交通便利  近地铁,430万,3室2厅 | 109.92平米 | 南 | 毛坯 | 高楼层(共18层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_nJsXPAQgw_1.jpg.296x216.jpg
20200208,浦东,曹路,急售价格便宜，一房的价格买两房，看房随时，欢迎看房,269万,2室2厅 | 85.64平米 | 南 北 | 简装 | 11层 | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-819d4345-1664-47dc-8466-6704121f44c5.jpg.296x216.jpg
20200208,浦东,曹路,一手动迁大三房 南北双阳台，两个卫生间，主卧带飘窗,400万,3室2厅 | 128.17平米 | 南 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-470bafbd-863e-4d9e-944b-b645e1a945e8.jpg.296x216.jpg
20200208,浦东,曹路,2010年商品房+电梯房+楼层好+环境优美！,400万,2室2厅 | 89.75平米 | 南 | 简装 | 高楼层(共9层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-dde7d6e4-f399-4994-a789-4d75906ffb43.jpg.296x216.jpg
20200208,浦东,曹路,阳光苑，楼层好，精装修，小户型，税费少。,215万,2室1厅 | 57.42平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-32e1b0ac-38f4-478d-9930-b8d37acc87a2.jpg.296x216.jpg
20200208,浦东,曹路,正气小三房，多层的四楼，步行1120米到宝龙城市广场,295万,3室1厅 | 82.39平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-13554b75-aeb2-4381-b0db-a700462750b5.jpg.296x216.jpg
20200208,浦东,曹路,两房 满五年唯一，一楼带10平方院子，小区环境安静,300万,2室1厅 | 70.87平米 | 南 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-348c48d6-ad9e-483b-90fd-25ceea080a99.jpg.296x216.jpg
20200208,浦东,曹路,2005年次新小区，旁边配套齐全，交通便利。,295万,2室1厅 | 75.25平米 | 南 北 | 精装 | 低楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1477c0b7-f0eb-450d-9633-94cd4958061f.jpg.296x216.jpg
20200208,浦东,曹路,商品房，精装修，到40平院子，看房方便,465万,3室2厅 | 119.39平米 | 南 北 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ILYH0Gq6L_1.jpg.296x216.jpg
20200208,浦东,曹路,民建新村，满五唯一，买入价高，有钥匙,310万,2室1厅 | 71.23平米 | 南 | 简装 | 中楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_s0ce1onjP_1.jpg.296x216.jpg
20200208,浦东,曹路,户型方正，居家装修，景观楼层，随时入住,350万,2室2厅 | 74.13平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JlUlGSSf0_1.jpg.296x216.jpg
20200208,浦东,曹路,总价低，随时可看！客厅带朝南大阳台，高关注度好房！,265万,2室1厅 | 69.87平米 | 东 东南 南 | 精装 | 低楼层(共6层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-26b1cd24-1f6f-4e1d-b6f0-569f452dbb0b.jpg.296x216.jpg
20200208,浦东,曹路,急于出手！精装自住3楼，拎包入住随时看房,265万,1室1厅 | 72.1平米 | 南 | 精装 | 低楼层(共11层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-62dcf044-8078-4123-98eb-d232f289f033.jpg.296x216.jpg
20200208,浦东,曹路,中间楼层，采光充足，诚心出售，自住装修,510万,3室2厅 | 117.7平米 | 南 | 精装 | 中楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1sXN1c13M_1.jpg.296x216.jpg
20200208,浦东,曹路,户型方正 大两房 精心装修 保养完好 两个大阳台,338万,2室2厅 | 89平米 | 南 | 精装 | 低楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jWbIJjN4Z_1.jpg.296x216.jpg
20200208,浦东,曹路,今年新装修的婚房，看房方便基本跟我约，大三房,430万,3室2厅 | 108.28平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cbnWCcd7F_1.jpg.296x216.jpg
20200208,浦东,曹路,阳光苑中间楼层精装修两房交通便利,260万,2室1厅 | 72.78平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_08rzleZkI_1.jpg.296x216.jpg
20200208,浦东,曹路,民建新村近地铁，三房朝南采光好，看房方便！,430万,3室2厅 | 103.25平米 | 南 | 简装 | 低楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9cZCkOn4o_1.jpg.296x216.jpg
20200208,浦东,曹路,此房满五年小区环境好，10年的次新商品房，户型方正，,570万,3室2厅 | 139.9平米 | 南 | 精装 | 低楼层(共9层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XCu9XaX59_1.jpg.296x216.jpg
20200208,浦东,曹路,楼层好，三房朝南，户型正，满五年唯一，税费少。,345万,3室1厅 | 92.45平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_RlI5oUj4B_1.jpg.296x216.jpg
20200208,浦东,曹路,满五年唯一，户型一南一北，户型好，诚心出售,269万,2室1厅 | 69.5平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7rmC85ejX_1.jpg.296x216.jpg
20200208,浦东,曹路,曹路星海家园2房毛坯户型方正一手动迁诚心出售,305万,2室1厅 | 82.37平米 | 南 | 毛坯 | 低楼层(共24层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UkCzsvPCU_1.jpg.296x216.jpg
20200208,浦东,曹路,精装修三房，买入高，满五唯一，一梯两户，户型方正,335万,3室1厅 | 93.33平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hMGsYP62R_1.jpg.296x216.jpg
20200208,浦东,曹路,双南户型，居住适宜；满五不唯一，差额增值税。,280万,2室2厅 | 90.25平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-22e90261-a6a5-4e00-ad33-62482699dae3.jpg.296x216.jpg
20200208,浦东,曹路,中虹家园一房精装修、可拎包入住、看房随时好看,210万,1室1厅 | 50.94平米 | 南 | 精装 | 低楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4846ceae-7087-4b14-b28d-39813f9dd174.jpg.296x216.jpg
20200208,浦东,曹路,小区环境好，景观楼层，，配套成熟，交通方便,270万,2室1厅 | 70.8平米 | 南 | 精装 | 低楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yreCWwcvZ_1.jpg.296x216.jpg
20200208,浦东,曹路,一手动迁好房，看中可谈，近地铁,443万,3室1厅 | 120.33平米 | 南 | 毛坯 | 高楼层(共24层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-c1e264aa-ac2e-4181-9538-ab394b9cd832.png.296x216.jpg
20200208,浦东,曹路,精装两房拎包入住，中间楼层视野好，诚意出售,295万,2室1厅 | 86.39平米 | 南 北 | 精装 | 中楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f28ffd04-3282-4ecc-9dea-fb30772fb53f.jpg.296x216.jpg
20200208,浦东,曹路,满五年税费少 三房改两房 全明户型 总价低 楼层好！,260万,2室2厅 | 87.97平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GrFbCbWvl_1.jpg.296x216.jpg
20200208,浦东,曹路,业主诚意卖 户型方正 采光好 楼层佳,213万,1室1厅 | 53.58平米 | 南 | 简装 | 中楼层(共24层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9ab49f3f-b0ed-4c0b-a8c2-ef0da73482a1.jpg.296x216.jpg
20200208,浦东,曹路,急售 精装 全南 中间楼层 超好采光税费低,260万,2室1厅 | 64.58平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cLeaLWEgi_1.jpg.296x216.jpg
20200208,浦东,曹路,曹路金钻苑两房，楼层好，视野开阔，税费低,315万,2室1厅 | 90.86平米 | 南 | 毛坯 | 高楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-21da007d-ddbe-4f53-bc1a-a344952e1b6e.jpg.296x216.jpg
20200208,浦东,曹路,南北两房 紧俏户型 一手动迁免增值，两卫户型,330万,2室2厅 | 84.38平米 | 南 北 | 毛坯 | 低楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-d8a5defa-54df-4699-ab03-cd121e36ee78.png.296x216.jpg
20200208,浦东,曹路,采光好，楼层好，房型正气，配套齐全,340万,2室2厅 | 71.18平米 | 南 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GqONeHZNg_1.jpg.296x216.jpg
20200208,浦东,曹路,阳光苑，小两房采光好，简单装修，小户型，税费少,200万,2室1厅 | 57.45平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-13cc314d-714b-4311-ad1c-297b5768089a.jpg.296x216.jpg
