20200208,宝山,通河,地铁1号线+小区中间位置+南北通+满五年+我有钥匙必看好房,255万,2室1厅 | 55.89平米 | 南 北 | 简装 | 低楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/a20121a3-0001-47d5-8a4a-edb8fee85e93_1000.jpg.296x216.jpg
20200208,宝山,通河,通河四村 1室1厅 225万,225万,1室1厅 | 48.48平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IFj25SFnF_1.jpg.296x216.jpg
20200208,宝山,通河,长江西路1818号 2室1厅 270万,270万,2室1厅 | 69.07平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20161025/4514f505-179f-40f7-87c6-f37f75f53c0c.jpg.296x216.jpg
20200208,宝山,通河,精装修，非顶楼，近出口，配套成熟，拎包入住！,213万,1室1厅 | 52.01平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20170626/d044c584-3a88-4f0c-b5ab-56d1d0bb46c9.jpg.296x216.jpg
20200208,宝山,通河,通河二村 1室1厅 175万,175万,1室1厅 | 40.7平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/0dc92fa9-13a0-4124-b719-35b032516575.jpg.296x216.jpg
20200208,宝山,通河,顶复楼复式 带大面积露台 诚意出售,550万,5室2厅 | 145.83平米 | 南 北 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yFsR7buNy_1.jpg.296x216.jpg
20200208,宝山,通河,错层系列欧式风格急售!!!!!!!!!!!!!,558万,2室2厅 | 111.62平米 | 南 | 精装 | 中楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/0222447a-bf81-44dc-85bb-c566801d65b9_1000.jpg.296x216.jpg
20200208,宝山,通河,通河八村 精装修 万达商圈 1号线轨交 婚房装修,250万,2室1厅 | 60.84平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20170514/78b5d67e-f09d-4add-a6cb-e41a8f0de24c.jpg.296x216.jpg
20200208,宝山,通河,共江花苑 2室2厅 438万,438万,2室2厅 | 78.97平米 | 南 北 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/16401764-322a-4986-ba10-d0349e50687f_1000.jpg.296x216.jpg
20200208,宝山,通河,双南两房 户型好 采光佳  随时好看好房子,300万,2室1厅 | 66.48平米 | 南 | 简装 | 低楼层(共13层) | 1992年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-27a477a3-ee76-4e59-ac94-88a64e839c53.jpg.296x216.jpg
20200208,宝山,通河,银和家园 2室1厅 265万,265万,2室1厅 | 59.59平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/a7142be9-db03-48da-899f-c61776b135c8.jpg.296x216.jpg
20200208,宝山,通河,通河二村，电梯房，精装修，房主自住，随时看房,320万,2室1厅 | 76.52平米 | 西南 | 精装 | 低楼层(共13层) | 1992年建 | 塔楼,https://image1.ljcdn.com/x-se/hdic-frame/3d4ab19a-3e81-4068-bb4e-f3db3f481f33.png.296x216.jpg
20200208,宝山,通河,锦辉绿园 3室2厅 585万,585万,3室2厅 | 127.83平米 | 南 | 其他 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1ad92827-be19-4e58-b917-b5c22f1aaca8.jpg.296x216.jpg
20200208,宝山,通河,精装修，采光好，房东诚意出售！,460万,2室2厅 | 95.71平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,
20200208,宝山,通河,锦辉绿园 2室2厅 478万,478万,2室2厅 | 96.06平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,
20200208,宝山,通河,中间楼层，错层大两房，动静分离，户型正气,470万,2室2厅 | 97.38平米 | 南 北 | 简装 | 中楼层(共6层) | 2002年建 | 板楼,
20200208,宝山,通河,锦辉绿园 4室3厅 880万,880万,4室3厅 | 178.74平米 | 南 | 精装 | 高楼层(共9层) | 2001年建 | 板楼,
20200208,宝山,通河,精装修大一房，看过此房源对房子的情况了解,195万,1室1厅 | 47.45平米 | 南 北 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/147df4be-1c04-42a5-a85c-3d0756ef8dbe.png.296x216.jpg
20200208,宝山,通河,共江花苑 2室2厅 456万,456万,2室2厅 | 81平米 | 南 北 | 其他 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/a9281ec5-8dfd-4ecb-a387-f0165601ee5f_1000.jpg.296x216.jpg
20200208,宝山,通河,满五唯一，随时可看，高区采光好，临花园，视野开阔,180万,1室1厅 | 40平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/f4000fb2-0f53-4b2f-b619-4540d0f65d3a.jpg.296x216.jpg
20200208,宝山,通河,通河二村 1室1厅 180万,180万,1室1厅 | 40.24平米 | 南 | 其他 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/5ed597cf-4540-4e77-a47e-9103c93b88e5.png.296x216.jpg
20200208,宝山,通河,共江花苑 3室2厅 580万,580万,3室2厅 | 100.81平米 | 南 | 其他 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/b482ec7a-1300-491e-8cbe-64081895c620.png.296x216.jpg
