20200208,浦东,三林,近三林印象城，11号地铁沿线，电梯房景观楼层，满五年必看好房,457万,2室2厅 | 83.37平米 | 南 | 简装 | 中楼层(共18层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JcCGNzCLn_1.jpg.296x216.jpg
20200208,浦东,三林,保利B户型，拎包入住，环境幽静，,560万,3室2厅 | 89.22平米 | 南 北 | 精装 | 低楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_oGmZq43FY_1.jpg.296x216.jpg
20200208,浦东,三林,底楼带花园+一手动迁+房型方正+产权清晰+闹中取静,345万,2室1厅 | 62.42平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Zm6Ht05Rn_1.jpg.296x216.jpg
20200208,浦东,三林,双南户型+景观楼层+近地铁+ 位置佳 闹中取静+诚意出售,505万,2室1厅 | 74.85平米 | 南 | 精装 | 中楼层(共13层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1cw0Iyp23_1.jpg.296x216.jpg
20200208,浦东,三林,次新电梯高区两房、南北通风、30万精装拎包入住！,575万,2室2厅 | 85.11平米 | 南 | 精装 | 16层 | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MViwvgG4q.jpg.296x216.jpg
20200208,浦东,三林,南北通透原始三房，附15平，楼层位置好，精装修,525万,3室2厅 | 87.9平米 | 南 北 | 精装 | 低楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1q2BT07Ze_1.jpg.296x216.jpg
20200208,浦东,三林,置换急卖，自住保养好，楼层好，位置好，采光足,430万,2室2厅 | 87.16平米 | 南 | 精装 | 中楼层(共20层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Md8C1j65t_1.jpg.296x216.jpg
20200208,浦东,三林,此房普通住宅，精装修，采光无遮挡看房方便。,290万,1室1厅 | 57.16平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mNJlgrzMu_1.jpg.296x216.jpg
20200208,浦东,三林,南望车水马龙，川流不息；北观社区风景，怡然自得。房主自荐,590万,3室2厅 | 120.78平米 | 南 北 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d1bddfbb-06dc-4d67-a840-cbc1fdbfa0f1.jpg.296x216.jpg
20200208,浦东,三林,三林品质特色小区 高区景观楼层 有车位,830万,4室2厅 | 144平米 | 南 | 精装 | 高楼层(共18层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8ca3ff05-b3aa-4709-ad3f-dbc3a8c565ff.jpg.296x216.jpg
20200208,浦东,三林,此房税费少，地铁11号线，前排别墅视野好采光好,450万,2室2厅 | 89.79平米 | 南 | 精装 | 低楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b528fc07-279f-4b97-bc28-cada54ca1318.jpg.296x216.jpg
20200208,浦东,三林,自住精装，景观楼层，出行方便，交通便利，环境优美,680万,3室2厅 | 115平米 | 南 | 精装 | 中楼层(共11层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-32998ef2-861c-415e-a16a-94fabc0cab97.png.296x216.jpg
20200208,浦东,三林,诚意出售，随时看房，产权清晰，合适年轻人,417万,2室1厅 | 71平米 | 南 北 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6fb87ea0-a4d0-47bc-91c7-d92545a06229.jpg.296x216.jpg
20200208,浦东,三林,前滩CBD辐射 地铁6/8双轨 精装大两房 置换 看房随时,315万,2室1厅 | 72.79平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_adgQdeCde_1.jpg.296x216.jpg
20200208,浦东,三林,小区央座、售后公房、一梯两户、户型方正、双南全明,330万,2室1厅 | 70.15平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8ZOh3Rpz8_1.jpg.296x216.jpg
20200208,浦东,三林,园林式小区，电梯房，交通方便，生活环境，安心惬意。,445万,2室2厅 | 92.12平米 | 南 | 简装 | 低楼层(共18层) | 1999年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_KnrM9obuA_1.jpg.296x216.jpg
20200208,浦东,三林,金地品质小区 诚意出售 半人车分流 户型正气 近地铁房主自荐,724万,3室2厅 | 131平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-46dd793f-3143-4a48-93f6-852b528474dc.jpg.296x216.jpg
20200208,浦东,三林,金地品质小区 正气大三房 人车分流 中间楼层 靠地铁,828万,3室2厅 | 141.35平米 | 南 北 | 简装 | 中楼层(共7层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-22b4e47e-cb9a-475a-9cdc-735dcd2c7add.jpg.296x216.jpg
20200208,浦东,三林,2011年次新商品房 C4+15㎡ 装修好 高区采光视野好,530万,3室2厅 | 88.39平米 | 南 | 精装 | 高楼层(共16层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UVSyuGEEH_1.jpg.296x216.jpg
20200208,浦东,三林,花园式小区精装修两房地铁6号线11号线,650万,2室2厅 | 85.67平米 | 南 | 精装 | 14层 | 2010年建 | 板塔结合,https://image1.ljcdn.com/310000-inspection/pc1_4ul9TvtV9_1.jpg.296x216.jpg
20200208,浦东,三林,壹房的价格/两房的户型/复式的居住,315万,2室1厅 | 54.93平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d7c39ced-8fe7-4a0c-84e8-995c525d6940.jpg.296x216.jpg
20200208,浦东,三林,满五唯一，复式上层不算面积，商品房小区，交通便利房主自荐,660万,5室3厅 | 120.78平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9380890e-f7ab-4417-ae2b-727186ced59a.jpg.296x216.jpg
20200208,浦东,三林,顶楼双露台，全明户型，双南户型,303万,2室1厅 | 65平米 | 南 | 毛坯 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_gZjmSWXxF_1.jpg.296x216.jpg
20200208,浦东,三林,万科品质花园洋房，三房好装修带花园，诚售！,700万,3室2厅 | 98.07平米 | 南 | 精装 | 低楼层(共5层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XpvwPJ9z0_1.jpg.296x216.jpg
20200208,浦东,三林,万科品质，花园洋房带露台地下室，地铁、配套齐全,798万,3室2厅 | 97.94平米 | 南 | 精装 | 低楼层(共5层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_xCAQBH7AV_1.jpg.296x216.jpg
20200208,浦东,三林,精装大三房，靠公园近地铁，景观好一手动迁满五年,443万,3室2厅 | 103.41平米 | 南 北 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d8671471-160a-4646-9ac3-24311c6dd11a.jpg.296x216.jpg
20200208,浦东,三林,40平大花园，有垫高，业主精装，前方无遮挡,470万,2室2厅 | 87平米 | 南 | 精装 | 低楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4e5f7eb2-5ca0-452c-8805-7cb2221c94b3.jpg.296x216.jpg
20200208,浦东,三林,南北通透 得房率高 税费少 离地铁近 拎包入住,355万,2室2厅 | 79.13平米 | 南 北 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d52bea6a-39b3-4f67-9206-620395cc6aa7.jpg.296x216.jpg
20200208,浦东,三林,接受置换，一楼有花园 ，小区新，环境好，近配套,510万,3室2厅 | 119平米 | 南 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_xQVjvKf9D_1.jpg.296x216.jpg
20200208,浦东,三林,视野开阔，户型大，精装修花园式小区 南北直通,830万,4室2厅 | 148.4平米 | 南 | 精装 | 高楼层(共17层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CbSLbIzZ0_1.jpg.296x216.jpg
20200208,浦东,三林,急售房源，配套成熟，交通便利，得房率高房主自荐,580万,3室2厅 | 93.35平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_nWEk5yROF_1.jpg.296x216.jpg
20200208,浦东,三林,一定是你没见过的户型，全天采光，无浪费面积,450万,3室2厅 | 113.27平米 | 南 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e3a57e07-1493-4c05-8ba0-f41bc7538ea3.jpg.296x216.jpg
20200208,浦东,三林,房东诚心出售 看中价钱可谈 高楼层采光好 边套房主自荐,570万,2室2厅 | 91平米 | 南 北 | 精装 | 高楼层(共14层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yWsuAUtqD_1.jpg.296x216.jpg
20200208,浦东,三林,诚意出售楼层好，前后别墅，保养好，不对电梯，总价低,429万,2室2厅 | 87.16平米 | 南 | 精装 | 高楼层(共20层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ed4a66bc-08fb-4894-8018-b4873cb18858.jpg.296x216.jpg
20200208,浦东,三林,满五唯一精装修，正气景观大三房，业主置换诚意出售,520万,3室2厅 | 134.77平米 | 南 北 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1nnefwMTE_1.jpg.296x216.jpg
20200208,浦东,三林,此房一手动迁满五，税少。南北通透全明，交通便利。,410万,3室2厅 | 89.26平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/05b8a578-0aac-4292-a0bd-2b9d7d7c355a_1000.jpg.296x216.jpg
20200208,浦东,三林,业主出国诚意出售，精装修拎包入住，阁楼做了小书房,340万,2室1厅 | 69.81平米 | 南 北 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_u9MmajjgR_1.jpg.296x216.jpg
20200208,浦东,三林,绿化65%，精装修花园式小区 满五唯一 南北直通,738万,3室2厅 | 138.06平米 | 南 | 精装 | 低楼层(共17层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rONjGmNNX_1.jpg.296x216.jpg
20200208,浦东,三林,70平精装阁楼 买进价高 近期必卖 看房方便 急！,660万,2室2厅 | 96平米 | 南 北 | 精装 | 高楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_x1IscFPm3_1.jpg.296x216.jpg
20200208,浦东,三林,精装修，满五年唯一，近印象城，11号地铁沿线,390万,3室1厅 | 76.94平米 | 南 北 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fNtgVeL4k_1.jpg.296x216.jpg
20200208,浦东,三林,精装3房，满五唯一，税费低，看房随时，家里都有人,475万,3室2厅 | 87.84平米 | 南 | 精装 | 中楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Ona5pwkaE_1.jpg.296x216.jpg
20200208,浦东,三林,三林新村 一首动迁，户型正气，一房  一梯两户,285万,1室1厅 | 54.05平米 | 南 | 简装 | 低楼层(共14层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mdcjB4hey_1.jpg.296x216.jpg
20200208,浦东,三林,带阁楼两房，新装修，使用面积大，看中找维护人谈价房主自荐,360万,2室1厅 | 73.12平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hwictvRWw_1.jpg.296x216.jpg
20200208,浦东,三林,满五唯一税费低 精装修  看房方便 业主诚意出售房主自荐,770万,3室2厅 | 135.71平米 | 南 北 | 精装 | 低楼层(共16层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hZINu660L_1.jpg.296x216.jpg
20200208,浦东,三林,开发商统一精装修，可以拎包入住，保养好，花园位置,449万,3室2厅 | 88.41平米 | 南 | 精装 | 18层 | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Zf5PWMeZb_1.jpg.296x216.jpg
20200208,浦东,三林,金禾新苑 2室2厅 480万,480万,2室2厅 | 81.71平米 | 南 | 简装 | 低楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_oHDU2IaJc_1.jpg.296x216.jpg
20200208,浦东,三林,新房源，满五唯一，税费少，前排室小区花园，随时看,430万,2室2厅 | 87.16平米 | 南 | 精装 | 中楼层(共20层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_47Poe81kz_1.jpg.296x216.jpg
20200208,浦东,三林,总价低，户型方正，精装修保养好，河景房，满五唯一！,430万,2室2厅 | 83.52平米 | 南 北 | 精装 | 低楼层(共18层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PkPTVt2eC_1.jpg.296x216.jpg
20200208,浦东,三林,紧靠前滩 两房两厅全南户型 视野好 6.8号线双轨交汇房主自荐,410万,2室2厅 | 81.74平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ULhyp3RzT_1.jpg.296x216.jpg
20200208,浦东,三林,有阁楼 房子满五唯一免个税  看房方便 业主诚意出售房主自荐,650万,3室2厅 | 96.66平米 | 南 | 精装 | 高楼层(共8层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mZ8R1xs8D_1.jpg.296x216.jpg
20200208,浦东,三林,南北通大三房 满五唯一精装修 业主自住保养好,465万,3室2厅 | 88.32平米 | 南 | 精装 | 18层 | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pxoiNUARz_1.jpg.296x216.jpg
20200208,浦东,三林,满五唯一，产证69平，另附18平，精装地暖，全屋净水,380万,1室2厅 | 69.46平米 | 南 | 精装 | 低楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_3Kxd8eZy2_1.jpg.296x216.jpg
20200208,浦东,三林,C4户型，满五唯一，产证90平，另附25平，精装带车位,515万,3室2厅 | 90.15平米 | 南 | 精装 | 低楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_n6JeEJyi6_1.jpg.296x216.jpg
20200208,浦东,三林,新上房源，楼层佳，南北通，看房方便，幼到中！,299万,1室1厅 | 44.12平米 | 南 北 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MHBJrondP_1.jpg.296x216.jpg
20200208,浦东,三林,11号线浦三路近地铁，13年次新房，精装修，采光好。,545万,2室1厅 | 81.17平米 | 南 | 精装 | 低楼层(共12层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_78rdmYtIy_1.jpg.296x216.jpg
20200208,浦东,三林,税费低，品质小区，万科物业，业主诚意卖房房主自荐,550万,2室2厅 | 94.4平米 | 南 北 | 精装 | 低楼层(共18层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_K8HL638Cx_1.jpg.296x216.jpg
20200208,浦东,三林,房东诚心出售  装修和保养都不错 11号线浦三路地铁站,370万,2室2厅 | 81.49平米 | 南 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_FuolxY38c_1.jpg.296x216.jpg
20200208,浦东,三林,2012年的小区，高楼层，视野广阔，格局好，得房率高,388万,2室1厅 | 75.81平米 | 南 | 简装 | 中楼层(共18层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_D8DvmqRZC_1.jpg.296x216.jpg
20200208,浦东,三林,中间楼层 户型方正  地铁口 出行便利,375万,2室2厅 | 79.21平米 | 北 南 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kQrgK0zaO_1.jpg.296x216.jpg
20200208,浦东,三林,带产权车位+中间位置+南北通透+精装修两房+一梯两户,415万,2室2厅 | 74.44平米 | 南 北 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8t1DywX2A_1.jpg.296x216.jpg
20200208,浦东,三林,婚房装修 近地铁 电梯高层 前后无遮挡 采光好 视野佳房主自荐,575万,2室2厅 | 91.11平米 | 南 | 精装 | 高楼层(共13层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yqixVq4FW_1.jpg.296x216.jpg
20200208,浦东,三林,小区中间位置，视野开阔，户型好,730万,4室2厅 | 137.71平米 | 南 北 | 简装 | 高楼层(共12层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_B8ctz2A9J_1.jpg.296x216.jpg
20200208,浦东,三林,满五唯一，20平花园，户型方正，诚意出售,550万,2室2厅 | 85.91平米 | 南 | 精装 | 低楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KUoyNdg69_1.jpg.296x216.jpg
20200208,浦东,三林,精装修，满五年不唯一，配套成熟，交通便利房主自荐,470万,2室2厅 | 92.12平米 | 南 | 精装 | 低楼层(共18层) | 2000年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_zJ9kd2YAf_1.jpg.296x216.jpg
20200208,浦东,三林,正气三房，总价低 得房率高 配套齐全，看房方便房主自荐,420万,3室1厅 | 86.45平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GBUpL9kLl_1.jpg.296x216.jpg
20200208,浦东,三林,中房樱桃苑 3室2厅 995万,995万,3室2厅 | 127.74平米 | 南 | 精装 | 中楼层(共13层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_YMolB8MzC_1.jpg.296x216.jpg
20200208,浦东,三林,品质小区+满五年唯一+人车分流+一梯一户+闹中取静位置,820万,2室2厅 | 103.8平米 | 南 | 简装 | 低楼层(共13层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GrdEVLrOu_1.jpg.296x216.jpg
20200208,浦东,三林,南北板式，满五唯一，配套设施齐全，诚意出售,680万,3室2厅 | 112.73平米 | 南 北 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Dniqic67V_1.jpg.296x216.jpg
20200208,浦东,三林,万科雅筑边套朝南全明大三房，中层满五唯一低税，诚售,930万,3室2厅 | 137.2平米 | 南 | 精装 | 中楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XmvkfeBl7_1.jpg.296x216.jpg
20200208,浦东,三林,顶楼复式，2009年次新小区，万科物业，人车分流,1100万,4室2厅 | 166平米 | 南 | 精装 | 高楼层(共14层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-11c813ee-2c92-425a-873a-ead7c052a1e7.jpg.296x216.jpg
20200208,浦东,三林,户型方正 四面采光 随时可看   适中楼层,280万,2室1厅 | 81.32平米 | 南 | 简装 | 中楼层(共5层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d77a6531-000e-4e3a-842f-48431af24f7c.png.296x216.jpg
20200208,浦东,三林,满五，税费少，采光 通风效果好，交通便利，配套成熟,268万,2室1厅 | 61.09平米 | 南 | 毛坯 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8CJIN9Sxp_1.jpg.296x216.jpg
20200208,浦东,三林,一手动迁+满五唯一+双天井+采光好+一梯两户+两房朝南,285万,2室1厅 | 57平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_tc01yTiD6_1.jpg.296x216.jpg
20200208,浦东,三林,双南板式户型，满五唯一税费少，业主自住装修,365万,2室1厅 | 77.18平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_vqTFVuwBF_1.jpg.296x216.jpg
20200208,浦东,三林,精装两房，一手动迁，税收少、南北格局，户型方正房主自荐,370万,2室2厅 | 81.49平米 | 南 北 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cdaR7bkMD_1.jpg.296x216.jpg
20200208,浦东,三林,三林新村，一房精装，一手动迁，诚意出售，税费少,320万,1室1厅 | 58.75平米 | 南 | 精装 | 低楼层(共18层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-627cb63b-9517-4b6a-acd4-504e3ddd8ebc.jpg.296x216.jpg
20200208,浦东,三林,前滩品质商品房 低总价稀有户型 带地暖免个税 近地铁,510万,2室1厅 | 82.96平米 | 南 | 精装 | 低楼层(共14层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a7737cee-2e33-4636-91c1-3d02f7cdb02a.jpg.296x216.jpg
20200208,浦东,三林,业主诚意出！交通便利，采光好，配套成熟,280万,2室1厅 | 61.51平米 | 南 | 毛坯 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-108759ac-baed-4013-bd10-0673caaa0aac.jpg.296x216.jpg
20200208,浦东,三林,地铁广场旁 中区楼层，满五唯一，精装修，看房方便；,465.5万,2室1厅 | 89.54平米 | 西 南 | 精装 | 中楼层(共12层) | 1999年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-ceea7551-6c31-4b20-a636-e23af1199baa.jpg.296x216.jpg
20200208,浦东,三林,紧靠前滩，一梯两户，板式一房，地铁6.8号线交汇,265万,1室1厅 | 52.37平米 | 南 | 其他 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/bc23f020-5d15-464b-9f48-ac97600c7b53_1000.jpg.296x216.jpg
20200208,浦东,三林,浦发博园(公寓) 3室2厅 718万,718万,3室2厅 | 131.6平米 | 南 | 简装 | 低楼层(共14层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b71f39af-aaeb-4014-9561-ae1a0b211de9.jpg.296x216.jpg
20200208,浦东,三林,顶楼复式大四房，适合三代同堂，近地铁近三林印象城房主自荐,569万,4室2厅 | 125.19平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c7ce3014-8a6d-410b-8286-42fc8b93e049.jpg.296x216.jpg
20200208,浦东,三林,南北格局，户型正气，近地铁，交通便利,680万,3室2厅 | 115平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6c82b981-4a2a-4494-b82f-68df1f013d7a.jpg.296x216.jpg
20200208,浦东,三林,次新小区，三开间朝南，高区景观楼层，近地铁11号线,499万,3室2厅 | 94.22平米 | 南 | 简装 | 中楼层(共14层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4o8D6Gtcm_1.jpg.296x216.jpg
20200208,浦东,三林,中海全南三房 2011年次新商品电梯房 高区视野采光好,455万,3室2厅 | 88.41平米 | 南 | 精装 | 18层 | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BQLvOaI2Q_1.jpg.296x216.jpg
20200208,浦东,三林,三林新村花园位置一房，采光好，停车方便。,250万,1室1厅 | 51.39平米 | 南 | 毛坯 | 低楼层(共18层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zohZ7peAD_1.jpg.296x216.jpg
20200208,浦东,三林,三房，全明户型，东边套，精装修6、8、11号三轨交汇,415万,3室1厅 | 85.37平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_nAQW9UMHi_1.jpg.296x216.jpg
20200208,浦东,三林,近地铁 楼层好 税费少 房型正 南北通,345万,2室1厅 | 74.1平米 | 南 北 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c563ecb8-3ab4-47f5-9bd1-6c39dd63d850.jpg.296x216.jpg
20200208,浦东,三林,一手动迁+满五唯一+中间楼层+朝向花园+采光好+无户口,380万,1室1厅 | 58.79平米 | 南 | 毛坯 | 中楼层(共18层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4d155800-fa6c-4595-932d-5a82c1b4fe70.jpg.296x216.jpg
20200208,浦东,三林,凌兆小两房 总价低 高楼层 带车位 价格可谈房主自荐,285万,2室1厅 | 57.19平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pZaxabcOA_1.jpg.296x216.jpg
20200208,浦东,三林,三林苑，南北两房，全明户型，高楼层，采光好,370万,2室1厅 | 70.84平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-32b809f5-a538-4614-ba27-f6f464a57bd5.jpg.296x216.jpg
20200208,浦东,三林,前滩辐射住宅 地铁6号8号线  三房改两房,385万,3室2厅 | 88.94平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-eaa494d5-fe28-487e-bf05-1eb8553eddb7.jpg.296x216.jpg
20200208,浦东,三林,未来域品质复式大三房，拎包入住近地铁,768万,3室2厅 | 130.25平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_j0B3K82ki_1.jpg.296x216.jpg
20200208,浦东,三林,地铁6号线8号线11号线正规复式带阁楼视野好,495万,3室2厅 | 96.59平米 | 北 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1nlh1o4iF_1.jpg.296x216.jpg
20200208,浦东,三林,满五唯一免个税 正气三房总价低 得房率高 看房便利,408万,3室1厅 | 82平米 | 南 北 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XvWx1hd8O_1.jpg.296x216.jpg
20200208,浦东,三林,万科雅筑电梯三房，位于小区位置佳、景观好，看房方便,645万,3室2厅 | 89.09平米 | 南 | 其他 | 高楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_c8rbsPPgR_1.jpg.296x216.jpg
20200208,浦东,三林,在花园中的顶楼复式，闹市中的一片“净土”,1150万,5室2厅 | 92.16平米 | 东 南 北 | 精装 | 6层 | 2009年建 | 板塔结合,https://image1.ljcdn.com/310000-inspection/pc1_vWEUAThaE_1.jpg.296x216.jpg
20200208,浦东,三林,两梯两户，楼间距开阔，三开间朝南，采光充足,710万,2室2厅 | 113.19平米 | 南 | 精装 | 低楼层(共17层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_l7DMlcNZK_1.jpg.296x216.jpg
20200208,浦东,三林,40W新装修+带花园+户型正气+拎包入住+中间位置,750万,3室2厅 | 115.7平米 | 南 | 精装 | 低楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_NYgldBymI_1.jpg.296x216.jpg
20200208,浦东,三林,意凯家苑 大两房 南北户型 楼层好 看房方便房主自荐,568万,2室2厅 | 110.3平米 | 南 | 精装 | 中楼层(共12层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_lBtVOrtH8_1.jpg.296x216.jpg
