20200208,浦东,北蔡,满五唯一税费少！单价低总价也低！房东诚意出售！必看好房,400万,3室1厅 | 118.69平米 | 南 | 简装 | 低楼层(共22层) | 1998年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_lDyJkmqzF_1.jpg.296x216.jpg
20200208,浦东,北蔡,毛坯清水房 央位电梯中高区 品质小区 两梯两户 急售,1050万,3室2厅 | 141.36平米 | 南 | 毛坯 | 中楼层(共27层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CGMOdP1l5_1.jpg.296x216.jpg
20200208,浦东,北蔡,纯毛坯房+不靠马路+靠世纪公园+有钥匙,600万,3室1厅 | 104平米 | 南 | 毛坯 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5b3DcTG0c_1.jpg.296x216.jpg
20200208,浦东,北蔡,此房满五唯一 南北户型 业主诚意出售 采光无限好,850万,3室2厅 | 110.64平米 | 南 | 简装 | 高楼层(共11层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_C0PCGlDQU_1.jpg.296x216.jpg
20200208,浦东,北蔡,地铁口的电梯房，满五唯一，税少,425万,2室1厅 | 95.79平米 | 南 | 简装 | 高楼层(共22层) | 1992年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-cdfb5dcf-a3cb-441e-8c9d-3bef6137ebd5.jpg.296x216.jpg
20200208,浦东,北蔡,2005年小区 一手动迁 双天井 四轨交汇 税费少,420万,2室1厅 | 78.34平米 | 南 | 简装 | 低楼层(共13层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zYcXtRcmG_1.jpg.296x216.jpg
20200208,浦东,北蔡,链家北蔡Vip电梯大三房+地铁7/13号线+临昌邑+诚意出售,1020万,3室2厅 | 148.2平米 | 南 北 | 精装 | 中楼层(共18层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_x47QkFkC6_1.jpg.296x216.jpg
20200208,浦东,北蔡,03年精装大三房，近地铁，中间楼层,680万,3室2厅 | 121.69平米 | 南 北 | 精装 | 中楼层(共5层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9wGdZo1Ls_1.jpg.296x216.jpg
20200208,浦东,北蔡,中环内，近地铁一手动迁无增值税，品质小区绿化高。,508万,2室2厅 | 89.33平米 | 南 | 精装 | 6层 | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ryoIEGgza_1.jpg.296x216.jpg
20200208,浦东,北蔡,房子满五年 居家装修 一梯一户 楼上阁楼可以打通,490万,3室2厅 | 109.6平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_D9vDmyiap_1.jpg.296x216.jpg
20200208,浦东,北蔡,此房楼层好，视野开阔，采光充足，配套设施齐全。,778万,3室2厅 | 115平米 | 南 | 精装 | 17层 | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pBszpYDRe_1.jpg.296x216.jpg
20200208,浦东,北蔡,五楼复式带130平面积+三房朝南＋满五唯一＋7/13地铁口,899万,6室3厅 | 130平米 | 北 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_agfKUJbM7_1.jpg.296x216.jpg
20200208,浦东,北蔡,景泰嘉苑 3室2厅 640万,640万,3室2厅 | 122.01平米 | 南 北 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LMdL8WOFv_1.jpg.296x216.jpg
20200208,浦东,北蔡,新上房源，自住装修，诚意出售，价格好谈！,750万,3室2厅 | 111.35平米 | 南 | 精装 | 低楼层(共18层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_q4UbDDIWh_1.jpg.296x216.jpg
20200208,浦东,北蔡,全新从未住过+16平大露台-满5年省个税+二期安静位置,2850万,4室3厅 | 292.43平米 | 南 | 精装 | 低楼层(共19层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9d49d432-2bc4-4258-991e-71b8c91817fd.jpg.296x216.jpg
20200208,浦东,北蔡,精装南北通透大三房，坐拥双轨，视野开阔，单价低,955万,3室2厅 | 132.76平米 | 南 北 | 精装 | 高楼层(共12层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-86975342-2c4f-495c-b852-303a68aabbb0.jpg.296x216.jpg
20200208,浦东,北蔡,4楼复5楼+7号和13号地铁线+满五唯一+大露台+南北通,898万,4室2厅 | 118.6平米 | 南 北 | 精装 | 高楼层(共4层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c6242001-cf02-4bf8-aa71-da4f39010458.jpg.296x216.jpg
20200208,浦东,北蔡,精装三房，户型方正 ，格局好，税费低房主自荐,378万,3室1厅 | 83平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a1793d78-bffa-4ab7-9759-00b1858213a4.jpg.296x216.jpg
20200208,浦东,北蔡,中环内，精装修，满二唯一，一梯两户，南北户型房主自荐,275万,2室1厅 | 62.73平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ilh3Czwm1_1.jpg.296x216.jpg
20200208,浦东,北蔡,两房朝南，户型正气，满五唯一，税费少,302万,2室1厅 | 57.9平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-e27532d2-c5f9-4e91-aad9-f1416a689cde.png.296x216.jpg
20200208,浦东,北蔡,全明东边套+中间楼层位置好+商品房有钥匙+无抵押,275万,2室1厅 | 63.26平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-c7cd4df8-26de-4b92-8b38-715acbf5d314.png.296x216.jpg
20200208,浦东,北蔡,精装全明户型 车位充足小区 内中环紧靠锦绣路和沪南路,490万,3室2厅 | 108.66平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a85f9d8f-e40f-4d54-b047-9d3be0a38653.jpg.296x216.jpg
20200208,浦东,北蔡,精装修，一梯一户，全明户型，1999年商品房，车位充裕房主自荐,575万,3室1厅 | 114.15平米 | 南 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d576b42e-109e-4223-bcac-700ca577af3d.jpg.296x216.jpg
20200208,浦东,北蔡,中内环景观小区+近7/13/号线+房东改善住房诚意出售房主自荐,790万,2室2厅 | 102.55平米 | 南 | 精装 | 高楼层(共20层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7a25ba09-a6a6-4999-aca4-c50dadc06af6.jpg.296x216.jpg
20200208,浦东,北蔡,位置安静+两卫+7号线+13号线+置换急售+房型设计好,440万,2室2厅 | 87.6平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-81bd2389-7f1d-431c-9d67-51b64b62b470.png.296x216.jpg
20200208,浦东,北蔡,精装修，户型正气，次顶楼，通风采光充足，双轨7+13房主自荐,870万,3室2厅 | 133.7平米 | 南 东 | 精装 | 高楼层(共11层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-e0de104e-7f87-43a3-8c38-f9c0366ca4f1.png.296x216.jpg
20200208,浦东,北蔡,中环内+2000年商品房+中间楼层+诚意出售,680万,3室2厅 | 118.14平米 | 南 | 精装 | 中楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6e8f5c3a-203c-49ac-8553-ea86a5b02920.jpg.296x216.jpg
20200208,浦东,北蔡,玉兰小区 双南大二房 装修刚2年 可拎包入住！！,363万,2室1厅 | 76.88平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-50842339-6aeb-4a52-83dc-5046de857a7c.jpg.296x216.jpg
20200208,浦东,北蔡,满五年唯一，税少，房东自住保养得好。房主自荐,458万,3室1厅 | 94.93平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-baf5ca07-7d96-4aba-bfe3-30990b79f306.png.296x216.jpg
20200208,浦东,北蔡,地铁口，满五年税少，小区央座，中层，全明东边套,405万,2室1厅 | 70.56平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-7872f88c-526a-4868-8c47-dcb21f2e6d9d.png.296x216.jpg
20200208,浦东,北蔡,小区位置好，不靠马路不靠高压线，带花园，看房方便,470万,2室1厅 | 79.71平米 | 南 | 简装 | 低楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8dac1f66-aebd-4e14-8e73-bc538d353d6a.jpg.296x216.jpg
20200208,浦东,北蔡,精装三房改两房两厅品质家居小区央位 看房提前约 诚售房主自荐,365万,2室2厅 | 73.38平米 | 南 北 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ac0f2e23-477b-4110-81cb-a6e9006e5ade.jpg.296x216.jpg
20200208,浦东,北蔡,培花久远公寓 2室1厅 348万,348万,2室1厅 | 65.96平米 | 南 | 精装 | 中楼层(共7层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8525b779-4813-4524-a160-43d76c6f2d1d.jpg.296x216.jpg
20200208,浦东,北蔡,有车位 次顶楼 满两年 房龄新拎包住 视野好 业主诚意房主自荐,1290万,4室2厅 | 136.81平米 | 南 | 精装 | 高楼层(共10层) | 2016年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-168b6275-b598-41bd-b7ff-edee30a80736.jpg.296x216.jpg
20200208,浦东,北蔡,2003年商品小区，一梯两户，精装三房，南北通透带天井,330万,2室1厅 | 62.55平米 | 南 北 | 精装 | 低楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-62b97e27-8997-4e9d-a0e2-2db01b2aa485.jpg.296x216.jpg
20200208,浦东,北蔡,7号地铁沿线+顶楼复式+上下两层+层高3米+居家精装修房主自荐,690万,5室3厅 | 127.3平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6d28a1f0-5f30-4d1e-9a59-88c366f82c90.jpg.296x216.jpg
20200208,浦东,北蔡,2012装修精致婚房总高六楼的四楼一梯两户固定长租车位房主自荐,510万,2室2厅 | 79.71平米 | 南 北 | 精装 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f2a30367-6c34-4d65-a3dd-243c34a94ec3.jpg.296x216.jpg
20200208,浦东,北蔡,地铁600米，绿地精工建造，2004年商品房，近滨河公园,550万,3室2厅 | 107.74平米 | 南 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-15ae1767-6d0d-404d-b466-aec3508831ce.jpg.296x216.jpg
20200208,浦东,北蔡,满五唯一，产权清晰，交通便利，南北格局，采光充足,430万,3室1厅 | 100.15平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-7a8a8477-cc5d-41f1-a4a6-eac30f05e8b3.png.296x216.jpg
20200208,浦东,北蔡,2002年小区 精装修 户型方正 采光充足 满五年税费少,396万,2室1厅 | 73.78平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pMufE4Yf0_1.jpg.296x216.jpg
20200208,浦东,北蔡,电梯房，全明户型，单价较低，性价高房主自荐,370万,2室2厅 | 87.55平米 | 南 西 | 精装 | 低楼层(共22层) | 1998年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_nCe1v3S0w_1.jpg.296x216.jpg
20200208,浦东,北蔡,满两年 买进价高 税费少 双轨交通 配套成熟,387万,2室1厅 | 78.2平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UcM5f12yC_1.jpg.296x216.jpg
20200208,浦东,北蔡,全明户型 次顶楼 采光好  户型方正   一梯两户,355万,2室1厅 | 65.06平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-36cb8988-3042-499b-97c5-19d854043e0a.jpg.296x216.jpg
20200208,浦东,北蔡,首付68.6万，厨卫朝北对外面，带明窗，户型方正,193.8万,1室1厅 | 49.68平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9679f20c-038d-4386-803c-e3bd34e37a44.jpg.296x216.jpg
20200208,浦东,北蔡,全明户型，全南户型，房龄新，税费少,313万,1室1厅 | 60.89平米 | 南 | 简装 | 16层 | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hs8a5kQBi_1.jpg.296x216.jpg
20200208,浦东,北蔡,两房朝南+客厨卫都有窗+非顶楼+拎包入住房主自荐,316.8万,2室1厅 | 57.6平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2f8a27d5-96f3-4cf3-a9b0-da90162f451e.jpg.296x216.jpg
20200208,浦东,北蔡,一楼双天井，南北通风，全明户型，业主诚意出售。,270万,2室1厅 | 61.69平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_FzMONtMSU_1.jpg.296x216.jpg
20200208,浦东,北蔡,高区景观2房，精装修，小区人车分流，门口地铁13号线,620万,2室2厅 | 77.61平米 | 南 | 精装 | 高楼层(共18层) | 2013年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_H4mqd5uNi_1.jpg.296x216.jpg
20200208,浦东,北蔡,一梯一户河景房，小区环境优美，停车方便,480万,2室2厅 | 99.86平米 | 南 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_EmxjSqtrE_1.jpg.296x216.jpg
20200208,浦东,北蔡,有钥匙+ 新上房源+电梯高层+采光好+临河景观+诚意卖,760万,3室2厅 | 113.25平米 | 南 | 简装 | 高楼层(共18层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XUNjAcFSS.jpg.296x216.jpg
20200208,浦东,北蔡,满五唯一，南北通透，全明户型，近浦东图书馆，近地铁,279万,2室1厅 | 57.31平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ae753d23-f594-4393-a224-6bf1355977c7.png.296x216.jpg
20200208,浦东,北蔡,满五唯一 精装 近地铁7+13号线 有产权车位 权属清晰,865万,3室2厅 | 133.73平米 | 南 西南 | 精装 | 中楼层(共11层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6b637421-db5e-462d-899f-1270498dfcc5.jpg.296x216.jpg
20200208,浦东,北蔡,7/13双轨+户型通透+花园位置+配套成熟+精装修+税费少,950万,3室2厅 | 138.5平米 | 南 | 精装 | 中楼层(共9层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GzS5eYOXn_1.jpg.296x216.jpg
20200208,浦东,北蔡,动迁满五唯一， 楼层佳 简约风个  诚信出售 位置佳,745万,3室2厅 | 126.35平米 | 南 | 精装 | 中楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_l2lNdFKsz_1.jpg.296x216.jpg
20200208,浦东,北蔡,满五年唯一  小区央座  双轨交通   业主急售  随时看,468万,3室1厅 | 104平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SKuYLq3XD_1.jpg.296x216.jpg
20200208,浦东,北蔡,南北通三房满5年唯一税少，不靠高架安静近地铁,1160万,3室2厅 | 122.3平米 | 南 | 精装 | 低楼层(共19层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4rWLu92O6_1.jpg.296x216.jpg
20200208,浦东,北蔡,房子2002年建成的飞机户型，看房方便 通风好,680万,3室2厅 | 129.61平米 | 南 | 简装 | 中楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rIfZmyTWO_1.jpg.296x216.jpg
20200208,浦东,北蔡,板式南北通 全面户型 双轨地铁 7+13号线 带小花园,830万,3室2厅 | 107.83平米 | 南 | 简装 | 低楼层(共4层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XRQe4q61u_1.jpg.296x216.jpg
20200208,浦东,北蔡,地铁口小三房 精装自住 二手买入税少 诚意出售好看房房主自荐,693万,3室2厅 | 97.18平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_RRDwSNJPe_1.jpg.296x216.jpg
20200208,浦东,北蔡,房子满五年的 精装修 全明户型 南北通,390万,3室1厅 | 84.28平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UrkjQGp0m_1.jpg.296x216.jpg
20200208,浦东,北蔡,好房！7号线地铁口 商品房满五年  一梯两户 诚意出售,465万,3室1厅 | 94.59平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_n74OSIR9B_1.jpg.296x216.jpg
20200208,浦东,北蔡,2005年商品房，双阳台，精装修，诚意出售,500万,3室2厅 | 102.76平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_E16rlvpOl_1.jpg.296x216.jpg
20200208,浦东,北蔡,13年次新房 1梯1户 大平层 4开间朝南 配套齐全,1800万,4室2厅 | 196.81平米 | 南 | 精装 | 低楼层(共18层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_i5v9igTFG_1.jpg.296x216.jpg
20200208,浦东,北蔡,精装 带产权车位，通风采光好，全明户型，小区央位,1350万,3室2厅 | 146.79平米 | 南 北 | 精装 | 中楼层(共19层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SSFBu05yS_1.jpg.296x216.jpg
20200208,浦东,北蔡,2017年45万精装修 +一手动迁10楼次顶层 南视野无遮挡房主自荐,853万,3室2厅 | 135.54平米 | 南 | 精装 | 高楼层(共11层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6I9OGSIVT_1.jpg.296x216.jpg
20200208,浦东,北蔡,内环边超低总价，板式三房，价格可谈，看房找维护人房主自荐,425万,3室1厅 | 86.62平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cBhrcAmF3_1.jpg.296x216.jpg
20200208,浦东,北蔡,近地铁，电梯三房，一手动迁，一梯两户，中间位置,688万,3室2厅 | 113.4平米 | 南 | 精装 | 中楼层(共14层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_HuLekNzDf_1.jpg.296x216.jpg
20200208,浦东,北蔡,德铭苑 3室2厅 680万,680万,3室2厅 | 113.17平米 | 南 | 精装 | 高楼层(共16层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8SPfqW4Az_1.jpg.296x216.jpg
20200208,浦东,北蔡,《中环内+稀有全明小户型+有钥匙随时看房》,222万,1室1厅 | 47.05平米 | 南 | 毛坯 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-8b9a0e88-3ae5-4af5-9238-06bfca961e9f.png.296x216.jpg
20200208,浦东,北蔡,此房南北通风，房型正，视野开阔，一个点税，随时可看房主自荐,170万,1室1厅 | 46.15平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZnJu6IKJd_1.jpg.296x216.jpg
20200208,浦东,北蔡,婚房装修，高区采光好，满五唯一，免个税。,243万,1室1厅 | 46.87平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3e9fc983-587a-42ca-845b-3aa2edeaf4e6.jpg.296x216.jpg
20200208,浦东,北蔡,2000年商品房，，户型方正，小区停车方便,420万,2室2厅 | 86.12平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8ff0a388-7404-4bc2-a791-0fdd59c05362.jpg.296x216.jpg
20200208,浦东,北蔡,税费少 看房方便 装修保养好 诚意出售,390万,2室1厅 | 64平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-827e35f6-eded-469f-8959-9b7957b50b16.jpg.296x216.jpg
20200208,浦东,北蔡,满五唯一 中间楼层 简单装修 南北户型 采光佳,268万,2室1厅 | 55.76平米 | 南 北 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-537efd2f-63b3-4046-8d95-12e6f3630272.jpg.296x216.jpg
20200208,浦东,北蔡,大两房，双南户型房屋进深开间比适中，交通便利,285万,2室1厅 | 66.48平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VBppTpsNm_1.jpg.296x216.jpg
20200208,浦东,北蔡,中间楼层 全明户型 交通便利 生活方便,395万,2室1厅 | 81.39平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_p7FJPiwcu_1.jpg.296x216.jpg
20200208,浦东,北蔡,双地铁口动迁一房，小区中间位置，诚意出售。,300万,1室1厅 | 57.55平米 | 南 | 毛坯 | 低楼层(共17层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UP4EbWk13_1.jpg.296x216.jpg
20200208,浦东,北蔡,双轨交通，位于中环邻内，满五唯一，,395万,2室2厅 | 72.38平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VAJjiT3bE_1.jpg.296x216.jpg
20200208,浦东,北蔡,链家北蔡电梯好房+配套齐全+双轨交7/13号线+南北直通房主自荐,935万,3室2厅 | 130.8平米 | 南 北 | 精装 | 中楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7kwfQjuhQ_1.jpg.296x216.jpg
20200208,浦东,北蔡,一手动迁  满五年 唯一  楼层佳 看房随时,324.9万,2室1厅 | 66.86平米 | 南 北 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5b879cee-d972-4243-9124-0228c0fc79d3.jpg.296x216.jpg
20200208,浦东,北蔡,户型正气  业主诚意出售  交通便利,458万,3室1厅 | 96.26平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fca6bb13-e83a-4835-9c35-b39d15274eee.jpg.296x216.jpg
20200208,浦东,北蔡,绿地集团建造， 低楼层 南北通风 一梯两户,490万,3室2厅 | 103.47平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9fc3a51e-4bde-44d5-a5b6-7d9d141eeefa.jpg.296x216.jpg
20200208,浦东,北蔡,沙发上，地铁上，说看房，就看房！,315万,2室1厅 | 58.86平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d45844c2-a8f7-4fe0-866c-617bae0d0016.jpg.296x216.jpg
20200208,浦东,北蔡,4楼不靠路，采光充足，满五年唯一，一般下午看房方便,310万,2室1厅 | 69.12平米 | 南 | 毛坯 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_bt7QAZal4_1.jpg.296x216.jpg
20200208,浦东,北蔡,满五唯一 龙阳商圈 全明户型，诚意出售，看房方便,358万,2室1厅 | 65.6平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-29ef6ffc-b1d9-4a72-94a3-069773e15683.jpg.296x216.jpg
20200208,浦东,北蔡,标准南北通少有的电梯中层，一手动迁，房东诚意卖,510万,2室2厅 | 85.83平米 | 南 | 毛坯 | 16层 | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7a31b175-438b-4703-b9c3-cdeff16d82bc.jpg.296x216.jpg
20200208,浦东,北蔡,小区央座+地铁口小区+花木街道+业主自住精装带车位！房主自荐,353万,2室1厅 | 69.4平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-80066902-df54-4c18-a202-dc43d7043bae.jpg.296x216.jpg
20200208,浦东,北蔡,2005年商品房 一梯两户 3楼 满五唯一 产权清晰房主自荐,426万,2室2厅 | 82.86平米 | 南 北 | 精装 | 中楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a612e93d-1a88-4add-93d2-a07d659725f9.jpg.296x216.jpg
20200208,浦东,北蔡,满五年无增值税+低总价低单价+业主置换诚意出售,180万,1室1厅 | 46.15平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-93d12f89-1d77-4e9c-8ad4-83a2e88a2533.jpg.296x216.jpg
20200208,浦东,北蔡,房子满五唯一 高区 通风效果好 采光佳 不靠路,170万,1室1厅 | 36.89平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-492cba33-7e89-40ad-9934-8c90eeb89956.jpg.296x216.jpg
20200208,浦东,北蔡,总高6楼的5楼，有钥匙随时看，7号线863米（来自高德）,423万,3室1厅 | 81.39平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-5bbaa2fa-8aab-4aa5-a6d8-ac31320a854c.png.296x216.jpg
20200208,浦东,北蔡,万邦大三房复式 地铁四轨交汇 满五唯一 高区景观房,980万,3室2厅 | 135.86平米 | 南 | 精装 | 高楼层(共17层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b102d079-da36-4144-933e-164598fb5f19.jpg.296x216.jpg
20200208,浦东,北蔡,公园纪12年板式2+1户型+婚房精装修+全屋空调带水暖,790万,2室2厅 | 106.91平米 | 南 | 精装 | 中楼层(共20层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5ca67a0b-16ad-4595-ae3f-df6c9d19587b.jpg.296x216.jpg
20200208,浦东,北蔡,双房朝南+采光好+毛坯房+可自己装修+随时可看+有钥匙房主自荐,307万,2室1厅 | 61.13平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f87f6304-e452-42e4-8b5c-cfda4cabed7e.jpg.296x216.jpg
20200208,浦东,北蔡,2017年次新房，统一装修全屋空调加墙暖，诚意出售！,850万,3室2厅 | 88.56平米 | 南 | 精装 | 低楼层(共24层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7f716edf-a5a1-4c32-99ca-cb5a306ca101.jpg.296x216.jpg
