20200208,浦东,联洋,9号线+进才+南北双阳台+统装交付+地暖+空调必看好房,1350万,3室2厅 | 136.32平米 | 南 | 精装 | 低楼层(共26层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_So4PujBjX_2.jpg.296x216.jpg
20200208,浦东,联洋,满五年唯一+近地铁口+高区采光遮挡+房型方正,910万,2室2厅 | 94平米 | 南 | 精装 | 高楼层(共11层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yC2Oc8BTi_1.jpg.296x216.jpg
20200208,浦东,联洋,4+1户型  带产权车位  中高楼层   新上,2280万,4室2厅 | 224.27平米 | 南 | 精装 | 高楼层(共26层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dL73fzP3z.jpg.296x216.jpg
20200208,浦东,联洋,天安正气大四房，带100㎡花园，二次装修保养好,1800万,4室2厅 | 188.73平米 | 南 | 精装 | 4层 | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_tg81xGxQU_1.jpg.296x216.jpg
20200208,浦东,联洋,第九城市(一期) 5室2厅 1700万,1700万,5室2厅 | 177.17平米 | 南 北 | 精装 | 高楼层(共18层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_L53SJVwnr.jpg.296x216.jpg
20200208,浦东,联洋,中高楼层采光好，装修保养好，税费低，随时看房！,769万,1室2厅 | 75.84平米 | 南 | 精装 | 中楼层(共26层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-07e788b1-13fa-43fb-a136-5c53d034b8ce.jpg.296x216.jpg
20200208,浦东,联洋,联洋国际社区别墅出售，看房随时，商圈内配套齐全,2750万,4室3厅 | 396.78平米 | 南 | 精装 | 3层 | 2004年建 | 板楼 | 联排别墅,https://image1.ljcdn.com/310000-inspection/4a52b98e-c255-4db3-9f44-053ef82ce980.jpg.296x216.jpg
20200208,浦东,联洋,160平大露台 私人独享，顶层复式 单价低 方便看房,2420万,6室2厅 | 303.21平米 | 南 | 其他 | 高楼层(共29层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadeea8cf83-5ce4-481f-a9e1-b8abeb153183.jpg.296x216.jpg
20200208,浦东,联洋,9号线顶复，视野开阔，通透性好，私密性高，业主诚售,1880万,5室3厅 | 240平米 | 南 | 精装 | 高楼层(共18层) | 2001年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20171106/e35ab6e7-28ec-4d34-b65a-1c014109003f.jpg.296x216.jpg
20200208,浦东,联洋,南北通 高区采光好 自住看方便 价格可以谈,1398万,3室2厅 | 154.23平米 | 南 | 精装 | 高楼层(共22层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-497b9d1b-9335-4baf-a6ae-cf84fc1074fe.png.296x216.jpg
20200208,浦东,联洋,带产权车位，精装高层，视野好，看房方便，诚意出售,2500万,4室2厅 | 224.87平米 | 南 | 精装 | 高楼层(共26层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_aCYyY0Nm4_1.jpg.296x216.jpg
20200208,浦东,联洋,芳甸路地铁站，朝南三房，看河景，满五唯一，改善三房,1250万,3室2厅 | 150.9平米 | 南 | 精装 | 低楼层(共30层) | 2005年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20171206/8691ea47-b660-4b2a-9ceb-fa21fdf8dc4f.jpg.296x216.jpg
20200208,浦东,联洋,满五唯一，复式装修，4房，利用率高,1560万,4室2厅 | 172.26平米 | 南 | 精装 | 低楼层(共9层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_J30x7aFAb.jpg.296x216.jpg
20200208,浦东,联洋,第九城市(一期) 3室2厅 1420万,1420万,3室2厅 | 147.33平米 | 南 | 简装 | 低楼层(共22层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0jneF0NKt_1.jpg.296x216.jpg
20200208,浦东,联洋,超大花园 南北通透 全明户型 税费各付,1190万,3室2厅 | 142.59平米 | 南 北 | 精装 | 低楼层(共15层) | 2002年建 | 板楼,
20200208,浦东,联洋,得房率高，房间大，自住装修，保养好，方便看房,1260万,3室2厅 | 142.17平米 | 南 | 简装 | 中楼层(共18层) | 2001年建 | 板楼,
20200208,浦东,联洋,会所旁五房 有水 有树 无遮挡 景观漂亮 有车位 税费少,2690万,5室1厅 | 265.47平米 | 南 | 精装 | 高楼层(共30层) | 2007年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/test-53bfc918-b445-4c06-828c-d0e49b86c2fb.png.296x216.jpg
20200208,浦东,联洋,总价低，南北通，位置安静，诚意出售，看房方便,1175万,2室2厅 | 120.18平米 | 南 | 精装 | 低楼层(共23层) | 2006年建 | 板楼,https://image1.ljcdn.com/x-se/shfdfs-image/20141126/5cba8a9a-e5eb-4f96-a001-b9e5dd00affb.jpg.296x216.jpg
20200208,浦东,联洋,年华南北直通两房+户型方正+前后无遮挡视野好方便看,1060万,2室1厅 | 112.36平米 | 南 | 精装 | 低楼层(共21层) | 2004年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/test-bba7d6b8-7373-45a8-9332-d440c95a3f3e.png.296x216.jpg
20200208,浦东,联洋,双南大两房，户型方正，光线好，很安静,1035万,2室2厅 | 116.8平米 | 南 | 毛坯 | 低楼层(共21层) | 2004年建 | 板楼,
20200208,浦东,联洋,二期会所旁央座位置 景观房 150平空中花园,3600万,5室3厅 | 349.32平米 | 南 北 | 精装 | 高楼层(共30层) | 2007年建 | 板楼,
20200208,浦东,联洋,独有八角窗+满5唯一+安静湖景+高区3房朝南+老业主诚售,1897万,4室2厅 | 193.6平米 | 南 | 简装 | 高楼层(共18层) | 2005年建 | 板楼,https://image1.ljcdn.com/x-se/shfdfs-image/20150108/b22f71e3-6373-48b7-a02d-18f7d0d10351.jpg.296x216.jpg
20200208,浦东,联洋,个税免征，配套齐全，楼层高，视野好，此房带车位,1540万,4室2厅 | 164.48平米 | 南 | 精装 | 高楼层(共22层) | 2004年建 | 板楼,
20200208,浦东,联洋,双南户型 位置安静 无噪音 采光好  业主诚意出售,968万,2室2厅 | 98.82平米 | 南 | 精装 | 低楼层(共30层) | 2005年建 | 板楼,https://image1.ljcdn.com/x-se/shfdfs-image/20170112/090102ea-689c-48ec-92ba-f0b6e4fb60a2.jpg.296x216.jpg
20200208,浦东,联洋,满五年 飞机户型  3+1房   位置安静 诚意出售,1380万,3室2厅 | 157.35平米 | 南 | 精装 | 低楼层(共19层) | 2006年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/015ec68c-8578-4c72-9cac-f1cbfdff5d75.png.296x216.jpg
20200208,浦东,联洋,地铁9号线，南北通的顶楼复式，挑空8米客厅，近广场,2050万,4室1厅 | 252.87平米 | 南 | 精装 | 高楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ff78e123-1c29-420f-85bd-f1952291f982.jpg.296x216.jpg
20200208,浦东,联洋,位置安静中间楼层，南北通大三房，满五年唯一税费低,1380万,3室2厅 | 138.74平米 | 南 | 精装 | 25层 | 2002年建 | 板楼,
20200208,浦东,联洋,当代清水园 4室2厅 1900万,1900万,4室2厅 | 193.6平米 | 南 | 精装 | 高楼层(共18层) | 2005年建 | 板楼,https://image1.ljcdn.com/x-se/shfdfs-image/20150108/b22f71e3-6373-48b7-a02d-18f7d0d10351.jpg.296x216.jpg
20200208,浦东,联洋,第九城市(一期) 3室2厅 1368万,1368万,3室2厅 | 154.23平米 | 南 | 精装 | 低楼层(共22层) | 2004年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/test-7263ea95-00a6-474d-bc30-29c6dca96cd5.png.296x216.jpg
