20200208,浦东,川沙,房屋格局好，户型方正，满两年，唯必看好房,208万,2室1厅 | 59.89平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/500dfff3-2462-4954-9fdc-691a1223f9ec_1000.jpg.296x216.jpg
20200208,浦东,川沙,川沙少有顶楼复式 近地铁 业主自住精装修 诚心出售,750万,4室2厅 | 162.3平米 | 南 | 精装 | 高楼层(共8层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ebbe5876-3f63-468e-a5f5-6b6770be9c8b.jpg.296x216.jpg
20200208,浦东,川沙,合欢公寓，满五唯一，中间楼层，近地铁，随时看房,580万,5室2厅 | 160.02平米 | 南 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2d50268e-8700-47c1-9de7-91527887d4c9.jpg.296x216.jpg
20200208,浦东,川沙,晨光公寓 3室1厅 290万,290万,3室1厅 | 94.12平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QQcWnjYAx_1.jpg.296x216.jpg
20200208,浦东,川沙,新川公寓，蝴蝶户型，诚意出售，看中可谈，欢迎咨询,400万,3室2厅 | 137.28平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c4fad1d9-c8c4-40d1-b2bd-52f970c071cb.jpg.296x216.jpg
20200208,浦东,川沙,09年次新房+满五唯一+精装修+采光充足,415万,2室2厅 | 91.69平米 | 南 北 | 精装 | 低楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8f99342c-1dfb-453d-9c44-5b8140cf96c6.jpg.296x216.jpg
20200208,浦东,川沙,合欢公寓 满五年 精装修 157平大3房2厅 彩光好,540万,3室2厅 | 157.08平米 | 南 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6966d0db-7fae-4b98-a046-70ccf66eeb5a.jpg.296x216.jpg
20200208,浦东,川沙,大四房中间楼层，一家人居住一选，带21平产权车位,458万,4室2厅 | 146.61平米 | 南 | 简装 | 中楼层(共5层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/6081d532-da07-4266-8ab5-3bbdab5ad101_1000.jpg.296x216.jpg
20200208,浦东,川沙,2009年商品房小区 电梯高层 南北通透 自住精装修,415万,2室2厅 | 92.72平米 | 南 北 | 精装 | 高楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8409d091-8e89-4998-b391-678183adae77.jpg.296x216.jpg
20200208,浦东,川沙,满五年+小区央座楼层好+简单装修+业主诚售+拎包入住,146万,1室1厅 | 38.97平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7OHOqn5Lw_1.jpg.296x216.jpg
20200208,浦东,川沙,此房是满五年唯一，随时可看，南 北 通，交通便利,407万,3室2厅 | 112.96平米 | 南 | 简装 | 中楼层(共11层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/a886bbf6-5a4a-41d2-b54f-f3948b89f2d3_1000.jpg.296x216.jpg
20200208,浦东,川沙,川沙小2房之不二选择，上车压力小。看房随时方便！,200万,2室1厅 | 56.37平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,https://image1.ljcdn.com/310000-inspection/e502241f-bb54-4c21-8c23-d0c2af7acb00_1000.jpg.296x216.jpg
20200208,浦东,川沙,近地铁大三房  户型正气 交通便利 房东置换诚心出售,430万,3室2厅 | 123.27平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/32976543-fa47-40eb-bd65-1fb4440d884d_1000.jpg.296x216.jpg
20200208,浦东,川沙,瀚龙苑 户型方正 诚意出售  交通便利  配套丰富,305万,2室1厅 | 76.53平米 | 南 | 精装 | 中楼层(共7层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/8993ea89-efa3-4ebb-90ec-07680246a5c1_1000.jpg.296x216.jpg
20200208,浦东,川沙,电梯房中间楼层，小区绿化高，看房我有钥匙,520万,3室2厅 | 134.69平米 | 南 北 | 简装 | 中楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/3927b9fb-0852-4ea0-80b2-9482ce7777e9_1000.jpg.296x216.jpg
20200208,浦东,川沙,城南小区精装两居室 一梯两户双南户型 厨卫全明,270万,2室2厅 | 85.99平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-4141d637-a26e-4d2a-b86a-f857f48a8928.png.296x216.jpg
20200208,浦东,川沙,明珠小区 精装修两室 户型方正 楼层好 采光充足,299万,2室2厅 | 94.98平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7b4623b8-f1b0-46b2-b3fb-5221c9b76ca5.jpg.296x216.jpg
20200208,浦东,川沙,双房朝南，小两房，采光好，户型方正,210万,2室1厅 | 64.33平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9e3dbf9b-6148-4437-882a-ba4d1eb9294b.jpg.296x216.jpg
20200208,浦东,川沙,合欢公寓精装自住3室两厅两卫 满五唯一 诚心出售,455万,3室2厅 | 120.11平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f5ce2d1b-fcb1-4f2a-8803-b36f61d8934d.jpg.296x216.jpg
20200208,浦东,川沙,总价低  免增值税个税 园西 近地铁 生活气息足,214.2万,2室1厅 | 51平米 | 南 | 简装 | 中楼层(共5层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/9d332da8-23bf-4509-95c2-902df71761ff_1000.jpg.296x216.jpg
20200208,浦东,川沙,绿海三期复式房南北通透，即买即住附带露台！满五唯一,499万,3室2厅 | 174.74平米 | 南 北 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c7a8e9d4-d2b9-4b29-9bd4-5f3bdb9362e7.jpg.296x216.jpg
20200208,浦东,川沙,川沙电梯复式房 近2号线地铁站 生活便利配套完善房主自荐,440万,3室2厅 | 147.79平米 | 南 | 精装 | 高楼层(共18层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-41111f5b-88d1-4511-9d21-1ce1fd85dddd.jpg.296x216.jpg
20200208,浦东,川沙,园西小户型，总价低，一楼带院子，诚心出售随时看,240万,1室1厅 | 55.31平米 | 南 | 毛坯 | 低楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/d691e529-2122-44f5-bc07-abbbd48ad7d7_1000.jpg.296x216.jpg
20200208,浦东,川沙,一手动迁  满五唯一  只有契税 自住精装  随时可看,293万,3室1厅 | 74.39平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_AGEXYrC7Y_1.jpg.296x216.jpg
20200208,浦东,川沙,界龙花苑 2室2厅 340万,340万,2室2厅 | 81.13平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/b44331ff-c590-45f7-b65b-8d5e905d14c9_1000.jpg.296x216.jpg
20200208,浦东,川沙,该房屋精装修自住，满五唯一，税费少，,225万,2室1厅 | 64.9平米 | 南 | 精装 | 中楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/048e39f6-bb3d-4934-9cca-1e075f521763_1000.jpg.296x216.jpg
20200208,浦东,川沙,房满五唯一，房屋格局好，房东诚心卖,224万,2室1厅 | 65.31平米 | 南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/07bdbc9a-2f62-4bb7-ae8b-b307aaa6fa05_1000.jpg.296x216.jpg
20200208,浦东,川沙,钻石苑 2室1厅 360万,360万,2室1厅 | 81.6平米 | 南 | 毛坯 | 中楼层(共5层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/3f7f7842-37d9-4691-9c1a-d1d29df7e4d5_1000.jpg.296x216.jpg
20200208,浦东,川沙,出门就是华夏东路地铁3号口，没有增值税采光充足,245万,1室1厅 | 55.08平米 | 南 | 简装 | 低楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZvU6AWen4_2.jpg.296x216.jpg
20200208,浦东,川沙,一手动迁没有增税，出门就是地铁2号线,326万,2室2厅 | 79.25平米 | 南 | 简装 | 低楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/5649a876-2882-4ee9-b69c-9b12d870ac6f_1000.jpg.296x216.jpg
20200208,浦东,川沙,地铁口50米精装大三房，交通便利。,520万,3室2厅 | 140.13平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/427deb3d-0f71-4d8a-a47a-7c85656d4044_1000.jpg.296x216.jpg
20200208,浦东,川沙,妙栏路必看好房，装修户型位置都很好。,340万,3室1厅 | 87.16平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/efea391a-c2c3-4e41-8f6b-f7bb306ed6d8_1000.jpg.296x216.jpg
20200208,浦东,川沙,次新小区   大2房  南北通  安静位置  配套成熟,420万,2室2厅 | 112平米 | 南 | 简装 | 低楼层(共11层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c2a5680c-4047-416c-94c1-7aaf19119fae.jpg.296x216.jpg
20200208,浦东,川沙,3房朝南采光好，全明户型，看房随时诚心出售可以谈！,348万,3室2厅 | 117.47平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-77f664d7-2789-4e7b-a50c-c86bf1b037b8.jpg.296x216.jpg
20200208,浦东,川沙,满五唯一，电梯景观房，精装修，南北通，通风好,395万,3室2厅 | 108.53平米 | 南 | 精装 | 低楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-eb1214d2-4563-4621-8768-c5f38f02e8ae.jpg.296x216.jpg
20200208,浦东,川沙,自住装修，满五唯一。小区中间位置，中间楼层,531万,3室2厅 | 134.25平米 | 南 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fb2660a4-c28f-4456-b47b-61c564392b48.jpg.296x216.jpg
20200208,浦东,川沙,和憬家园，09年商品房，满五年，户型方正，环境优美,376.8万,2室2厅 | 87.76平米 | 南 | 毛坯 | 低楼层(共8层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dHkQeic6H_1.jpg.296x216.jpg
20200208,浦东,川沙,满5唯一、随时可看、采光好不临街、视野开阔、近地铁,360万,3室2厅 | 113.19平米 | 南 | 简装 | 高楼层(共5层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d8c3ba39-96f8-4f9a-a46f-cd9a908988bb.jpg.296x216.jpg
20200208,浦东,川沙,采光好，户型好，近地铁，税费少，装修好，总价低,280万,2室1厅 | 80.44平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6be6b515-78ed-4340-8db3-f60b752b377b.jpg.296x216.jpg
20200208,浦东,川沙,2楼带露台，小区中间不靠路，税少，看房联系维护人,230万,2室1厅 | 54.82平米 | 南 | 简装 | 中楼层(共5层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6a39a923-f141-48e5-aec1-f979b18eafac.jpg.296x216.jpg
20200208,浦东,川沙,舒馨北苑 满五年唯一省税 一房两厅 钥匙房随时看,236万,1室2厅 | 56.17平米 | 南 | 毛坯 | 低楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/44306fdc-3a1a-4206-83c8-3c35ebb04460_1000.jpg.296x216.jpg
20200208,浦东,川沙,珠光苑 三房131平方 近地铁 小区景观楼层,455万,3室2厅 | 131平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-30941ab5-bea6-44cf-b6a0-779c62fbbd73.jpg.296x216.jpg
20200208,浦东,川沙,瀚龙苑 户型方正 诚意出售 交通便利  配套丰富,310万,2室1厅 | 77平米 | 南 北 | 简装 | 中楼层(共7层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-56153edf-7b77-4b0d-8155-f60029cb9b30.jpg.296x216.jpg
20200208,浦东,川沙,此房满五唯一 生活配套齐全 高楼层 采光好  随时可看,350万,3室1厅 | 107.01平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-57fa03f2-9cfc-4142-8256-c1cf2b857075.jpg.296x216.jpg
20200208,浦东,川沙,此房满五年不唯一  一楼带天井 近地铁 配套齐,325万,2室1厅 | 80.6平米 | 南 北 | 毛坯 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1a7d1619-b989-47c4-910a-a77db5cec6d8.jpg.296x216.jpg
20200208,浦东,川沙,可拎包入住，楼层中间位置，采光通风好，满五唯一,520万,3室2厅 | 135.2平米 | 南 北 | 精装 | 中楼层(共8层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-387b86b5-18e4-4422-aae8-a61ce1dae8da.jpg.296x216.jpg
20200208,浦东,川沙,满五年+小区央座+精装修+配套齐全+业主诚售+方便看,195万,2室1厅 | 56.37平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fd680687-fc74-4ef4-bdbf-b1c719dcc880.jpg.296x216.jpg
20200208,浦东,川沙,2012年次年电梯房 高楼层 一手动迁满五年税少,320万,2室2厅 | 74.45平米 | 南 | 简装 | 中楼层(共15层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d9b2f2c7-d766-473e-84e7-bcaae941a8e9.jpg.296x216.jpg
20200208,浦东,川沙,鸿基公寓  户型方正  诚意出售 配套丰富,375万,3室2厅 | 112.46平米 | 南 北 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1a3e281e-713f-40bf-a0e7-d353c42d3c26.jpg.296x216.jpg
20200208,浦东,川沙,此房满5年 一梯一户 两房朝南 客厅朝南 通透性好,400万,2室2厅 | 103.8平米 | 南 北 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/72b1450d-757b-41ae-912e-670f50ae9bdd_1000.jpg.296x216.jpg
20200208,浦东,川沙,园西小区 1室1厅 185万,185万,1室1厅 | 40.4平米 | 南 | 精装 | 高楼层(共5层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/c48c26b1-eb91-4740-9e98-444ef5b92ce4_1000.jpg.296x216.jpg
20200208,浦东,川沙,园西加持 顶楼复式 紧凑型复式 刚需必看,265万,1室1厅 | 54.79平米 | 南 | 简装 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/92a1af08-6b95-4ad8-9bfe-7c3e8d0094b8_1000.jpg.296x216.jpg
20200208,浦东,川沙,此房位于高楼层，视野广，采光充足，交通便利。,210万,1室1厅 | 68.73平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-72062627-f880-4911-a381-3c8b3d3b4fca.jpg.296x216.jpg
20200208,浦东,川沙,新川苑 大两房 采光好 业主诚心卖,325万,2室2厅 | 98.01平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5e37bc62-2d21-436a-8cba-59d1ac58b52e.jpg.296x216.jpg
20200208,浦东,川沙,，格局好，全明户型，楼层佳，采光好,315万,3室1厅 | 88.64平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/184d72d8-9609-4fed-a223-22119c494e53_1000.jpg.296x216.jpg
20200208,浦东,川沙,妙境一村 2室1厅 320万,320万,2室1厅 | 76.65平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/4836c1c4-a0dc-45fd-8c4d-1527e717f9e5_1000.jpg.296x216.jpg
20200208,浦东,川沙,原3房，自住装修，满5年，没有个税，看房联系维护 人,285万,3室1厅 | 72.47平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/be4dcf59-ae5e-4a57-91de-861f9b5c5aa7_1000.jpg.296x216.jpg
20200208,浦东,川沙,中楼层，南北通格局好，采光充足，视野开阔,309万,2室1厅 | 76.3平米 | 南 北 | 精装 | 中楼层(共7层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/29f48350-28c3-44b8-b728-dce7ff2672c7_1000.jpg.296x216.jpg
20200208,浦东,川沙,精装，3房，低层，单价低于成交价。,320万,3室1厅 | 106.76平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/875e9460-d8a2-4f27-8e0c-38a924c0af85_1000.jpg.296x216.jpg
20200208,浦东,川沙,妙境公寓 满五唯一 南北通 中间位置 精装修 拎包入住,378万,3室1厅 | 105.56平米 | 南 | 简装 | 低楼层(共5层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/a9e64da1-9413-4450-ae82-5726e2b3e5fc_1000.jpg.296x216.jpg
20200208,浦东,川沙,电梯房，南北通格局好，采光充足，视野开阔,306万,2室2厅 | 90.82平米 | 南 | 精装 | 低楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_u6wAS5Drf_1.jpg.296x216.jpg
20200208,浦东,川沙,青厦小区 不靠路中间楼层 双南全明户型 诚意出售,260万,2室1厅 | 70.52平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/768cecce-48bc-48af-976f-b350da3615b6_1000.jpg.296x216.jpg
20200208,浦东,川沙,此房满五唯一 小区位置好 前面无遮挡 业主诚意出售,295万,2室1厅 | 72.5平米 | 南 | 简装 | 低楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/064ac3f2-2267-4edd-9c8b-59aa7c3e93df_1000.jpg.296x216.jpg
20200208,浦东,川沙,和憬家园 品质小区，边套采光好，双阳台高区视野好,430万,2室2厅 | 87.44平米 | 南 北 | 精装 | 中楼层(共14层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/76fc633b-38c4-4485-bb3b-69dae7929b78_1000.jpg.296x216.jpg
20200208,浦东,川沙,低总价 售后公房 税费少 双南户型 房东诚心出售,210万,2室1厅 | 60平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/9e447001-137f-4c54-bc2c-f771b8d7dbe8_1000.jpg.296x216.jpg
20200208,浦东,川沙,新出房源 30平的大院子 房本满5年 看房方便 诚意出售,340万,3室1厅 | 87.78平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/c1e2c152-6cec-4535-8c6c-0975f7db7841_1000.jpg.296x216.jpg
20200208,浦东,川沙,沙田公寓 3室2厅 335万,335万,3室2厅 | 115.22平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/c319bc30-d26a-41cf-a9a1-da6c3fee4d4d_1000.jpg.296x216.jpg
20200208,浦东,川沙,97年小三房 房本满5年 景观楼层 诚心出手 诚意出售,340万,3室1厅 | 86.92平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/ce676cc8-5572-40e8-8c9d-fa58564950c0_1000.jpg.296x216.jpg
20200208,浦东,川沙,城西小区两房 满五年 配套完善 看房方便,217万,2室1厅 | 67.12平米 | 南 | 毛坯 | 低楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/c96692d2-7883-4aad-af8b-0a4cfe6ca94a_1000.jpg.296x216.jpg
20200208,浦东,川沙,上浦小区 3室1厅 310万,310万,3室1厅 | 91.7平米 | 南 | 其他 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/f7ecb075-99b9-4cc1-a2cd-eb11a2cb7c54_1000.jpg.296x216.jpg
20200208,浦东,川沙,南门+园西+川南 近地铁 大两房 降价出售 看中可以谈,270万,2室1厅 | 68平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/6d991c27-5601-489a-95a3-aa737a2bc05f_1000.jpg.296x216.jpg
20200208,浦东,川沙,精装修舒适小2房子，采光好， 产权清楚,270万,2室1厅 | 65.55平米 | 南 | 精装 | 低楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/bd3b906a-c06d-4cc3-befa-89e21e1214b6_1000.jpg.296x216.jpg
20200208,浦东,川沙,六楼带大阁楼，精装修  11年房龄  小区中间位置,470万,3室2厅 | 121.34平米 | 南 | 精装 | 高楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/98b06431-36e3-41e9-93eb-1e19e1447b8f_1000.jpg.296x216.jpg
20200208,浦东,川沙,小区中间位置，满五唯一税费少，诚意出售房主自荐,235万,2室1厅 | 73.77平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CSn601tev_1.jpg.296x216.jpg
20200208,浦东,川沙,顺馨佳园 3室2厅 490万,490万,3室2厅 | 123.82平米 | 东南 西北 | 毛坯 | 低楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/d7d09eca-af68-4323-a0dc-9b86df82b061_1000.jpg.296x216.jpg
20200208,浦东,川沙,满五唯一税费少，配套齐全，交通便利，出门即地铁，,308万,3室1厅 | 92.09平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/32fe7e9d-8d81-4eb5-837e-053c60aba01b_1000.jpg.296x216.jpg
20200208,浦东,川沙,此房满5年唯一 两房朝南 园 西 近川沙地铁站,232万,2室1厅 | 58.01平米 | 南 | 简装 | 中楼层(共5层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/b43d8720-c7b6-4a77-b9df-09d0b5900693_1000.jpg.296x216.jpg
20200208,浦东,川沙,曙光北苑 3室2厅 430万,430万,3室2厅 | 118.15平米 | 北 南 | 精装 | 低楼层(共11层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/244ff5e4-b0b3-4cde-ad1c-56dfbb388b5c_1000.jpg.296x216.jpg
20200208,浦东,川沙,城南居委小区 2室1厅 195万,195万,2室1厅 | 51.97平米 | 南 | 简装 | 中楼层(共5层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/154a0e76-069c-41db-bfbf-228059ead6e5_1000.jpg.296x216.jpg
20200208,浦东,川沙,明珠小区(川沙) 2室2厅 280万,280万,2室2厅 | 89.84平米 | 南 | 其他 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/f0af4758-32a0-4879-962d-6ab42d1cda15_1000.jpg.296x216.jpg
20200208,浦东,川沙,青厦小区 2室1厅 252万,252万,2室1厅 | 70.52平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/91ee93af-7a51-4fce-86be-229f179dc3c0_1000.jpg.296x216.jpg
20200208,浦东,川沙,总价低 +南北通格局好，采光充足，视野开阔，税费少,285万,2室2厅 | 88.69平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/d3d286c1-35a7-4a63-91e6-5efe0235f258_1000.jpg.296x216.jpg
20200208,浦东,川沙,心圆西苑 大三房 一手动迁 朝南采光好通风好交通便利,400万,3室2厅 | 108.71平米 | 南 | 简装 | 低楼层(共15层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Y2vYoOnnG_1.jpg.296x216.jpg
20200208,浦东,川沙,满五唯一，精装修 近地铁 2000年商品房 交通便利,420万,3室1厅 | 120平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/8b27feb2-716b-4123-9812-abafb8bdf00f_1000.jpg.296x216.jpg
20200208,浦东,川沙,此房满五唯一，个税免征精装修3房，看房方便,280万,3室1厅 | 85.43平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/672302d7-d7b3-44f2-a186-164e9b2d32d2_1000.jpg.296x216.jpg
20200208,浦东,川沙,精品三房 中间楼层，房子前后无遮挡,330万,3室1厅 | 107.01平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/f20cd6e3-7669-4b2c-a3b3-3fe83efda2a8_1000.jpg.296x216.jpg
20200208,浦东,川沙,王桥苑，一手动迁大三房诚意出售，楼层好，采光好,410万,3室2厅 | 113平米 | 南 | 简装 | 中楼层(共5层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/c0d352e7-f5f6-4535-9699-45b3315cad8c_1000.jpg.296x216.jpg
20200208,浦东,川沙,2013年品质小区 绿地公园包围着 带92平地下室有车位,615万,3室2厅 | 189.33平米 | 南 | 精装 | 低楼层(共8层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/59c8c89f-0930-46ac-a8a3-491d0b484974_1000.jpg.296x216.jpg
20200208,浦东,川沙,精装修大三房，全配即可入住，税费少，有车位可购,718万,3室2厅 | 122.36平米 | 南 | 精装 | 中楼层(共14层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/47a06b5d-ec1a-488f-a30a-f8cf261aeb59_1000.jpg.296x216.jpg
20200208,浦东,川沙,低总价两房 两房朝南 中间楼层 地铁450米 设施齐全,215万,2室1厅 | 55.49平米 | 南 | 简装 | 中楼层(共5层) | 1983年建 | 板楼,https://image1.ljcdn.com/310000-inspection/9de48f6d-c47f-4943-8ae5-fdb86cafb76a_1000.jpg.296x216.jpg
20200208,浦东,川沙,舒馨北苑    园西              环境优雅,325万,2室2厅 | 74.21平米 | 南 | 简装 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a44898c1-fe98-4795-ba85-2a4fb6fc30f3.jpg.296x216.jpg
20200208,浦东,川沙,满五唯一   自住简装   不临街  采光好  交通便利,150万,1室1厅 | 38.97平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8579a824-d9d9-4ed6-93a2-110cb53646a4.jpg.296x216.jpg
20200208,浦东,川沙,小户型，采光好此房2007年的园西房满五唯一税费少,235万,1室1厅 | 56.17平米 | 南 | 简装 | 低楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/b90a9c31-45f0-4b55-b1e2-c075b37b532a_1000.jpg.296x216.jpg
20200208,浦东,川沙,商品房，采光好，面积大，总价低，四世同堂，阳光普照,310万,5室1厅 | 162.83平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GZrcnuMvx_1.jpg.296x216.jpg
