20200208,闵行,浦江,浦江丽都，两房电梯,房型方正，南北通户型必看好房,230万,2室2厅 | 71.82平米 | 南 | 简装 | 中楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-e48a7a62-9be7-42da-9044-b92f250cece9.png.296x216.jpg
20200208,闵行,浦江,世博家园四街坊 业主诚心卖 近城市生活广场 卜蜂莲花,350万,2室2厅 | 81.27平米 | 南 北 | 简装 | 低楼层(共5层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cXBvVXVVw.jpg.296x216.jpg
20200208,闵行,浦江,两套打通改成了卧室，楼下改成客厅,297万,1室1厅 | 61.94平米 | 南 | 精装 | 高楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Sp8ncItdr_1.jpg.296x216.jpg
20200208,闵行,浦江,浦航站最近小区，距离200米 ，南北通透，原始动迁,255万,2室2厅 | 74.9平米 | 南 北 | 毛坯 | 低楼层(共17层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6f8d1aca-66e1-420d-b70f-d97984b32548.jpg.296x216.jpg
20200208,闵行,浦江,景观楼层，配套完善，自住装修保养很好。,243万,2室2厅 | 74.98平米 | 南 北 | 精装 | 中楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fd7bf92b-af0e-4a7c-ade6-cf3ed675ab68.jpg.296x216.jpg
20200208,闵行,浦江,地铁南北通两房精装满五唯一随时看房电梯中间楼,239万,2室1厅 | 76.8平米 | 南 北 | 精装 | 中楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a316a96b-ccb9-48a7-8c0e-cf7e0241515d.jpg.296x216.jpg
20200208,闵行,浦江,总价低 户型好 业主诚心出售 随时看房,160万,1室1厅 | 53.5平米 | 南 | 精装 | 低楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4d8499a0-8576-46db-acaf-25b727bd3277.jpg.296x216.jpg
20200208,闵行,浦江,南北直通 小区品质高 交通便利 配套齐全,215万,2室2厅 | 70.85平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pkjuVVaDz.jpg.296x216.jpg
20200208,闵行,浦江,税费比较少，房东置换，看中价格可谈，房东诚意卖房,172万,1室1厅 | 56.12平米 | 北 南 | 毛坯 | 低楼层(共14层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_FA5ONQs4V_1.jpg.296x216.jpg
20200208,闵行,浦江,世博家园二街坊，精装修中间楼层，南北通户型,430万,2室2厅 | 91.21平米 | 南 北 | 精装 | 中楼层(共5层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_NtSePhtm4_1.jpg.296x216.jpg
20200208,闵行,浦江,楼梯南北通透户型  采光通风好 得房率高,215万,2室2厅 | 72.14平米 | 南 北 | 毛坯 | 低楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_3zm261I4D.jpg.296x216.jpg
20200208,闵行,浦江,楼层高采光好、看房方便提前约、出入方便,配套齐全,190万,1室1厅 | 55.24平米 | 南 | 毛坯 | 中楼层(共14层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GPQPO5Tj6_1.jpg.296x216.jpg
20200208,闵行,浦江,2014年次新小区 房型正气 绿化高 停车方便,230万,2室2厅 | 88.26平米 | 南 | 毛坯 | 低楼层(共18层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MI7YRjGrd_1.jpg.296x216.jpg
20200208,闵行,浦江,南北通两房 三鲁公路站1000米  一梯两户,230万,2室1厅 | 71.98平米 | 南 北 | 简装 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b4eacf3f-74fe-4b6a-a2d6-bf1f328f5a48.jpg.296x216.jpg
20200208,闵行,浦江,单价低，采光好，诚心出售！！！,168万,1室1厅 | 59.55平米 | 南 | 毛坯 | 低楼层(共18层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9d184116-6634-43af-9347-001d0ae7d043.jpg.296x216.jpg
20200208,闵行,浦江,南北通格局，采光，通风好。税费少，中楼层。,225万,2室2厅 | 71.55平米 | 南 北 | 简装 | 低楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JvY6PC0e4_1.jpg.296x216.jpg
20200208,闵行,浦江,采光好，SN通两房，总价低 近地铁 近配套,300万,2室1厅 | 63平米 | 北 | 简装 | 高楼层(共5层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7beddc03-0f12-4a64-8096-61bcda613196.jpg.296x216.jpg
20200208,闵行,浦江,浦江镇联航路 楼梯大三房，采光充足，配套齐全,400万,3室2厅 | 121.09平米 | 南 北 | 简装 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GDfKAqDXc_1.jpg.296x216.jpg
20200208,闵行,浦江,二改三，精装小3房，中高楼层，拎包入住，靠地铁,265万,3室1厅 | 80.05平米 | 南 西南 | 精装 | 中楼层(共17层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OFh3FGmTg_1.jpg.296x216.jpg
20200208,闵行,浦江,便宜三房 总价低，位置佳 真实房源,277万,3室2厅 | 90.46平米 | 南 | 简装 | 低楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f9325b47-f6e4-4480-8f6a-56d68dc7bb1b.jpg.296x216.jpg
20200208,闵行,浦江,距离轨道交通300米，环境优美，税费低，户型正气,250万,2室2厅 | 77.32平米 | 南 | 简装 | 低楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OxylYG9p3.jpg.296x216.jpg
20200208,闵行,浦江,华侨城品质小区，原始顶复户型，房东诚意出售；,900万,4室2厅 | 162平米 | 东 东南 南 北 | 简装 | 高楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_RkpymkFpS_1.jpg.296x216.jpg
20200208,闵行,浦江,8号线，浦江坤庭花园洋房，精装修，业主诚意出售；,800万,3室2厅 | 137.95平米 | 南 | 精装 | 低楼层(共5层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_H6LF8T1j7_1.jpg.296x216.jpg
20200208,闵行,浦江,价格真实，可看房本小区没有第二套可以相比的房子,212万,2室1厅 | 74.18平米 | 南 北 | 毛坯 | 低楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-03317f92-e228-4c8c-a589-d8ae8476dfe5.jpg.296x216.jpg
20200208,闵行,浦江,浦江小丽都，两房电梯,房型方正，南北通透,243万,2室2厅 | 72.1平米 | 南 北 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9s6VG2att_1.jpg.296x216.jpg
20200208,闵行,浦江,智汇园全明户型两房、两房朝南、采光好、业主诚意售房房主自荐,370万,2室2厅 | 81.22平米 | 南 | 精装 | 低楼层(共12层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0f527c3b-78b8-4dd9-8711-68eaa4f443fd.jpg.296x216.jpg
20200208,闵行,浦江,原动迁，精装修，70年产权住宅，南北通,282万,2室2厅 | 75.85平米 | 南 北 | 精装 | 中楼层(共17层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b057082d-051f-406c-89cb-b97158d9e967.jpg.296x216.jpg
20200208,闵行,浦江,楼层高采光好、近地铁 出入方便,配套齐全。,188万,1室1厅 | 55.24平米 | 南 | 其他 | 低楼层(共14层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_glW99k6C5_1.jpg.296x216.jpg
20200208,闵行,浦江,聚缘南庭 2室1厅 208万,208万,2室1厅 | 74.35平米 | 南 | 毛坯 | 高楼层(共9层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MwPNQh5uD.jpg.296x216.jpg
20200208,闵行,浦江,浦江世博家园十三街坊 2室2厅 420万,420万,2室2厅 | 90.87平米 | 南 | 精装 | 低楼层(共5层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9x3RzpcAd_1.jpg.296x216.jpg
20200208,闵行,浦江,欣佳宝邸  厨卫全明  小区位置好 楼层好  双南户型,235万,2室1厅 | 76.58平米 | 南 | 毛坯 | 高楼层(共7层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-573e622e-979e-477f-9078-23b5d57cd465.jpg.296x216.jpg
20200208,闵行,浦江,多层南北通两房   房东诚心出售   价格可谈,323万,2室1厅 | 76平米 | 南 | 简装 | 高楼层(共5层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-a9337328-9bb5-4385-849b-d9fcf6f951a4.png.296x216.jpg
20200208,闵行,浦江,前滩4公里,带100平露台，南北通，采光通风好 急售,855万,4室2厅 | 143平米 | 南 | 精装 | 5层 | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-92c8323c-0937-47e1-8bee-67f2aa00c684.jpg.296x216.jpg
20200208,闵行,浦江,我想有个家，大概就是他。置换刚需，拎包入住。,295万,3室2厅 | 95.18平米 | 南 北 | 精装 | 低楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e0cf5d81-e810-40aa-8cf8-c35734d131ba.jpg.296x216.jpg
20200208,闵行,浦江,已改好小两房 出行便利 拎包入住,170万,1室1厅 | 53.42平米 | 南 | 精装 | 低楼层(共17层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-421f1c4a-48a9-4c4f-b293-74de82eacc86.jpg.296x216.jpg
20200208,闵行,浦江,婚房精装修，小区中位置，中楼层，业主自住，硬装全留,360万,2室2厅 | 92.04平米 | 南 | 简装 | 中楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d209bd0f-d13e-45b4-ac05-0e501b516516.jpg.296x216.jpg
20200208,闵行,浦江,大平层 满二年 税费少 带露台 位置好,950万,4室2厅 | 193.98平米 | 南 | 毛坯 | 低楼层(共11层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0ee801bd-4a44-4dcc-8d00-f0321285684d.jpg.296x216.jpg
20200208,闵行,浦江,房子原始动迁，户型正气，房东诚心出售房主自荐,395万,2室1厅 | 91.03平米 | 南 | 精装 | 低楼层(共5层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-0ce95c2e-aa40-448f-a8d9-9c2b6cfc3ea3.png.296x216.jpg
20200208,闵行,浦江,双南南北通飞机户型 高楼层 精装自住 诚心出售,580万,2室2厅 | 93平米 | 南 | 精装 | 高楼层(共13层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yZ8JqHDoz_2.jpg.296x216.jpg
20200208,闵行,浦江,新浦江城(浦驰路1336弄) 3室2厅 1160万,1160万,3室2厅 | 189.48平米 | 南 北 | 毛坯 | 高楼层(共4层)  | 暂无数据,https://image1.ljcdn.com/310000-inspection/pc1_KXab7ie7z_1.jpg.296x216.jpg
20200208,闵行,浦江,产权清晰，看房方便，看房随时咨询维护人,229万,2室2厅 | 76.14平米 | 南 | 简装 | 低楼层(共7层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-0c3000b1-ff4f-4d5d-8ff0-ae9046cd1b9a.png.296x216.jpg
20200208,闵行,浦江,精装修，南北通的户型，电梯房，近地铁，看房方便，,410万,2室2厅 | 84.17平米 | 南 北 | 精装 | 中楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d707d1cf-0fad-448a-8e67-1fc07a6b51e4.jpg.296x216.jpg
20200208,闵行,浦江,地铁房电梯双南两房精装满五唯一随时看房,245万,2室2厅 | 75.89平米 | 南 | 精装 | 中楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_igONiKMe2.jpg.296x216.jpg
20200208,闵行,浦江,户型正气，景观楼层，视野开阔，配套齐全，出行方便,228万,2室2厅 | 76.87平米 | 南 | 简装 | 中楼层(共9层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-dae53e70-4c27-4f10-afc5-3009659e4f95.jpg.296x216.jpg
20200208,闵行,浦江,汇秀景苑三街坊 3室2厅 305万,305万,3室2厅 | 96.75平米 | 南 北 | 毛坯 | 高楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c9f13f4d-a166-4245-a8cb-e648bf5aa495.jpg.296x216.jpg
20200208,闵行,浦江,开发商装修+四房+一梯两户+小区图书馆+陆家嘴物业,850万,4室2厅 | 137.26平米 | 南 | 精装 | 中楼层(共8层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-35bab02d-af41-47b3-b13f-a6ae48fe97e2.jpg.296x216.jpg
20200208,闵行,浦江,一手动迁税费少 近8号线联航路地铁站  出行方便,395万,3室1厅 | 92.63平米 | 南 | 简装 | 低楼层(共14层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5201221d-2d2a-477b-8bfa-50a51a72f578.jpg.296x216.jpg
20200208,闵行,浦江,浦江坤庭+南北通大两房+精装自住保养+看房方便,560万,2室2厅 | 109.78平米 | 南 | 精装 | 低楼层(共12层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3ba23406-26ce-4769-8bf5-344c4dee57c0.jpg.296x216.jpg
20200208,闵行,浦江,房屋带装修，南北户型，房东诚心卖，地铁800米,283万,2室2厅 | 78.53平米 | 南 北 | 精装 | 中楼层(共17层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-08f587e9-14e3-447c-be0b-fcbb9db03ec8.jpg.296x216.jpg
20200208,闵行,浦江,华侨城一期，大平层，视野开阔，客厅落地窗，采光足,1018万,3室2厅 | 199.15平米 | 南 | 精装 | 低楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b1132035-cffa-4ddb-9fab-2685ae37373e.jpg.296x216.jpg
20200208,闵行,浦江,原始动迁精装修，户型正气，房东诚心出售,420万,2室2厅 | 91.84平米 | 南 北 | 精装 | 中楼层(共5层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_W88cBuJS5_1.jpg.296x216.jpg
20200208,闵行,浦江,此房是滨浦新苑一村的电梯中高楼层一房，户型正采光好,242万,1室1厅 | 59.18平米 | 南 | 毛坯 | 中楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_P1fTnrm44_1.jpg.296x216.jpg
20200208,闵行,浦江,金硕河畔景园南区 1室1厅 175万,175万,1室1厅 | 55.43平米 | 南 北 | 毛坯 | 中楼层(共17层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2JH5uUwVB.jpg.296x216.jpg
20200208,闵行,浦江,瑞和华苑北区 2室1厅 259万,259万,2室1厅 | 83.02平米 | 南 | 毛坯 | 高楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rrtLvPPcr_1.jpg.296x216.jpg
20200208,闵行,浦江,大一房，看房可联系维护人，及时方便,210万,1室1厅 | 63.1平米 | 南 | 毛坯 | 低楼层(共14层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_gtEw52nT4_1.jpg.296x216.jpg
20200208,闵行,浦江,有钥匙看房随时，中间位置南北通透双阳台，视野开阔,249万,2室2厅 | 74.02平米 | 南 北 | 精装 | 中楼层(共17层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_J4tnXWQO1_1.jpg.296x216.jpg
20200208,闵行,浦江,无个税，电梯高区，拎包入住  南北通透双阳台,253万,2室2厅 | 74平米 | 南 北 | 精装 | 高楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4Q8SvUbEB_1.jpg.296x216.jpg
20200208,闵行,浦江,浦江馨都     两室两厅 双阳台  原始动迁房,262万,2室2厅 | 75平米 | 南 | 毛坯 | 中楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ssnflQvxa.jpg.296x216.jpg
20200208,闵行,浦江,户型正气 采光好 楼层佳 交通便利 业主诚心出售,230万,2室1厅 | 71.99平米 | 南 北 | 毛坯 | 中楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PIQs5DyMR.jpg.296x216.jpg
20200208,闵行,浦江,新动迁房小区，电梯房，厨卫分离前后无遮挡,250万,2室2厅 | 76.14平米 | 南 | 简装 | 高楼层(共7层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Tnv5MHxoD_1.jpg.296x216.jpg
20200208,闵行,浦江,品质小区，绿化环境好，出门就是满天星生活广场,225万,2室2厅 | 76.48平米 | 南 | 毛坯 | 高楼层(共17层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_A3jhTkXTG.jpg.296x216.jpg
20200208,闵行,浦江,业主现在急卖！价格已经降到小区房源很低，有意向的快,245万,2室1厅 | 77平米 | 南 | 简装 | 低楼层(共17层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_120UEUQWx.jpg.296x216.jpg
20200208,闵行,浦江,汇秀景苑一街坊 2室1厅 225万,225万,2室1厅 | 79.95平米 | 南 北 | 精装 | 低楼层(共17层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Mo5i4h4z4_1.jpg.296x216.jpg
20200208,闵行,浦江,两房精装带阁楼 南北通透 有钥匙,230万,2室2厅 | 70.09平米 | 南 北 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qiabvfnyF_1.jpg.296x216.jpg
20200208,闵行,浦江,商品房，精装修，拎包入住，电梯高区，看房随时,255万,2室2厅 | 74.02平米 | 南 | 精装 | 中楼层(共17层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_xdhgdk1MB.jpg.296x216.jpg
20200208,闵行,浦江,景观楼层，一手动迁，毛坯房装修风格可自主选择,180万,1室1厅 | 57.13平米 | 南 | 毛坯 | 高楼层(共17层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wXfuI1H3P_1.jpg.296x216.jpg
20200208,闵行,浦江,户型正气，景观楼层，视野开阔，地段位置好,283万,2室2厅 | 75.63平米 | 南 北 | 简装 | 中楼层(共17层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_e2cyC5Xpf_1.jpg.296x216.jpg
20200208,闵行,浦江,小区环境优美， 大三房，格局好，易采光，,319万,3室2厅 | 97.75平米 | 南 北 | 毛坯 | 高楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-46c62dde-b923-49aa-af57-3e91627b1136.jpg.296x216.jpg
20200208,闵行,浦江,两套打通改成房间，楼下改成客厅,297万,1室2厅 | 61.94平米 | 南 | 简装 | 高楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ezq6dAegc_1.jpg.296x216.jpg
20200208,闵行,浦江,满五唯一近地铁，采光好，装修好，视野佳，双南两房,550万,2室2厅 | 89.88平米 | 南 | 精装 | 高楼层(共13层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Q0mXADELM_1.jpg.296x216.jpg
20200208,闵行,浦江,遥望百年沧桑，俯瞰现代繁华。漫城一品，一品再品。,790万,3室2厅 | 129平米 | 南 北 | 精装 | 高楼层(共12层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_na6T2h53i_1.jpg.296x216.jpg
20200208,闵行,浦江,汇秀景苑一街坊 2室2厅 208万,208万,2室2厅 | 80.33平米 | 南 | 毛坯 | 低楼层(共17层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rArFharbn.jpg.296x216.jpg
20200208,闵行,浦江,一手动迁房，朝南户型，看房基本方便,225万,2室2厅 | 76.73平米 | 南 | 毛坯 | 低楼层(共17层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Gi8es5Y4W_1.jpg.296x216.jpg
20200208,闵行,浦江,全明落地窗，面宽，大，通风好，大三房,950万,3室2厅 | 198.32平米 | 南 | 简装 | 中楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CRlrfixg8_1.jpg.296x216.jpg
20200208,闵行,浦江,此房南北通，大三房，户型方正，百万装修，近地铁房主自荐,845万,3室2厅 | 135平米 | 南 北 | 精装 | 中楼层(共12层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wFQTE3vaE_1.jpg.296x216.jpg
20200208,闵行,浦江,陆家嘴开发，拎包入住，视野开阔，房东诚意出售,830万,4室2厅 | 138平米 | 南 | 精装 | 高楼层(共8层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yxCO2fxUF_1.jpg.296x216.jpg
20200208,闵行,浦江,精装修三房，装修考究，带地暖空调，小区中间位置,469万,3室1厅 | 99.5平米 | 南 | 精装 | 高楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_n6RudoAgT_1.jpg.296x216.jpg
20200208,闵行,浦江,联航路地铁站+三房两厅两卫+拎包入住,530万,3室2厅 | 127.16平米 | 南 | 精装 | 高楼层(共5层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jQ9zhMCay_1.jpg.296x216.jpg
20200208,闵行,浦江,一楼带花园，有产权车位，满屋wei一，不靠路,780万,3室2厅 | 137.39平米 | 南 | 精装 | 低楼层(共10层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Ku51Ys4yz_1.jpg.296x216.jpg
20200208,闵行,浦江,电梯花园洋房+一梯一户+精装修+二手买入税收低,770万,3室2厅 | 142.06平米 | 南 北 | 精装 | 高楼层(共5层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_csC0YEgFF_1.jpg.296x216.jpg
20200208,闵行,浦江,地铁8号线联航路站+一手动迁税费少+中间楼层户型正气,420万,3室2厅 | 114.83平米 | 南 北 | 简装 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kDuNjDp8d_1.jpg.296x216.jpg
20200208,闵行,浦江,浦江世博家园十四街坊 1室1厅 275万,275万,1室1厅 | 60.61平米 | 南 | 精装 | 中楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_YyyXW3BXX_1.jpg.296x216.jpg
20200208,闵行,浦江,房东诚心出售 有钥匙随时看 价格可谈 多层 中间楼层,450万,3室2厅 | 125.06平米 | 南 北 | 简装 | 中楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-daac92d6-010c-4d4e-8044-efeaa496043a.jpg.296x216.jpg
20200208,闵行,浦江,原始动迁 双南户型  楼层好 采光好 无增值税,240万,2室1厅 | 78.11平米 | 南 | 毛坯 | 高楼层(共18层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-dd254601-b9ae-4dc5-9c66-76e22d0f38ba.jpg.296x216.jpg
20200208,闵行,浦江,视野开阔无遮挡，户型正气，原动迁房，税费少,208万,2室1厅 | 74.95平米 | 南 北 | 简装 | 高楼层(共9层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4d5388de-8d20-4334-9391-63b6ef7f31ef.jpg.296x216.jpg
20200208,闵行,浦江,小区近地铁，是小中部位子，出行方便,245万,2室1厅 | 73.61平米 | 南 北 | 精装 | 低楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3b33c767-2c24-44a4-a001-09e15be5f21e.jpg.296x216.jpg
20200208,闵行,浦江,此房原始动迁少税，高得房率，户型正气。,227万,2室1厅 | 79.85平米 | 南 | 毛坯 | 中楼层(共17层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ad736bb2-8250-481a-aa6e-72defa128adb.jpg.296x216.jpg
20200208,闵行,浦江,距离轨道交通300米，总价低，税费少，户型正气,240万,2室2厅 | 77.32平米 | 南 | 毛坯 | 低楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fk2iPT4Sv.jpg.296x216.jpg
20200208,闵行,浦江,低总价，户型正气，全明一房户型，业主诚心出售,170万,1室1厅 | 55.9平米 | 南 | 毛坯 | 高楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kwsravD7P.jpg.296x216.jpg
20200208,闵行,浦江,世博家园四街坊，位置好，房东诚意卖,360万,2室2厅 | 79.13平米 | 南 | 精装 | 高楼层(共5层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wMk7oEvBu_1.jpg.296x216.jpg
20200208,闵行,浦江,双南户型，中间楼层 精装修，靠地铁，拎包入住,268万,2室1厅 | 76.85平米 | 南 | 精装 | 高楼层(共14层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_xLwgylCtY.jpg.296x216.jpg
20200208,闵行,浦江,水语人家 近八号线  精装修    交通便利 配套齐全,260万,2室1厅 | 78.39平米 | 南 | 精装 | 低楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GrPOpBtV7_1.jpg.296x216.jpg
20200208,闵行,浦江,无增值税， 个税1个点 契税首套1个点二套3个点,215万,2室1厅 | 77.48平米 | 南 | 毛坯 | 低楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qd9cGgTuN_1.jpg.296x216.jpg
20200208,闵行,浦江,采光好、原始动迁，税费少，诚意出售房主自荐,213万,2室1厅 | 73.56平米 | 南 | 简装 | 低楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Wt7qY8Igh.jpg.296x216.jpg
20200208,闵行,浦江,距离轨道交通275米  一房全明户型，税费少,190万,1室1厅 | 57.13平米 | 南 | 精装 | 高楼层(共17层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_eEV90Cn1z.jpg.296x216.jpg
20200208,闵行,浦江,南北通大两房，南北双阳台，距联航路步行距离800米,410万,2室2厅 | 97平米 | 南 | 简装 | 低楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_q1srVeBWp_1.jpg.296x216.jpg
20200208,闵行,浦江,世博家园六街坊，原始动迁满五唯一，精装修南北通,380万,2室2厅 | 85.26平米 | 南 | 精装 | 高楼层(共4层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SfS4hG4TF_1.jpg.296x216.jpg
20200208,闵行,浦江,14年次新+户型好+近地铁+电梯高层+原动迁+位置好,255万,2室1厅 | 78.53平米 | 南 | 简装 | 中楼层(共17层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dvHP7ZE6k.jpg.296x216.jpg
20200208,闵行,浦江,200米地铁+楼梯房得房率高+南北通 业主诚心卖,240万,2室2厅 | 70.68平米 | 南 | 简装 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5fPrPenie_1.jpg.296x216.jpg
