20200208,浦东,世博,视野宽阔，采光充足，交通便利，配套齐全必看好房,363万,3室0厅 | 66.41平米 | 南 | 简装 | 高楼层(共6层) | 1983年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-291e8560-2904-41af-a71e-0cb192ddf755.jpg.296x216.jpg
20200208,浦东,世博,房源位置好，不靠马路采光时间长，西边套户型,204万,1室1厅 | 37.53平米 | 南 | 简装 | 中楼层(共5层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3a9ad483-429d-419b-9c95-6bceaac1c66c.jpg.296x216.jpg
20200208,浦东,世博,业主 Fei  Chang诚心出售，税费少，近地铁，,330万,2室1厅 | 69.68平米 | 南 北 | 简装 | 低楼层(共24层) | 1995年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_KeA9j8zNa_1.jpg.296x216.jpg
20200208,浦东,世博,东边套，非顶层，经典户型，交通便利，四线交轨房主自荐,233万,1室1厅 | 42.85平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/d63f0253-feab-4d24-9a8a-c95a826300dd_1000.jpg.296x216.jpg
20200208,浦东,世博,7/13号线双地铁+非顶楼+大一房+低总价+厨卫全明,185万,1室0厅 | 37.17平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_M7nZFcfR3_1.jpg.296x216.jpg
20200208,浦东,世博,满五年唯一，户型正气 高区采光好，看中价格可以谈,280万,2室1厅 | 57.58平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ncgDR6rxT_1.jpg.296x216.jpg
20200208,浦东,世博,双轨地铁口的世外桃花源，电梯大三房，卧室全朝南,740万,3室2厅 | 126.8平米 | 南 | 简装 | 低楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-03eaff21-8ada-444c-8aaf-30e09f61bdfe.jpg.296x216.jpg
20200208,浦东,世博,东盛公寓1998年商品房，全明户型，方正正气诚意出售,560万,3室1厅 | 107.59平米 | 南 | 简装 | 中楼层(共7层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VxhqS4PEH_1.jpg.296x216.jpg
20200208,浦东,世博,电梯房，三房大户型，景观好，业主诚心，看房方便,780万,3室2厅 | 180.02平米 | 南 | 精装 | 低楼层(共28层) | 2003年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/c7ef9672-c7a1-418f-a06d-18213779ffe5_1000.jpg.296x216.jpg
20200208,浦东,世博,地铁6/13号线东明路站+小区中间楼层+售后公房客厅带窗房主自荐,360万,2室1厅 | 65.68平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_q3kSOQShH_1.jpg.296x216.jpg
20200208,浦东,世博,全南两房大户型  看房子一般都比较方便业主诚意出售,555万,2室1厅 | 86.89平米 | 南 | 精装 | 低楼层(共13层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_oxDInsUTT_1.jpg.296x216.jpg
20200208,浦东,世博,精装好房、不靠路、业主诚意出售、,470万,3室2厅 | 82.34平米 | 南 | 精装 | 高楼层(共7层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7XgFfvELy_1.jpg.296x216.jpg
20200208,浦东,世博,业主诚意出售 好楼层 板式 电梯大三房 看房方便！！！房主自荐,920万,3室2厅 | 139.65平米 | 南 | 精装 | 高楼层(共12层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WfoLcTQBH_1.jpg.296x216.jpg
20200208,浦东,世博,地铁口 配套齐全 生活方便 电梯房7楼  采光好,412万,2室1厅 | 77.72平米 | 东 | 精装 | 中楼层(共10层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ca94d4fe-9fdf-4682-85f3-62c365a6fdfd.jpg.296x216.jpg
20200208,浦东,世博,视野开阔，采光好，配套齐全，交通便利,420万,2室1厅 | 73.08平米 | 南 | 简装 | 高楼层(共7层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b07aa356-b5f3-414b-a907-b6c700eb0888.jpg.296x216.jpg
20200208,浦东,世博,双南电梯两房 售后公房 满五唯一 双轨地铁出行,436万,2室1厅 | 82.52平米 | 南 | 简装 | 低楼层(共24层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-7edbd486-3de3-4757-b566-0382fa501872.jpg.296x216.jpg
20200208,浦东,世博,前滩后滩商务区一梯两户南北三房单价低，7.13号线地铁,660万,3室2厅 | 118平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4e59aac7-ae17-4260-8882-cb5901764410.jpg.296x216.jpg
20200208,浦东,世博,昌里花园大二房，满五唯一，业主诚意出售，看房方便,565万,2室2厅 | 89.66平米 | 南 | 精装 | 低楼层(共14层) | 1997年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_lI94jAM6i_1.jpg.296x216.jpg
20200208,浦东,世博,出门三轨交通，诚意出售，小区环境佳,800万,2室2厅 | 99.79平米 | 南 北 | 简装 | 低楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_nExFR2QBT_1.jpg.296x216.jpg
20200208,浦东,世博,上南十二村小区环境优美，房东诚心出售，价格可谈！,226万,1室1厅 | 44.27平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-84b87d62-5110-447a-8af1-1e78edcd2966.jpg.296x216.jpg
20200208,浦东,世博,小区楼栋位置好，视野开阔，采光充足。产权清晰没抵押,216万,1室1厅 | 44.32平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9c1a2283-103a-4693-bd04-b5b0a0a7d3a2.jpg.296x216.jpg
20200208,浦东,世博,2011年次新商品房，满五年唯一，小户型业主诚意出售！,440万,2室1厅 | 66.55平米 | 南 | 精装 | 低楼层(共24层) | 2011年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-1e31fd0c-909e-4205-9b2e-60420e9cf5df.jpg.296x216.jpg
20200208,浦东,世博,满五唯一无个税  采光无遮挡 售房诚心 出门地铁,980万,3室2厅 | 127.83平米 | 南 | 精装 | 中楼层(共8层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-a2e0d5e7-70b2-4d9a-86b5-ae882ec1f396.png.296x216.jpg
20200208,浦东,世博,世博大平层 三房中楼层 不靠马路房主自荐,820万,3室2厅 | 180.02平米 | 东南 | 精装 | 低楼层(共28层) | 2003年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-e3e1452e-c7ef-4df4-a568-997aab4f1554.jpg.296x216.jpg
20200208,浦东,世博,近地铁东明路站，双轨交，售后公房，满五唯一，采光好,315万,2室1厅 | 58.42平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b2c82ece-d471-4fbe-a3c8-859b57c3fe81.jpg.296x216.jpg
20200208,浦东,世博,精装修南北两房保养好，高区采光好，看中可谈,298万,2室1厅 | 57.58平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-de1f85cb-671e-4be1-96d1-f92c6f1cf85d.jpg.296x216.jpg
20200208,浦东,世博,中间楼层，南北户型，一梯三户，，通风采光好！,250万,1室1厅 | 45.01平米 | 南 | 简装 | 中楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-baa79699-6254-40b0-8baa-cce77e82c869.jpg.296x216.jpg
20200208,浦东,世博,昌四小区 2室1厅 313.9万,313.9万,2室1厅 | 56.06平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ba04e84d-ef38-4e72-a3cd-3ae869cb0112.jpg.296x216.jpg
20200208,浦东,世博,98年商品房 精装修拎包入住一梯两户，一楼附天井,564万,3室1厅 | 95.82平米 | 南 | 精装 | 低楼层(共7层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8624511f-f55a-4b1b-bc75-dd93b1b26672.jpg.296x216.jpg
20200208,浦东,世博,双南一北客厅南北通 年轻人二宝之家优选房主自荐,880万,3室2厅 | 143.13平米 | 南 | 精装 | 高楼层(共18层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-06f61ca7-6228-4441-b01c-31e6240a86ba.jpg.296x216.jpg
20200208,浦东,世博,观世博全景》不靠长清路、耀华路》看房提前1小时约,900万,3室2厅 | 127.3平米 | 南 | 简装 | 高楼层(共14层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-53152f41-3865-4e2e-87ba-c512440c881f.jpg.296x216.jpg
20200208,浦东,世博,传世大三居+花园位置+宜居楼层房主自荐,810万,3室2厅 | 123.83平米 | 南 北 | 精装 | 中楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2698c2a0-3085-41b7-8952-785f6890b400.jpg.296x216.jpg
20200208,浦东,世博,一室一厅，四楼，全新装修，小区中间位置，税费少,230万,2室1厅 | 45.36平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_InjnkS0Zs_1.jpg.296x216.jpg
20200208,浦东,世博,昌七小区450米到地铁采光好一梯两户全明户型有钥匙房主自荐,230万,1室1厅 | 46.37平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_O4hP37uXZ_1.jpg.296x216.jpg
20200208,浦东,世博,南北两房低楼层 出入方便 近地铁8/13号线 随时看房,265万,2室0厅 | 49.8平米 | 南 | 毛坯 | 低楼层(共6层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_sEA01csQF_1.jpg.296x216.jpg
20200208,浦东,世博,南北两房、诚意出售、简单装修、近地铁、配套齐全,268万,2室0厅 | 50.84平米 | 南 | 简装 | 中楼层(共6层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/b2d9a623-edda-47ea-9172-dafe7e3f926e_1000.jpg.296x216.jpg
20200208,浦东,世博,小区靠花园中间楼层边套全明南北两房,390万,2室1厅 | 64.16平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cyHVgz9Bs_1.jpg.296x216.jpg
20200208,浦东,世博,小区中间位置，中间楼层，房东十分诚意出售，看房方便,262万,1室1厅 | 49.42平米 | 南 北 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/128727ea-e7df-49c1-9b56-01a9e4b95bd4_1000.jpg.296x216.jpg
20200208,浦东,世博,两卧朝南 采光好 全新装修 拎包入住 进地铁6/13号线房主自荐,360万,2室1厅 | 59.75平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OKlB6Mccm_1.jpg.296x216.jpg
20200208,浦东,世博,边套全明 闹中取静 格局分明 利用率高 诚意出售,207万,1室1厅 | 43.17平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3a1a1385-b685-4ec3-ab82-efc17ba40b1a.jpg.296x216.jpg
20200208,浦东,世博,楼层好 总价低 小两房 位置好,251万,2室1厅 | 43.4平米 | 南 北 | 精装 | 中楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1e61ff52-f0d2-46e6-a683-a89d969b3fa0.jpg.296x216.jpg
20200208,浦东,世博,双南格局，南北通，满五唯一，采光好，视野宽广房主自荐,349万,2室1厅 | 63.88平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/0881641e-c9cd-4d4d-b4fb-81a74ed100a5_1000.jpg.296x216.jpg
20200208,浦东,世博,世博板块 8/13号线双轨  满五唯一 户型方正  看房随时,290万,2室1厅 | 52.32平米 | 南 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ffbdbd13-7747-485f-9f02-e87cc2433a71.jpg.296x216.jpg
20200208,浦东,世博,世博板块，电梯3房，业主置换诚售，此房满五唯一税少,930万,3室2厅 | 131.75平米 | 南 | 简装 | 低楼层(共18层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2vxOwAvk9_1.jpg.296x216.jpg
20200208,浦东,世博,后滩经典户型一室一厅，房型正气，业主诚意出售。,193万,1室1厅 | 38.57平米 | 南 | 简装 | 低楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_F5JKYc4B8_1.jpg.296x216.jpg
20200208,浦东,世博,售后公房，满五唯一，精装修10万,258万,2室0厅 | 51.96平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2P2bjIqM9_1.jpg.296x216.jpg
20200208,浦东,世博,业主自住装修，看房随时方便，近地铁7/13号线长清路。房主自荐,290万,2室1厅 | 57.88平米 | 东南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/818d3dcb-ba68-41c1-b226-00b90529f0b6_1000.jpg.296x216.jpg
20200208,浦东,世博,04年商品房，三房两厅两卫，户型正中间楼层，地铁口,850万,3室2厅 | 131.61平米 | 南 | 毛坯 | 中楼层(共19层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_x58XhiagM_1.jpg.296x216.jpg
20200208,浦东,世博,南北精装两房，采光好，不临街，位置好房主自荐,280万,2室1厅 | 53.21平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/6442bc3d-1d83-4499-b3c3-f05db4ed13e7_1000.jpg.296x216.jpg
20200208,浦东,世博,齐八小区2居室，精装修，小区环境好，生活配套齐全,360万,2室1厅 | 67.68平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_l7wBHFii2_1.jpg.296x216.jpg
20200208,浦东,世博,业主诚意出售，看房方便。。。。。。。。。。。,980万,2室1厅 | 123.02平米 | 南 | 精装 | 低楼层(共14层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_J58PFCt68_1.jpg.296x216.jpg
20200208,浦东,世博,凯德二期,板式三开间朝南,北望花园,鸟语花香.,1120万,3室2厅 | 144.5平米 | 南 | 精装 | 低楼层(共16层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_TNz8bMo2B_1.jpg.296x216.jpg
20200208,浦东,世博,大三房，房子在小区地段佳，看房子比较方便！精装修,409万,3室1厅 | 72.41平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_HOADqHx08_1.jpg.296x216.jpg
20200208,浦东,世博,快看这里，2003年的电梯大三房，全明近地铁，出行方便房主自荐,910万,3室2厅 | 134.9平米 | 南 | 精装 | 低楼层(共18层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Es1oG9sHr_1.jpg.296x216.jpg
20200208,浦东,世博,业主诚意出售，全南高层，视野开阔，环境优美,1140万,3室2厅 | 152.67平米 | 南 | 精装 | 高楼层(共18层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/6b2ba533-044f-4742-973a-df5b315aeaeb_1000.jpg.296x216.jpg
20200208,浦东,世博,此房满五唯一，双南2房，小区前排位置，采光无遮挡,285万,2室0厅 | 48.18平米 | 南 | 精装 | 低楼层(共6层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/a523cde8-6cb4-4fe4-a108-20cf286e2245_1000.jpg.296x216.jpg
20200208,浦东,世博,房子是三房朝南，诚意出售，价格可谈。,1110万,3室2厅 | 148.74平米 | 南 | 精装 | 低楼层(共18层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SiSIIu71c_1.jpg.296x216.jpg
20200208,浦东,世博,售出将出国》43平大花园“家电家具不带走/60万精装,1168万,4室2厅 | 151.36平米 | 南 | 精装 | 低楼层(共16层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/556d6dc5-91af-4a43-8e4b-63ad89917d00_1000.jpg.296x216.jpg
20200208,浦东,世博,全新装修，中间好楼层，地铁6 7双号轨道,240万,1室1厅 | 44平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_YYazOM9uD_1.jpg.296x216.jpg
20200208,浦东,世博,售后公房，满五年有钥匙看房方便，楼层好地铁7号线,349万,2室2厅 | 66.64平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_drFBoONyj_1.jpg.296x216.jpg
20200208,浦东,世博,7/13长清路地铁口 高区电梯景观房 售后公房税费少,378万,2室1厅 | 69.9平米 | 南 | 简装 | 高楼层(共18层) | 1993年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/e3a51c4d-ffdb-4b3a-a76d-e5a29e0d40e5_1000.jpg.296x216.jpg
20200208,浦东,世博,拎包住精装修 业主急售。有钥匙看房方便,240万,1室1厅 | 44平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-66e52935-8e31-475e-9439-7d9ee55433f9.jpg.296x216.jpg
20200208,浦东,世博,世博，德州七村中楼层，诚心出售一房，全明全程服务,199万,1室1厅 | 41.73平米 | 南 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zWVasS9PT_1.jpg.296x216.jpg
20200208,浦东,世博,此房为售后公房，免收增值税，满五唯一，东边套,328万,2室1厅 | 59.21平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_YByJeNEYV_1.jpg.296x216.jpg
20200208,浦东,世博,世博文明小区，电梯两房，全明户型,570万,2室2厅 | 90.59平米 | 南 | 简装 | 低楼层(共14层) | 1997年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_j1M7YkW23_1.jpg.296x216.jpg
20200208,浦东,世博,东边套全明一房，独立客厅，位置好，附带楼顶仓库,196万,1室1厅 | 41.73平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/f3a88213-4a47-4ac4-a29b-adf2d40ad1b2_1000.jpg.296x216.jpg
20200208,浦东,世博,南北双阳台 采光充足 一梯两户,554万,2室1厅 | 73平米 | 南 北 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_etX5fvuwZ_1.jpg.296x216.jpg
20200208,浦东,世博,长清路地铁~济阳三村精装边套两房一厅急售到价签字,325万,2室1厅 | 64.63平米 | 南 | 精装 | 低楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a698ce0d-c856-4551-973e-e35222c38afe.jpg.296x216.jpg
20200208,浦东,世博,耀华地铁 坐北朝南 户型好 通风棒 税费少 满五,395万,3室1厅 | 65.61平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-abe5452e-c495-40ae-9c60-7c5ddc613622.jpg.296x216.jpg
20200208,浦东,世博,地铁13号6号双轨交恒大小区方正一房好楼层看房随时,263万,1室1厅 | 47.12平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5a487800-d413-4dfa-b87d-e9fda736440f.jpg.296x216.jpg
20200208,浦东,世博,房东诚心出售，带一个大花园，采光充足，通风效果好,778万,3室2厅 | 111.97平米 | 南 | 精装 | 低楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3eb6b066-c5c8-4dad-86c2-e7746d090209.png.296x216.jpg
20200208,浦东,世博,齐河花苑 双南户型，一梯两户，小区安静，出行便利房主自荐,315万,2室1厅 | 59.21平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f0d1b39d-cbf2-4702-8019-201d37a783f5.jpg.296x216.jpg
20200208,浦东,世博,边套全明两房，南北通风，前后不遮挡，于小区入口处,380万,2室1厅 | 69.5平米 | 南 | 简装 | 高楼层(共18层) | 1993年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-c580bb99-cffe-4e7b-92d1-09daecb7a498.jpg.296x216.jpg
20200208,浦东,世博,精装修，闹中取静，交通方便，诚心出售,335万,2室1厅 | 70.01平米 | 南 | 精装 | 低楼层(共16层) | 1993年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-5fb90f66-a363-4aeb-887d-d3d8cc92d806.jpg.296x216.jpg
20200208,浦东,世博,优质大三房，南北通，地处小区中间位置，业主诚意,910万,3室2厅 | 131.67平米 | 南 | 其他 | 低楼层(共18层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2cdbca4a-9329-417d-bdb5-efcd61b8f405.jpg.296x216.jpg
20200208,浦东,世博,全明户型，电梯房，地铁就在楼下！,395万,2室1厅 | 72.12平米 | 西南 西北 | 简装 | 中楼层(共18层) | 1991年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-1a631f57-7249-438f-8cc1-1cabbe060d66.jpg.296x216.jpg
20200208,浦东,世博,地铁7/13号线100米，门口耀华路公交站，内部自带菜场,275万,2室1厅 | 55.94平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,https://image1.ljcdn.com/310000-inspection/eb1fe875-3200-4960-a31f-1194489c7e7f_1000.jpg.296x216.jpg
20200208,浦东,世博,此房一手动迁，满五唯一，税费少。适合长期居住。,235万,1室1厅 | 50.93平米 | 南 | 简装 | 高楼层(共7层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e4f8e872-0fa3-49fc-ac9d-0747c65d62cc.jpg.296x216.jpg
20200208,浦东,世博,昌五小区 中间楼层 通透 好 配套齐全房主自荐,210万,1室1厅 | 42.14平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hc2hPfHjE_1.jpg.296x216.jpg
20200208,浦东,世博,此房满五唯一，小区位置好，户型正气，采光好,445万,2室1厅 | 76.37平米 | 南 | 简装 | 低楼层(共24层) | 1995年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_lDFdx6EOD_1.jpg.296x216.jpg
20200208,浦东,世博,2室1厅，交通便利，南北通户型，采光通风良好,290万,2室1厅 | 62.24平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3faf4bdc-36f4-46fc-8925-860947ef2631.jpg.296x216.jpg
20200208,浦东,世博,电梯双南两房，看房方便，视野开阔无遮挡,473万,2室1厅 | 82.47平米 | 南 | 简装 | 中楼层(共24层) | 1998年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_YK4BNxjDQ_1.jpg.296x216.jpg
20200208,浦东,世博,满二唯一，婚房精装，采光充足，配套齐全，交通便利,315万,2室1厅 | 66.37平米 | 东 | 其他 | 低楼层(共25层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_nxf4mApwg_1.jpg.296x216.jpg
20200208,浦东,世博,云台一小区 2室1厅 325万,325万,2室1厅 | 52.55平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_HqnFbfp9U_1.jpg.296x216.jpg
20200208,浦东,世博,此房满五年唯一，户型好，出行方便，交通便利,258万,1室1厅 | 50.79平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b59cf4ad-65be-457a-83a0-5007fb42d239.jpg.296x216.jpg
20200208,浦东,世博,近地铁，精装修，中等楼层，西边套全明户型,298万,2室1厅 | 53.58平米 | 南 | 精装 | 中楼层(共6层) | 1982年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1c6b0853-8b08-4e78-93d8-94cf1fd238a5.jpg.296x216.jpg
20200208,浦东,世博,五年前婚房装修，单价低，全明户型，业主新房已看好,295万,2室1厅 | 58.44平米 | 南 | 其他 | 中楼层(共5层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Bgbff1WNa_1.jpg.296x216.jpg
20200208,浦东,世博,看房随时产权清晰，近地铁采光好，一梯两户全明户型。房主自荐,600万,2室2厅 | 96.19平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-4b5b539d-a50d-4e92-9b72-49395a0d68ef.png.296x216.jpg
20200208,浦东,世博,一梯两户，精装修拎包入住，采光充足，户型格局方正,393万,2室1厅 | 68.84平米 | 南 | 精装 | 中楼层(共7层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9c7a20e1-97b7-41a7-a9e7-6af387f96ae5.jpg.296x216.jpg
20200208,浦东,世博,7.13号线双轨 满五年唯一 全明一房 低总价诚意出售,182万,1室1厅 | 34.66平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/4cdc5162-30cf-41c4-a965-6fd08ec87861_1000.jpg.296x216.jpg
20200208,浦东,世博,业主诚意出售，精装房源，户型好，，，，,330万,2室1厅 | 57.69平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2803cc52-a8bd-4d08-9bd5-8ba24de4cc9f.jpg.296x216.jpg
20200208,浦东,世博,昌四小区 南北两房  楼层高 采光好 价格超级划算,275万,2室1厅 | 60.86平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5B45jkUM1_1.jpg.296x216.jpg
20200208,浦东,世博,长清路地铁站 济阳三村已改小两房 非顶楼 诚意出售,220万,2室1厅 | 45.18平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-779ca45d-7cd2-4be5-aec8-1f357f67b7cc.jpg.296x216.jpg
20200208,浦东,世博,采光充足，视野开阔，交通便利，配套完善,200万,1室1厅 | 45.35平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a2ca5799-9e25-43b7-86c5-a408b4b67bf8.jpg.296x216.jpg
20200208,浦东,世博,小户型 低总价 高区采光好近8/13号线,185万,1室0厅 | 34.05平米 | 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_tONCLOJdr_1.jpg.296x216.jpg
20200208,浦东,世博,昌四小区 楼层好采光好  靠6、13号地铁 诚心出售房主自荐,220万,1室1厅 | 46.87平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kSqKqkePN_1.jpg.296x216.jpg
20200208,浦东,世博,精致一房，近6/13号东明路站，看房方便，次顶楼,222万,1室1厅 | 41.39平米 | 南 | 毛坯 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_c1HSyz0mB_1.jpg.296x216.jpg
