20200208,浦东,金杨,正气三房 业主置换 诚意出售  满五唯一 产权清晰必看好房,992万,3室2厅 | 121平米 | 南 | 简装 | 低楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1JcDFPE74.jpg.296x216.jpg
20200208,浦东,金杨,近14号线+中间楼层+户型方正+满五唯一 税费少,250万,1室1厅 | 47.12平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_DkSdJfJdH.jpg.296x216.jpg
20200208,浦东,金杨,近内环+一梯三户+花园位置+双轨（6+14）,240万,1室1厅 | 49.4平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6qqn1vVJx.jpg.296x216.jpg
20200208,浦东,金杨,新 安静位置  楼间距开阔  南北户型  精装修 满五唯一,580万,2室1厅 | 67.28平米 | 南 北 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8hBJt2040.jpg.296x216.jpg
20200208,浦东,金杨,中间楼层，双南户型，附带露台，一手动迁，税费少,435万,2室1厅 | 72.77平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9knk7NP2V_1.jpg.296x216.jpg
20200208,浦东,金杨,9/14双轨  电梯中间楼层  全明双南 看房方便,425万,2室1厅 | 89.14平米 | 南 | 简装 | 中楼层(共24层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_yDUCOZRno.jpg.296x216.jpg
20200208,浦东,金杨,居家精装双南两房+户型方正+不靠马路+房东诚意出售,510万,2室1厅 | 52.34平米 | 南 | 其他 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_D2muiQDKY.jpg.296x216.jpg
20200208,浦东,金杨,6+9+14地铁三轨，南北通风，02年商品房，交通便利,718万,3室2厅 | 112.94平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_oMqXB7Kg7.jpg.296x216.jpg
20200208,浦东,金杨,中环内2005年高层电梯房 离在建地铁14号线500米,267万,1室1厅 | 54.61平米 | 北 | 简装 | 中楼层(共28层) | 2005年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/test-51069a1b-1cca-41d1-a0cd-f1b2f08ec960.png.296x216.jpg
20200208,浦东,金杨,致远，三轨房，国际社区旁，钥匙随时看房！,450万,3室1厅 | 93.48平米 | 南 | 简装 | 低楼层(共24层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-f0abbc78-4929-43e9-b7d3-cfbb43f78324.jpg.296x216.jpg
20200208,浦东,金杨,2003年商品房+满五年+电梯房+近地铁+带露台,720万,3室2厅 | 119.82平米 | 南 | 简装 | 低楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-74c92464-7c03-48a0-98cf-f76199d72b05.jpg.296x216.jpg
20200208,浦东,金杨,《内环边小两房+厅带东窗全明+非顶楼视野好》有钥匙！房主自荐,278万,2室1厅 | 51.66平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9mZ5Y6U5G.jpg.296x216.jpg
20200208,浦东,金杨,小区央座，新出正气大四房，四开间朝南，钥匙在手,1180万,4室2厅 | 138.01平米 | 南 | 简装 | 中楼层(共5层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_RElTXWT7k_1.jpg.296x216.jpg
20200208,浦东,金杨,业主置换，诚心出售此房，看房随时都方便，价格可谈。,840万,3室2厅 | 100.78平米 | 南 | 其他 | 低楼层(共7层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QshfiHy8z_1.jpg.296x216.jpg
20200208,浦东,金杨,少有双东大两房，总价低，单价低，看房方便，诚意出售,580万,2室2厅 | 78.35平米 | 南 | 精装 | 中楼层(共4层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f178c4e8-dd82-456a-95fa-621e09874792.jpg.296x216.jpg
20200208,浦东,金杨,近内环，电梯3房，满五年，近地铁。诚心卖，品质小区房主自荐,910万,3室2厅 | 134.21平米 | 南 | 精装 | 高楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d337d7ab-ec15-46f7-aa0a-ae0b2c080e2b.jpg.296x216.jpg
20200208,浦东,金杨,满五年，精装修，三开间朝南，小区安静位置房主自荐,400万,2室1厅 | 76.02平米 | 南 | 精装 | 6层 | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-fcb40fc7-49f9-4178-a4b7-c57164603f30.png.296x216.jpg
20200208,浦东,金杨,双南方正户型，小区位置好，一手动迁交易成本低！,285万,2室1厅 | 58.27平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c65ed87a-f947-422e-b1a5-6b440473e517.jpg.296x216.jpg
20200208,浦东,金杨,精装两房 中区楼层 产权清晰  诚意出售 看房方便,820万,2室2厅 | 98.68平米 | 南 | 精装 | 中楼层(共14层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c919612b-0eb0-4ca2-a9e0-7acf2c467e96.jpg.296x216.jpg
20200208,浦东,金杨,陆家嘴新景园+满五唯一+总价低+随时可签,780万,3室1厅 | 116.87平米 | 南 | 简装 | 中楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-00791bed-c2ca-4c98-b8d8-8a062564bc1d.jpg.296x216.jpg
20200208,浦东,金杨,满五唯一+一梯两户+不靠马路+中区采光好+有钥匙随时看房主自荐,218万,1室1厅 | 43.13平米 | 南 北 | 简装 | 中楼层(共7层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GkjLzxqgl_1.jpg.296x216.jpg
20200208,浦东,金杨,总价低，两房朝南，户型正气，满五唯一，诚心出售房主自荐,508万,2室1厅 | 66.3平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-06f0a445-1e13-49ef-b7b6-e3b647ff84dc.jpg.296x216.jpg
20200208,浦东,金杨,精装修+有钥匙+南北全明通透户型+税费低随时看,400万,1室2厅 | 68.15平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f3fd91b4-f94e-4e34-af47-ce9d1a01069f.jpg.296x216.jpg
20200208,浦东,金杨,精装修.健身楼层.近地铁.房东诚意卖.房主自荐,415万,2室2厅 | 76.62平米 | 南 | 精装 | 高楼层(共7层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3f7c0b62-e861-4f96-8998-b56aca2a9fca.jpg.296x216.jpg
20200208,浦东,金杨,五街坊 三房考马路不考变电站 一梯两户 双南全明房主自荐,369万,3室1厅 | 71.94平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-e88358f7-0b93-44b8-adfb-7b6956450a29.jpg.296x216.jpg
20200208,浦东,金杨,楼下就是地铁9号线+满五年税费少+诚意卖+看房方便,500万,2室2厅 | 100.88平米 | 南 | 简装 | 低楼层(共24层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-68c7ec9e-d6db-43e1-b4d5-cd56330a69fc.jpg.296x216.jpg
20200208,浦东,金杨,近地铁 全明户型大三房 居家装修 看房随时联系小董,660万,3室1厅 | 95.3平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6VcqBmwUZ_1.jpg.296x216.jpg
20200208,浦东,金杨,金杨新村九街坊 1室1厅 210万,210万,1室1厅 | 38.75平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yVHvXwR5G_1.jpg.296x216.jpg
20200208,浦东,金杨,金樟花苑+四房+业主诚售+交通便利+低总价,860万,4室2厅 | 162.24平米 | 南 | 精装 | 低楼层(共18层) | 2000年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-91a20fa0-6162-4152-bba4-a53ae78810ac.jpg.296x216.jpg
20200208,浦东,金杨,带40平花园 中间位置 房型正气 三间朝南 满五年,998万,3室2厅 | 124.96平米 | 南 | 简装 | 低楼层(共7层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-938855f9-4d93-43ba-9e04-d15e6b447f6c.jpg.296x216.jpg
20200208,浦东,金杨,满五唯一，三房全明，6号线14号线地铁，价格可谈,720万,3室2厅 | 109.94平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0g1WySYoI_1.jpg.296x216.jpg
20200208,浦东,金杨,五年精装修+满五唯一+交通便利6号9号双轨+看房方便,232万,2室1厅 | 49.28平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ea31b205-e514-493b-8fbb-e2952f647992.jpg.296x216.jpg
20200208,浦东,金杨,满五唯一 全明户型 诚意出售   致远,420万,3室1厅 | 70.23平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BC7cYvQKq_1.jpg.296x216.jpg
20200208,浦东,金杨,满五年不唯一，双南，采光好，小区中间位置，诚意出售,248万,2室1厅 | 56.05平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-18e845b1-72ab-47c2-ba78-9ed109c46b03.jpg.296x216.jpg
20200208,浦东,金杨,本房源位于小区正，中位置。带地下室。诚心出售。房主自荐,1450万,4室3厅 | 228.18平米 | 南 | 精装 | 低楼层(共16层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_v1NC6J2tg_1.jpg.296x216.jpg
20200208,浦东,金杨,近德平路站+眺望东方明珠的璀璨+中星的封面巨作+花园,890万,3室2厅 | 120.13平米 | 南 | 精装 | 高楼层(共14层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_nJWOgxeV6.jpg.296x216.jpg
20200208,浦东,金杨,满五年不唯一，中间楼层，采光好装修好,850万,2室2厅 | 98平米 | 南 | 精装 | 中楼层(共9层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UqzkcypHP.jpg.296x216.jpg
20200208,浦东,金杨,金杨公寓，九号线蓝天路地铁口，致远，业主诚卖,540万,3室2厅 | 108.09平米 | 南 | 简装 | 低楼层(共24层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-acab1e95-46a6-4f43-b956-d8b1bdaf40e3.jpg.296x216.jpg
20200208,浦东,金杨,一楼带天井，南北两房，价格便宜，看房方便，诚心出售,285万,2室1厅 | 59.34平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VLWbAaVSw_1.jpg.296x216.jpg
20200208,浦东,金杨,{总价低，单价低，精装修，采光好}过渡优选——GO房主自荐,220万,1室1厅 | 48.8平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ab89e4ec-28d4-4bda-aa19-a4280d80111c.jpg.296x216.jpg
20200208,浦东,金杨,满五税费少+非顶楼靠河+边套全明+单价低+精装修,320万,2室1厅 | 64.24平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-0f6638f7-d86e-4d3d-88e7-870de5c12b9a.jpg.296x216.jpg
20200208,浦东,金杨,南北通格局 户型好 业主自住 室内保养好 一梯两户,415万,2室2厅 | 75.7平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-01d1636d-d7c6-4b54-9fa8-273724a81819.jpg.296x216.jpg
20200208,浦东,金杨,南北全明户型，房东诚心出售，精装修，满五唯一,335万,2室1厅 | 60.41平米 | 南 北 | 精装 | 中楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a5ec3cdf-684f-4300-a947-fd51d04e3aae.jpg.296x216.jpg
20200208,浦东,金杨,一手动迁 双南两房 中间楼层 业主诚售,295万,2室1厅 | 59.7平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-09fb7045-ed6b-482b-9298-fdcefea1d09e.jpg.296x216.jpg
20200208,浦东,金杨,满五唯一 一手动迁 南北两房，，户型正气，双轨交通,295万,2室1厅 | 57.11平米 | 南 北 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-504873dc-d236-4eba-a571-a004ec1d00b9.jpg.296x216.jpg
20200208,浦东,金杨,适合一家三代人住，楼层好，视野宽阔，房主自荐,1150万,4室2厅 | 152.07平米 | 南 | 精装 | 中楼层(共5层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-1c5c583f-69b6-40f0-89ab-03766a69eb29.jpg.296x216.jpg
20200208,浦东,金杨,精装大两房，全明户型位置佳，业主诚意出售，看房随时,315万,2室1厅 | 67.46平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XBjiFlQLm_1.jpg.296x216.jpg
20200208,浦东,金杨,南北采光透气，两房朝南，带大露台，后排不靠路安静,1030万,3室1厅 | 119.55平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b420eaa6-8f79-4080-9334-9c7ff7f679ba.jpg.296x216.jpg
20200208,浦东,金杨,一梯二户，双南全明，金杨样板房，税费少，专属vip,312万,2室1厅 | 60.06平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UWEhmOcHc_1.jpg.296x216.jpg
20200208,浦东,金杨,花园位置，满五年，全明户型，有钥匙，看房方便,294万,2室1厅 | 58.99平米 | 东南 | 毛坯 | 低楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_H2tZRNfkc.jpg.296x216.jpg
20200208,浦东,金杨,动迁房，一梯两户，南边户型通风采光好，小区后排位置,269.5万,2室1厅 | 53.9平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LjcDSFX0E_1.jpg.296x216.jpg
20200208,浦东,金杨,房东诚意出售，满五唯一，视野开阔。,300万,2室1厅 | 61.67平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MukmaLz8e.jpg.296x216.jpg
20200208,浦东,金杨,少见明亮双南大二房 楼层好业主诚意 金杨难找第二套,370万,2室1厅 | 73.34平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BVVs6Qicv_1.jpg.296x216.jpg
20200208,浦东,金杨,5楼、9号线地铁口、南北两房、一梯两户、看房有钥匙,305万,2室1厅 | 61.62平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_tht3Cbz0q_1.jpg.296x216.jpg
20200208,浦东,金杨,三房楼层好，动迁继承产权，无增值税，9/6/14三轨,415万,3室1厅 | 72.21平米 | 南 | 简装 | 中楼层(共7层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yJ0DDegrn_1.jpg.296x216.jpg
20200208,浦东,金杨,房子是中间楼层，精装修，双南两房全明户型。,430万,2室1厅 | 74.18平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_AKhD8flET_1.jpg.296x216.jpg
20200208,浦东,金杨,房子满五年，商品房南北通户型，看房随时 一梯两户,750万,2室2厅 | 99.14平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_YLS4KRhKF.jpg.296x216.jpg
20200208,浦东,金杨,满五唯一，南北通，采光好，价格比较优惠,280万,2室1厅 | 63.82平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b7a68267-8c4a-4db5-ab27-6ebf119e445b.jpg.296x216.jpg
20200208,浦东,金杨,电梯房，三条地铁线，精装修，看房比较方便房主自荐,376万,2室1厅 | 80.03平米 | 南 | 简装 | 低楼层(共24层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_PjhzB53MV_1.jpg.296x216.jpg
20200208,浦东,金杨,三条地铁 总价低南北两房  动迁 满五年税少 随时看房主自荐,289万,2室1厅 | 59.59平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_EYyw6V1Z2_1.jpg.296x216.jpg
20200208,浦东,金杨,中高层 非顶楼 近地铁 模范小区,237万,1室1厅 | 43.68平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yQKSNUo5w_1.jpg.296x216.jpg
20200208,浦东,金杨,小区花园位置十双南全明户型十中层精装十诚心出售房主自荐,340万,2室1厅 | 57.93平米 | 南 | 精装 | 中楼层(共7层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-de97a9d0-a7bf-4828-9dc1-6607332f4eea.png.296x216.jpg
20200208,浦东,金杨,{大三房，精装修，电梯房，通明户型，价格可谈},590万,3室2厅 | 127.17平米 | 南 | 精装 | 低楼层(共14层) | 1998年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-8f0eccdd-b1c7-48b5-a027-fbb2bcd29dd7.jpg.296x216.jpg
20200208,浦东,金杨,中间楼层，双南户型，客厅正气，通风好,360万,2室1厅 | 66.4平米 | 南 | 简装 | 6层 | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SjczmEVAX.jpg.296x216.jpg
20200208,浦东,金杨,{非顶楼，全明户型，看房随时，诚意出售，联系维护人},229万,1室1厅 | 45.99平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_av1FktRKG_1.jpg.296x216.jpg
20200208,浦东,金杨,（前无遮挡＋四面环窗＋大花园欧洲小金鱼观赏）,315万,2室1厅 | 60.24平米 | 西南 | 简装 | 低楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zFGhnzFVH.jpg.296x216.jpg
20200208,浦东,金杨,（经理急推房源＋中楼层正南户型＋前无遮挡后有阳光）房主自荐,367万,2室1厅 | 68.5平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_iKQdNNQjZ.jpg.296x216.jpg
20200208,浦东,金杨,诚意出售，房子两南一北，全明户型，采光通风都好。,358万,3室1厅 | 73.08平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GhHJfabdb.jpg.296x216.jpg
20200208,浦东,金杨,德平路地铁满五唯一税费少 随时看房 房东诚心急售,450万,2室1厅 | 78.36平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_oXUQYx8QQ_1.jpg.296x216.jpg
20200208,浦东,金杨,电梯中区双南两房，俯看黄浦江，满五唯一税少，诚售,545万,2室2厅 | 105.19平米 | 南 西南 | 精装 | 中楼层(共20层) | 1997年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_XH9W9Omw6_1.jpg.296x216.jpg
20200208,浦东,金杨,精装小两房，格局好，利用率高，交通便，视野好,242万,2室1厅 | 52.25平米 | 南 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5seQMzCNe.jpg.296x216.jpg
20200208,浦东,金杨,黄山始信苑 2室1厅 610万,610万,2室1厅 | 70.36平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KyxFA5lyJ_1.jpg.296x216.jpg
20200208,浦东,金杨,黄山始信苑 2室1厅 578万,578万,2室1厅 | 68.9平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9RMAJAYsv_1.jpg.296x216.jpg
20200208,浦东,金杨,双南两房，精装修两年，品牌家具家电，中间楼层房主自荐,325万,2室1厅 | 60.74平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zbMTkQhSi_1.jpg.296x216.jpg
20200208,浦东,金杨,东边套全明户型，婚房精装，税费少，仅此一席,315万,2室1厅 | 67.46平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IsPObQMnP_1.jpg.296x216.jpg
20200208,浦东,金杨,金杨双南精装两房+小区花园位置+满五唯一,305万,2室1厅 | 60.74平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8fe0718e-180f-4da7-914b-c978e616bd8d.jpg.296x216.jpg
20200208,浦东,金杨,动迁房+满五唯一+电梯高层+看房方便+双南户型,369万,2室1厅 | 80.26平米 | 南 | 精装 | 高楼层(共24层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-805d2e0f-6a58-4ca6-9749-e663d8c3afbc.jpg.296x216.jpg
20200208,浦东,金杨,此房满五唯一，健身楼层，精装修，配套成熟，近内环,336万,2室1厅 | 70.46平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-55498538-168c-45b4-b86e-949dbe9c4d30.jpg.296x216.jpg
20200208,浦东,金杨,税费少，满五唯一精装修 中间安静位置 南北通风好房主自荐,1028万,2室2厅 | 115.19平米 | 南 | 精装 | 低楼层(共21层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-839fe541-6728-4ab0-9847-826f67b5501e.jpg.296x216.jpg
20200208,浦东,金杨,房型正气、花园位置、交通便利、南北通风，看房方便房主自荐,280万,2室1厅 | 60.08平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-594e41ee-5f72-46ac-8e1e-12d75889d4c3.jpg.296x216.jpg
20200208,浦东,金杨,满五年 2楼 好楼层 南北户型 近蓝天路 花园位置房主自荐,323万,2室1厅 | 59.63平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-87588c24-e982-45d7-9e63-fb6a1a347d05.jpg.296x216.jpg
20200208,浦东,金杨,精装修+边套全明+通风好+总价低+中间楼层,227万,1室1厅 | 47.27平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-464dff4b-6f8c-429c-96c1-392f3b535885.jpg.296x216.jpg
20200208,浦东,金杨,总价低 单价低 全明户型 价格可谈 房东诚意,249万,2室1厅 | 56平米 | 东南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-1e39185f-f690-4f70-99af-8ac3a5dafa3a.png.296x216.jpg
20200208,浦东,金杨,此房位于小区央座，采光通风好，可动性大随时看房,318万,2室1厅 | 63.67平米 | 南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fdaf4329-489a-483c-946d-e2c949e15737.jpg.296x216.jpg
20200208,浦东,金杨,小区位置佳户型正气精装修一梯两户一楼带天井看房方便,345万,2室1厅 | 63.58平米 | 南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZXcDdq2wi_1.jpg.296x216.jpg
20200208,浦东,金杨,两梯六户，98年商品房！中内环总价低的电梯房！,455万,2室2厅 | 90.88平米 | 南 | 简装 | 低楼层(共14层) | 1998年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_6inhhlwtA_1.jpg.296x216.jpg
20200208,浦东,金杨,2003年的配套商品房，双南 南北双阳台，带飘窗。,475万,2室1厅 | 75.88平米 | 南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-48163702-dc8c-4905-9a58-96a042ddae93.jpg.296x216.jpg
20200208,浦东,金杨,房子是2003年商品房户型 ， 南北双阳台  ，楼层好,323万,1室1厅 | 53.06平米 | 南 | 简装 | 中楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5a8ec403-bfe2-4375-a698-6f8bb1a013ef.jpg.296x216.jpg
20200208,浦东,金杨,园林式小区，复式不靠路，近6号线地铁，出行方便,1020万,3室2厅 | 156平米 | 南 北 | 简装 | 高楼层(共5层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-12c6d731-2039-47a6-8b45-1df1acf9da5d.jpg.296x216.jpg
20200208,浦东,金杨,金杨十街坊，满五年，空置有钥匙，房子看中可谈,163万,1室0厅 | 28.79平米 | 南 | 毛坯 | 中楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kZb1xsVnE_1.jpg.296x216.jpg
20200208,浦东,金杨,边套全明户型+中间楼层+近内环+看房随时,420万,3室1厅 | 78.62平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_gzpzwl0U6.jpg.296x216.jpg
20200208,浦东,金杨,全明户型，高楼层，价格可谈，房东诚意出售,235万,2室0厅 | 51.57平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-03e0ae7a-49e5-48f4-a715-0419fc6ee9a1.png.296x216.jpg
20200208,浦东,金杨,双南两房 近地铁 精装修 满五唯一 业主诚心出售,360万,2室1厅 | 75.69平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0194158f-90f7-4abe-8836-592274c9e3c8.jpg.296x216.jpg
20200208,浦东,金杨,三轨交接 一梯两户 双南全明两房 精装修 拎包入住房主自荐,325万,2室1厅 | 62.31平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-910a8bae-15ae-4962-a381-cfc3c9562a81.jpg.296x216.jpg
20200208,浦东,金杨,一梯两户，面对碧云国际社区，闹中取静，厅卧朝南房主自荐,285万,2室1厅 | 56.07平米 | 东南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c02ddadb-b2ef-47fa-9c75-39152d6e64d8.jpg.296x216.jpg
20200208,浦东,金杨,6楼 非顶楼  业主诚心出售 双南大两房 看房方便房主自荐,340万,2室2厅 | 73.15平米 | 南 | 简装 | 高楼层(共7层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_3X0MnXFap_1.jpg.296x216.jpg
20200208,浦东,金杨,满五唯一，双南两房，全明户型，一梯两户,360万,2室1厅 | 73.34平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7KA5HBgBJ_1.jpg.296x216.jpg
