20200208,浦东,高行,楼梯房三楼，满五年唯一，小区中间位置必看好房,500万,3室2厅 | 98平米 | 南 北 | 简装 | 中楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kwJTxIZnb_1.jpg.296x216.jpg
20200208,浦东,高行,高行馨苑一手买进商品房，位置好采光好；居住安静,430万,2室2厅 | 102.44平米 | 南 北 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-40eede26-a694-415e-a7b2-b27f90e4bfbc.png.296x216.jpg
20200208,浦东,高行,房子一手动迁  买进少税  有钥匙看房子方便的,590万,3室2厅 | 111.39平米 | 南 | 简装 | 低楼层(共17层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yDgmGp5PN_1.jpg.296x216.jpg
20200208,浦东,高行,户型方正，空间布局合理，前后无遮挡，环境舒适,475万,3室2厅 | 114.45平米 | 东南 | 简装 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-cc9d70e4-ed2d-4d26-b57f-4e8aca396ba6.jpg.296x216.jpg
20200208,浦东,高行,新高苑(三期) 2室1厅 304万,304万,2室1厅 | 62.72平米 | 南 | 毛坯 | 中楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-2e15e220-85b0-4fc0-ae26-f5d197c50b7a.png.296x216.jpg
20200208,浦东,高行,东源名都 1室1厅 315万,315万,1室1厅 | 55.61平米 | 南 | 精装 | 中楼层(共16层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_uesqZjQww_1.jpg.296x216.jpg
20200208,浦东,高行,此房满五唯一，超大地下室，精装户型正气看房方便,750万,3室2厅 | 216平米 | 南 | 精装 | 低楼层(共16层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8aR16rw2V_1.jpg.296x216.jpg
20200208,浦东,高行,此房小区央座，满五唯一，一房朝南一房朝北，自住装修,610万,2室2厅 | 190平米 | 南 北 | 简装 | 低楼层(共11层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_27SRkgKmX_1.jpg.296x216.jpg
20200208,浦东,高行,06年品质小区，一手动迁，税费少，看房方便。,395万,2室2厅 | 86平米 | 南 | 简装 | 低楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IMLnSDxXj_1.jpg.296x216.jpg
20200208,浦东,高行,近地铁，双南户型，视野开阔，钥匙房，看房方便,315万,2室1厅 | 77.27平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d35d8da7-ab8b-4984-add4-5d4074fdb8dd.jpg.296x216.jpg
20200208,浦东,高行,一手动迁房，税费低，纯毛坯好装修，诚心卖看房方便,265万,1室1厅 | 57.36平米 | 南 | 毛坯 | 低楼层(共17层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qypjzKAr7_1.jpg.296x216.jpg
20200208,浦东,高行,此房满五年唯一、一楼带50平米花园小区位置好,530万,3室2厅 | 114.91平米 | 南 | 简装 | 低楼层(共11层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yYXSSFyRe_1.jpg.296x216.jpg
20200208,浦东,高行,华高苑 3室2厅 580万,580万,3室2厅 | 121.09平米 | 南 | 简装 | 中楼层(共5层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Q6wWOLjyN_1.jpg.296x216.jpg
20200208,浦东,高行,小区好位置 满五年唯一，经典朝南朝北2房户型,330万,2室1厅 | 77.14平米 | 暂无数据 | 简装 | 低楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e16cd055-6aac-4b10-a0d6-35d6b6ee1b5c.jpg.296x216.jpg
20200208,浦东,高行,满五唯一  非顶楼三房改两房 全明户型超划算,340万,2室2厅 | 87.75平米 | 西南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-52602fec-ef98-40c2-a956-e63d29dc335f.jpg.296x216.jpg
20200208,浦东,高行,大阳台 中间楼层  精装修 拎包入住 随时可看！,257万,1室1厅 | 51.05平米 | 南 | 简装 | 低楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b1d3162c-d112-43f7-b365-c65755954373.jpg.296x216.jpg
20200208,浦东,高行,欢迎参观  精装空关   中楼层  原来你也在这里！房主自荐,425万,2室2厅 | 90.31平米 | 南 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-725c0034-83dd-4d41-b15e-500731504684.jpg.296x216.jpg
20200208,浦东,高行,南北通格局，楼层顶部，带阁楼，诚意出售，看房方便,430万,2室2厅 | 81.91平米 | 南 | 毛坯 | 高楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3c816c15-f5f7-4874-ac46-47ffa1b3985b.jpg.296x216.jpg
20200208,浦东,高行,小区位置好，南北户型，小两房，电梯高楼层,375万,2室2厅 | 74.94平米 | 南 | 简装 | 高楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_uRP7ADxkH_1.jpg.296x216.jpg
20200208,浦东,高行,2000年商品房，近地铁，总高六楼带电梯,649万,3室2厅 | 144.28平米 | 南 | 精装 | 低楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IttjmLI53_1.jpg.296x216.jpg
20200208,浦东,高行,全南户型  户型方正  视野好采光好 业主诚意出售,350万,3室2厅 | 92.55平米 | 南 | 简装 | 高楼层(共7层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_3xbjIPpft_1.jpg.296x216.jpg
20200208,浦东,高行,崭新装修25万   次顶楼  户型正气  业主诚意出售,390万,3室1厅 | 93平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UmIm82KF4_1.jpg.296x216.jpg
20200208,浦东,高行,一手动迁，满五唯一，多层大两房，附加朝南小露台,430万,2室2厅 | 89.86平米 | 南 | 简装 | 5层 | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Xr7nDwCT9_1.jpg.296x216.jpg
20200208,浦东,高行,中间楼层 户型正气 满五唯一 业主诚意出售房主自荐,460万,2室2厅 | 106平米 | 南 北 | 简装 | 中楼层(共5层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8mWj5zMUC_1.jpg.296x216.jpg
20200208,浦东,高行,精装中高层大两房，双南户型，满五唯一，业主诚心出售,550万,2室2厅 | 101.42平米 | 南 北 | 精装 | 高楼层(共18层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Xcp5jSLoF_1.jpg.296x216.jpg
20200208,浦东,高行,楼层号好 采光好 精装修 诚心卖,590万,3室2厅 | 111.45平米 | 南 | 精装 | 中楼层(共18层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Rgi8PJM8q_1.jpg.296x216.jpg
20200208,浦东,高行,一楼带天井  精装小三房  业主诚意出售,335万,3室2厅 | 83.75平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Z3yO9u1t4_1.jpg.296x216.jpg
20200208,浦东,高行,景观楼层 满五唯一无个税 业主诚意出售,530万,2室2厅 | 93.08平米 | 南 | 精装 | 高楼层(共11层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_xdUh2aQ2z_1.jpg.296x216.jpg
20200208,浦东,高行,地铁口400米 一手动迁满五年  业主诚意出售,520万,2室2厅 | 98.37平米 | 南 | 简装 | 低楼层(共16层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PknvFSkX9_1.jpg.296x216.jpg
20200208,浦东,高行,自住精装修 三房朝南   小区位置好 楼层好，位置好,620万,3室2厅 | 127.6平米 | 南 | 精装 | 低楼层(共14层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e56e80af-6b39-482e-8517-03e09729327a.jpg.296x216.jpg
20200208,浦东,高行,房东诚心出售，价格可以谈   少税，采光好。房主自荐,368万,3室1厅 | 87.75平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c9a38ee7-b2ac-4155-9e31-63cd2a0dd1bb.jpg.296x216.jpg
20200208,浦东,高行,房子满五年唯一，户型格局好房东自住提前联系随时可看,300万,2室1厅 | 65.09平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-f33ff864-e0dd-4080-b9a1-c6f3a1934a9c.png.296x216.jpg
20200208,浦东,高行,配套完善   出行方便  诚心出售,290万,2室1厅 | 70.22平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-38a4eaba-8066-4d79-aea6-43e06cc63aea.png.296x216.jpg
20200208,浦东,高行,2+1户型，南北通，业主诚心卖，12号线，金京路站,550万,3室2厅 | 111.5平米 | 南 | 精装 | 低楼层(共18层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a7626d51-436f-4e8e-bbe5-a2bc98987ae2.jpg.296x216.jpg
20200208,浦东,高行,三开间朝南，一楼带大花园，无遮挡，满五唯一税费少,498万,2室2厅 | 103.07平米 | 南 | 精装 | 低楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d569f9de-0cec-4db1-96d3-a7fbc5776175.jpg.296x216.jpg
20200208,浦东,高行,一手动迁，税费少，有书房，两房朝南，业主诚意出售。,367万,2室1厅 | 80.7平米 | 南 | 毛坯 | 低楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cHzOv46Fr_1.jpg.296x216.jpg
20200208,浦东,高行,外环内，双地铁，森兰绿地，万嘉商场， 随时可看房主自荐,308万,2室1厅 | 72.46平米 | 南 | 简装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-c0963993-731f-4dce-b3ac-9e9bbc33ed87.jpg.296x216.jpg
20200208,浦东,高行,东源名都 经典三房 蝴蝶户型 单价便宜，房东诚心卖,560万,3室2厅 | 115.42平米 | 南 北 | 精装 | 低楼层(共18层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-686a2614-1de8-4de7-85ef-ad4ed7ae63ca.png.296x216.jpg
20200208,浦东,高行,满五年大四房，中间位置带大花园有产权车位，诚心出售,760万,4室2厅 | 156.06平米 | 南 | 精装 | 低楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-54f1b8c8-26af-4cfa-a3ea-164b6b289265.jpg.296x216.jpg
20200208,浦东,高行,电梯中层大三房，全明户型采光好，南北通户型正气。,625万,3室2厅 | 151.21平米 | 南 | 毛坯 | 中楼层(共12层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c5adca37-436d-4529-8810-31aa1aaefc95.jpg.296x216.jpg
20200208,浦东,高行,08年品质小区  本房一手动迁税费少 景观楼层 近万嘉,480万,2室2厅 | 97.9平米 | 南 北 | 简装 | 高楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-af7b0d6a-23d5-4d73-acf4-7afa3b16690c.jpg.296x216.jpg
20200208,浦东,高行,蝴蝶三房，视野宽阔，采光充足，配套齐全，交通便利。,565万,3室2厅 | 115.42平米 | 南 北 | 精装 | 低楼层(共18层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bd97a5b0-34dc-45e5-aa5d-c5c10b57ab7d.jpg.296x216.jpg
20200208,浦东,高行,双轨交通 景观楼层 钥匙在手说走就走 价格好谈,610万,3室2厅 | 115.77平米 | 南 北 | 精装 | 高楼层(共16层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_RVACv3ftk_1.jpg.296x216.jpg
20200208,浦东,高行,蝴蝶户型原始三房 中间楼层 满五唯一 精装修,516万,3室2厅 | 102.5平米 | 南 | 精装 | 中楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XuOwYDjfc_1.jpg.296x216.jpg
20200208,浦东,高行,两房两厅一厨一卫，03年纯商品房，楼层好,470万,2室2厅 | 93.84平米 | 南 | 精装 | 中楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_t4A1IgwKb_1.jpg.296x216.jpg
20200208,浦东,高行,诚意出售，高层景观，视野开阔，商品房社区，配套成熟,455万,2室2厅 | 88.46平米 | 南 | 毛坯 | 高楼层(共20层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_esMd948rQ_1.jpg.296x216.jpg
20200208,浦东,高行,幸福小镇中间位置带大花园精装修两房，满五年税费少,460万,2室2厅 | 90.59平米 | 南 北 | 精装 | 低楼层(共5层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KFHY1ddna_1.jpg.296x216.jpg
20200208,浦东,高行,景观房 带阁楼+露台  自住装修 户型方正,350万,2室1厅 | 64.07平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VU84zrS1Z_1.jpg.296x216.jpg
20200208,浦东,高行,此房双南户型，采光好，近12号线，位置好，诚意出售,330万,2室1厅 | 77.58平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9PD1VXUvx_1.jpg.296x216.jpg
20200208,浦东,高行,C7户型  满五唯一 南北通透 看房方便价格好谈,480万,2室2厅 | 96.73平米 | 南 北 | 简装 | 低楼层(共16层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_inyFMf6Kx_1.jpg.296x216.jpg
20200208,浦东,高行,新高苑低总价两房，刚需可以选择，看房预约,350万,2室2厅 | 75.45平米 | 南 | 简装 | 低楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PRouzTgVi_1.jpg.296x216.jpg
20200208,浦东,高行,此房满五年唯一 南北通户型 一楼带地下室,580万,2室2厅 | 130平米 | 南 | 精装 | 低楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jcDHWLAJI_1.jpg.296x216.jpg
20200208,浦东,高行,森兰绿地旁，精装修，采光无遮挡，电梯房,460万,2室2厅 | 97.72平米 | 南 | 精装 | 低楼层(共14层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GtPvTqcyN_1.jpg.296x216.jpg
20200208,浦东,高行,春江花悦园小区品质高，交通便利，提高生活品质,440万,2室2厅 | 81.85平米 | 南 | 精装 | 低楼层(共12层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_F6vuqaOGT_1.jpg.296x216.jpg
20200208,浦东,高行,华高苑 2室2厅 480万,480万,2室2厅 | 108.61平米 | 南 | 其他 | 中楼层(共5层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZKcV3les8_1.jpg.296x216.jpg
20200208,浦东,高行,前后无遮挡，中间楼层，成熟地段，生活出行方便,315万,2室1厅 | 73.36平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_z6Tqnyt9H_1.jpg.296x216.jpg
20200208,浦东,高行,正气大三房，花30万装修带30平大院子，适合一家人住,590万,3室2厅 | 120.75平米 | 南 | 精装 | 低楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LVfpPEmwd_1.jpg.296x216.jpg
20200208,浦东,高行,满五唯一位置好，精装修带阁楼空间大，有阳台采光好。,465万,2室2厅 | 77.99平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_xVDLdipTE_1.jpg.296x216.jpg
20200208,浦东,高行,南北通风  精装修大三房两卫  满五唯一无个税,575万,3室2厅 | 123.17平米 | 南 | 精装 | 中楼层(共5层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5fxU9ZpMk_1.jpg.296x216.jpg
20200208,浦东,高行,满五唯一，无个税，中间楼层，采光好户型方正南北通风,485万,2室2厅 | 108.33平米 | 南 | 其他 | 中楼层(共5层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PLquid9yP_1.jpg.296x216.jpg
20200208,浦东,高行,业主急卖双南户型大两房 12线地铁口 商品电梯河景房,520万,2室2厅 | 103.87平米 | 南 | 精装 | 低楼层(共18层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_P1I69gprE_1.jpg.296x216.jpg
20200208,浦东,高行,地铁12号线金京路站，中间楼层，看房方便，诚心出售。,325万,2室1厅 | 77.27平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9q5X7YiMi_1.jpg.296x216.jpg
20200208,浦东,高行,华高新苑 2室2厅 550万,550万,2室2厅 | 105.06平米 | 南 | 精装 | 低楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_YW4alhGmw_1.jpg.296x216.jpg
20200208,浦东,高行,绿地 南北通大阳台 户型，房东一手买进的，诚意出售,475万,2室2厅 | 88.16平米 | 南 | 毛坯 | 低楼层(共16层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-98767f5d-b48f-4f2d-93d8-144e75f23565.png.296x216.jpg
20200208,浦东,高行,一手动迁税费少  小区南北大两房，户型正气,434万,2室2厅 | 89.51平米 | 南 | 毛坯 | 高楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VKdx6asgq_1.jpg.296x216.jpg
20200208,浦东,高行,房子满五唯一，业主诚意出售，看房方便，产权清晰,240万,1室1厅 | 45.09平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UClU1cdWB_1.jpg.296x216.jpg
20200208,浦东,高行,税费低，中间楼层，看房方便，业主诚心出售,240万,1室1厅 | 49.64平米 | 南 | 毛坯 | 中楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_vjvPlq1C5_1.jpg.296x216.jpg
20200208,浦东,高行,近地铁  好楼层，诚心出售，价格有空间。,250万,2室1厅 | 63.81平米 | 南 | 简装 | 中楼层(共7层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3b06ba82-e96c-4f69-8a27-26c6ad44ffc2.jpg.296x216.jpg
20200208,浦东,高行,登高望远，一览众山，一手动迁，卧厅朝南光线好。,262万,1室1厅 | 54.19平米 | 南 | 毛坯 | 高楼层(共14层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_sSyH3ivUm_1.jpg.296x216.jpg
20200208,浦东,高行,自住装修，中间楼层，满两年税费少，临河景观房,320万,2室1厅 | 64.07平米 | 南 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3808cb72-e2bc-42a8-b717-581a56668710.jpg.296x216.jpg
20200208,浦东,高行,自住装修  双南两房 一手动迁,315万,2室1厅 | 80.95平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d5c1b5ec-a612-422d-bd0b-939b2bb7978c.jpg.296x216.jpg
20200208,浦东,高行,一手动迁税费少，有电梯，户型好，业主诚心出售。,498万,2室2厅 | 105.97平米 | 南 北 | 简装 | 中楼层(共14层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-096082d6-4e9c-4c1a-9c24-409de8c52471.jpg.296x216.jpg
20200208,浦东,高行,小区还镜好，精装修，拎包入住，房子户型方正,470万,2室2厅 | 97.71平米 | 南 | 精装 | 中楼层(共14层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7mUDWfRQB_1.jpg.296x216.jpg
20200208,浦东,高行,精装修 业主自住 采光好 视野开阔,210万,1室1厅 | 48.24平米 | 南 | 简装 | 高楼层(共7层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6ac15ea0-4c55-4090-bf6f-25d02ba705ef.jpg.296x216.jpg
20200208,浦东,高行,双南与阳光作伴，户型方正，享受幸福生活。房主自荐,480万,2室2厅 | 105.97平米 | 南 | 精装 | 低楼层(共14层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-740cc510-11ec-4441-bfc0-b8418f53dcb1.jpg.296x216.jpg
20200208,浦东,高行,正南一房，客厅卧室都朝南，采光适宜。,270万,1室1厅 | 54.48平米 | 南 | 其他 | 中楼层(共14层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_YYlGko4cH_1.jpg.296x216.jpg
20200208,浦东,高行,华高新苑，商品房，小户型，近地铁，看房方便,748万,4室2厅 | 166.61平米 | 东 | 精装 | 高楼层(共5层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1b8229dd-dd0b-402e-a8e3-21e296f07757.jpg.296x216.jpg
20200208,浦东,高行,大C7两房100平方，位置安静，阳光充足，南北通户型佳,540万,2室1厅 | 100.29平米 | 南 北 | 精装 | 低楼层(共16层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5a36d13e-a4f7-427b-a34c-96b411b423fd.jpg.296x216.jpg
20200208,浦东,高行,2014年房龄，采光无遮挡，南北小两房，看房方便！,465万,2室1厅 | 88.53平米 | 南 | 简装 | 低楼层(共14层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-4bd25012-139b-4155-b0a2-d39c8d7b36cf.png.296x216.jpg
20200208,浦东,高行,精装修自住南北通透三房两厅两卫 纯商品房小区,560万,3室2厅 | 118平米 | 南 北 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f132e595-f1c7-4476-b3f0-a86ca16b54ab.jpg.296x216.jpg
20200208,浦东,高行,罕见小三房，精装全配拎包即住，楼层好，位置好,520万,3室1厅 | 98平米 | 南 北 | 精装 | 中楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-9abca580-3266-4fa9-829c-9ed998031cf7.png.296x216.jpg
20200208,浦东,高行,中间位置，水景旁边，大转角飘窗，有地下室15平左右,590万,3室2厅 | 125.84平米 | 南 | 精装 | 低楼层(共11层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-34290083-eda2-4029-9ff1-9e826323f1bf.jpg.296x216.jpg
20200208,浦东,高行,此房总价低 位置好  一手动迁税费少 业主诚意出售,427万,3室1厅 | 90.71平米 | 南 | 简装 | 低楼层(共14层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1786a790-d9ba-4780-a2d3-9c1d16f8900f.jpg.296x216.jpg
20200208,浦东,高行,小区The cheapest两房，全明+婚房装修，你不来就没了,480万,2室1厅 | 91.6平米 | 南 | 精装 | 高楼层(共16层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fdcafb94-b86f-4043-8afa-3158bdde72c0.jpg.296x216.jpg
20200208,浦东,高行,满五年唯一无个税，前方花园位置，采光无遮挡。,558万,3室2厅 | 121.09平米 | 南 | 毛坯 | 中楼层(共5层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5lwYcYuix_1.jpg.296x216.jpg
20200208,浦东,高行,精装电梯大三房， 满五唯一税费少，两梯两户，高楼层房主自荐,626万,3室2厅 | 135.09平米 | 南 北 | 简装 | 高楼层(共17层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_uXn2JrFqe_1.jpg.296x216.jpg
20200208,浦东,高行,精品装修 卧室两南一北 只等有缘人,585万,3室2厅 | 121.09平米 | 暂无数据 | 精装 | 中楼层(共5层) | 1998年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20171119/baadbf62-13a8-4746-bc24-7c8d8d000cae.jpg.296x216.jpg
20200208,浦东,高行,南北二房，电梯7楼，中间楼层景观房，视野宽阔,490万,2室2厅 | 97.71平米 | 南 北 | 精装 | 中楼层(共14层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e8528445-3424-46db-bbc3-ee9d94ede76c.jpg.296x216.jpg
20200208,浦东,高行,两套三套打通合成一体，大平层风范+外加地下室！,1420万,6室4厅 | 426.72平米 | 南 | 精装 | 低楼层(共16层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/c45308e7-8d7f-414d-ac0f-ffa30bcd9b9a.jpg.296x216.jpg
20200208,浦东,高行,一楼底复，可做会所，两套三房打通426.72平方！,1420万,6室4厅 | 426.72平米 | 南 | 精装 | 低楼层(共16层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/542ee2f1-1f3c-4745-b5ed-8957f07d4610.jpg.296x216.jpg
20200208,浦东,高行,钥匙房，看房方便+二期独栋+毛坯+挑空客厅,2350万,4室2厅 | 300平米 | 北 | 毛坯 | 2层 | 2003年建 | 板楼 | 独栋别墅,https://image1.ljcdn.com/shfdfs-image/20161028/2447749d-36ab-4fbd-a077-d1a6f2025ed6.jpg.296x216.jpg
20200208,浦东,高行,自住装修大三房，中间楼层，格局方正，诚意出售,600万,3室2厅 | 137.96平米 | 南 | 精装 | 低楼层(共17层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/f841db9e-bf67-424a-a52c-727fd06ca276.jpg.296x216.jpg
20200208,浦东,高行,绿地崴廉公寓大面积四房户型方正地下室使用面积2*面积房主自荐,888万,4室2厅 | 278.36平米 | 南 | 简装 | 低楼层(共16层) | 2007年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20151010/f3be790c-b274-439a-b7e7-861ed0b87360.jpg.296x216.jpg
20200208,浦东,高行,新高苑 南北通两房 得房率高 楼层好 随时可看  诚心卖,430万,2室2厅 | 85平米 | 南 | 精装 | 中楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-ab2cec95-5dbb-40cb-b69e-44fd316ff7d0.png.296x216.jpg
20200208,浦东,高行,12号独栋别墅，花园600，房东诚心，低于市场300万,1900万,4室2厅 | 291平米 | 暂无数据 | 精装 | 2层 | 2002年建 | 板楼 | 独栋别墅,https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadf4ef3d9f-2bd7-4892-b29c-37924146429e.jpg.296x216.jpg
20200208,浦东,高行,满五唯一，南进门南花园，花园集中，屋况次新房。,1880万,5室3厅 | 287平米 | 北 | 精装 | 2层 | 2002年建 | 板楼 | 独栋别墅,https://image1.ljcdn.com/shfdfs-image/20160121/e0a6c76e-eef8-48e6-8218-911cd847d217.jpg.296x216.jpg
20200208,浦东,高行,房型正气 ， 精装一房 楼层好。,260万,1室1厅 | 54.05平米 | 南 | 精装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadf4c06f34-fbe9-4677-94e1-d7df0e58705b.jpg.296x216.jpg
20200208,浦东,高行,出门就是地铁 业主诚心 看房方便,335万,2室1厅 | 81.38平米 | 南 | 简装 | 高楼层(共7层) | 1998年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20170615/035e71f3-6518-4869-b6a5-04b1f308b716.jpg.296x216.jpg
