20200208,宝山,大华,近小区花园位置   满五唯一   户型正气必看好房,460万,2室2厅 | 88.38平米 | 南 北 | 精装 | 中楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-328a7051-736b-4f0f-b987-4c8abcc2d6c3.jpg.296x216.jpg
20200208,宝山,大华,南北大一房，户型正气，视野开阔采光好，车位充足。,375万,1室1厅 | 68.87平米 | 南 | 精装 | 中楼层(共16层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_80OAGTAVd_1.jpg.296x216.jpg
20200208,宝山,大华,大华公园世家康华苑 3室3厅 650万,650万,3室3厅 | 151.51平米 | 南 北 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wHFrvYPb9_1.jpg.296x216.jpg
20200208,宝山,大华,原始户型3房2卫，硬 装地暖，拎包入住,580万,3室2厅 | 106.85平米 | 南 西 北 | 精装 | 低楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_n2zeZyrjR_1.jpg.296x216.jpg
20200208,宝山,大华,南北通一楼复式，主卧带阳台，附室外花园，满二税少,805万,3室2厅 | 176.94平米 | 南 北 | 简装 | 低楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4YUVfbf46_1.jpg.296x216.jpg
20200208,宝山,大华,电梯大两房，小区中间，南北户型，四阳台，视野好,565万,2室2厅 | 113.62平米 | 南 北 | 简装 | 中楼层(共11层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Iok6xbqXT_1.jpg.296x216.jpg
20200208,宝山,大华,中环旁次新小区，电梯高区全南两房，尽享暖阳,485万,2室2厅 | 87.55平米 | 南 | 毛坯 | 高楼层(共14层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4p02uOjMW_1.jpg.296x216.jpg
20200208,宝山,大华,小区中间位置  南北通大三房  满五年税少  房东诚售,600万,3室2厅 | 124.12平米 | 南 | 简装 | 低楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jtAteYcsp_1.jpg.296x216.jpg
20200208,宝山,大华,别墅小区，高层小复式，高品质环境，小区交通便利房主自荐,455万,2室2厅 | 65.52平米 | 南 | 精装 | 中楼层(共10层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_RtoXzpO51_1.jpg.296x216.jpg
20200208,宝山,大华,电梯顶复，看东方明珠，跳空大厅，南北大露台，房主自荐,1080万,5室2厅 | 223.7平米 | 南 | 精装 | 高楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qDv6afq18_1.jpg.296x216.jpg
20200208,宝山,大华,康泰新城 3室2厅 700万,700万,3室2厅 | 145.83平米 | 南 | 精装 | 低楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e1b65c56-e0ad-486c-beda-be4414cb5308.jpg.296x216.jpg
20200208,宝山,大华,单价低   正对花园位置   居住舒适,670万,3室2厅 | 151.01平米 | 南 北 | 简装 | 中楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2b15a705-1028-495b-bd0f-cc5d60643f7c.jpg.296x216.jpg
20200208,宝山,大华,满五唯一 税费少 采光好 拎包入住 看房方便,670万,3室2厅 | 116.6平米 | 南 | 精装 | 中楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jzuwjX3lH_1.jpg.296x216.jpg
20200208,宝山,大华,带有产权车位，南北通户型正，精装修大两房房主自荐,515万,2室2厅 | 96.71平米 | 南 北 | 精装 | 低楼层(共13层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LgHKOzdRo_1.jpg.296x216.jpg
20200208,宝山,大华,满五年唯一  位置好 楼层佳 户型方 正南北通,583万,2室2厅 | 100.55平米 | 南 | 简装 | 低楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1ZXBl0kuW_1.jpg.296x216.jpg
20200208,宝山,大华,近地铁双南户型，诚意出售，看房方便,289万,2室1厅 | 61.88平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9iwEiW6Iz_1.jpg.296x216.jpg
20200208,宝山,大华,电梯高区 次顶楼 房型方正  一梯二户 位置好 价格可谈,530万,2室2厅 | 95.14平米 | 南 北 | 精装 | 高楼层(共14层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Hw9O0aSyA_1.jpg.296x216.jpg
20200208,宝山,大华,步行150米地铁口，中间楼层，看房方便,220万,1室1厅 | 47.34平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_px10xAd64_1.jpg.296x216.jpg
20200208,宝山,大华,水岸华府南北通2+1小三房 精装修 电梯高层 有车位房主自荐,620万,3室2厅 | 105.34平米 | 南 | 精装 | 高楼层(共14层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_HrM4QMI1x_1.jpg.296x216.jpg
20200208,宝山,大华,满/五/唯/一 无个税，产权清晰 无抵押房主自荐,558万,2室2厅 | 91.12平米 | 南 北 | 精装 | 高楼层(共18层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_vYURgFgtj_1.jpg.296x216.jpg
20200208,宝山,大华,别墅社区，闹中取静，高楼层大一房，高品质社区。,440万,1室2厅 | 68.27平米 | 南 | 精装 | 中楼层(共10层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_lYmTkB3jl_1.jpg.296x216.jpg
20200208,宝山,大华,行知后花园，高品质社区，业主自住为主，版式南北通,540万,2室2厅 | 98.56平米 | 南 北 | 精装 | 低楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_NbXXXWnnR_1.jpg.296x216.jpg
20200208,宝山,大华,位置好精装修，保养如新，南北通户，中楼层，税费少,485万,2室2厅 | 91.83平米 | 南 | 精装 | 中楼层(共5层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_iQEgEBk46_1.jpg.296x216.jpg
20200208,宝山,大华,小区唯一在电梯复式，前方无遮挡，采光从早到晚,435万,1室2厅 | 74.13平米 | 南 | 精装 | 中楼层(共14层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_N2xnRGzuu_2.jpg.296x216.jpg
20200208,宝山,大华,家有梧桐。凤凰自来，南北通户型，精装修诚意出售房主自荐,576万,2室2厅 | 103.54平米 | 南 北 | 精装 | 中楼层(共14层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0lE9HeQUc_2.jpg.296x216.jpg
20200208,宝山,大华,底总价，南北通三房，看房方便，满五年，诚意出售房主自荐,515万,3室2厅 | 98.34平米 | 南 北 | 精装 | 低楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VCmrDHuQo_1.jpg.296x216.jpg
20200208,宝山,大华,带大阳台，视野开阔，行知路地铁站上面全明两房,385万,2室1厅 | 75.87平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zdtx1ZWNJ_1.jpg.296x216.jpg
20200208,宝山,大华,文华苑(宝山) 2室1厅 410万,410万,2室1厅 | 82.4平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ucbGNZsJk_1.jpg.296x216.jpg
20200208,宝山,大华,远景佳苑三期南北通精装修三房，二楼，楼间距宽,630万,3室2厅 | 103.25平米 | 南 | 精装 | 低楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jBiJy4V0l_1.jpg.296x216.jpg
20200208,宝山,大华,金地物业 少有顶复  婚房装修 利用率高 买一层加一层,445万,2室2厅 | 70.28平米 | 东 西 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GYdiOJOKX_1.jpg.296x216.jpg
20200208,宝山,大华,近小区花园位置 满五唯一，看房方便，前后无遮挡,475万,2室1厅 | 88.19平米 | 南 北 | 精装 | 中楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f7f46c95-a00b-476a-a741-af6891cc3460.jpg.296x216.jpg
20200208,宝山,大华,满五唯一，双南户型，精装修拎包入住，采光充足,385万,2室1厅 | 72.66平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Y6TcByU4x_1.jpg.296x216.jpg
20200208,宝山,大华,铂金华府一楼温馨复式楼 附带40平花园 精装四房,850万,4室3厅 | 166.64平米 | 南 北 | 精装 | 低楼层(共14层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bdbbcf49-e031-45ec-bd89-06c0f917a4a7.jpg.296x216.jpg
20200208,宝山,大华,钥匙房，价格空间大，主卧朝南，采光无遮挡,215万,1室1厅 | 47.33平米 | 南 北 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-874dae74-723a-4930-9edf-b9df295378ed.jpg.296x216.jpg
20200208,宝山,大华,满五唯一  近小区花园位置   采光好,430万,2室2厅 | 88.49平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-aa8019ec-bf0c-44fd-96d1-bedcedc4c94d.jpg.296x216.jpg
20200208,宝山,大华,一楼复式+30平室外花园+2010年婚房装修 看房方便,815万,3室2厅 | 148.95平米 | 南 | 精装 | 低楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e7852b0e-964c-4386-96f5-358232652344.jpg.296x216.jpg
20200208,宝山,大华,靠公园随时观景 三开间朝南光线好 装修保养佳,635万,3室2厅 | 129.51平米 | 南 | 精装 | 低楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d202bc26-8dd2-4852-957e-75a09c63f53f.jpg.296x216.jpg
20200208,宝山,大华,紧靠公园，南北通三房户型。多层好楼层。,738万,3室2厅 | 128.25平米 | 南 | 精装 | 中楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c4b2ac39-42c0-442d-8265-5ada9c21b520.jpg.296x216.jpg
20200208,宝山,大华,视野好，中间排，中间楼层，小区要装电梯，预购从速,336万,2室1厅 | 66.18平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-abfec8fb-9836-4fd5-a0fc-90f693f755a9.jpg.296x216.jpg
20200208,宝山,大华,精装大三房，满五唯一，小区品质高，正对行知公园,570万,3室2厅 | 121.9平米 | 南 | 精装 | 低楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a4e42f43-8d1a-473a-919d-0cafb627a98f.jpg.296x216.jpg
20200208,宝山,大华,中环边，jin地铁，电梯复式、高品质小区，环境优美,430万,2室2厅 | 63.61平米 | 南 | 精装 | 中楼层(共8层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9a686979-43fd-4184-b7bd-cd9f6c7bf079.jpg.296x216.jpg
20200208,宝山,大华,此房满五年 南北通带电梯飞机户型，居家精装，诚售,759万,3室2厅 | 115.6平米 | 南 北 | 精装 | 中楼层(共8层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_nh1Osr1BR_1.jpg.296x216.jpg
20200208,宝山,大华,金地物业 经典南北大两房 电梯高区 主客两卫,585万,2室2厅 | 103.88平米 | 南 北 | 毛坯 | 高楼层(共12层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jGSlVxQwM_2.jpg.296x216.jpg
20200208,宝山,大华,文华苑(宝山) 1室1厅 325万,325万,1室1厅 | 56.73平米 | 南 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VIlnMplNo_1.jpg.296x216.jpg
20200208,宝山,大华,顶楼复式 大露台 南北通 精装修中秧空调 可用面积180,649万,4室3厅 | 117.92平米 | 南 | 精装 | 高楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0083afda-92e3-4d53-bd04-90bd1855c050.jpg.296x216.jpg
20200208,宝山,大华,买进价高，装修保养好。带电梯高区很有吸引力,920万,5室2厅 | 173.14平米 | 南 | 精装 | 高楼层(共11层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1e5552de-7629-4eac-aef5-1f4b33929543.jpg.296x216.jpg
20200208,宝山,大华,水岸电梯南北通三房，满五年个税房东承担 栋距开阔,780万,3室2厅 | 123.24平米 | 南 北 | 精装 | 18层 | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6efb3b22-aa19-4815-ac4e-00e79603f9dd.jpg.296x216.jpg
20200208,宝山,大华,双南卧室，采光充足，有钥匙看房方便，靠大华商圈！,308万,2室1厅 | 66.47平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4fcec520-2abb-4944-a4b0-199433f5f856.jpg.296x216.jpg
20200208,宝山,大华,三阳台+满5唯一+双卫生间+星价比高，视野开阔房主自荐,648万,3室2厅 | 129.53平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4bce944c-a689-4e44-9825-63525a5d5c9f.jpg.296x216.jpg
20200208,宝山,大华,水岸蓝桥  一楼复式房，面积大，空间灵活，急售,720万,3室2厅 | 166.79平米 | 西 南 | 精装 | 低楼层(共9层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4519dc93-50bd-484f-a87c-8849694c0d4a.jpg.296x216.jpg
20200208,宝山,大华,大华二村 2室1厅 350万,350万,2室1厅 | 67.63平米 | 南 北 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XKz3JecPX_1.jpg.296x216.jpg
20200208,宝山,大华,新出好房，双南中层采光好，近商圈，不靠马路，速来,332万,2室1厅 | 66.47平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_S3MsoqXkW_1.jpg.296x216.jpg
20200208,宝山,大华,满五年唯一 税少 精装修 电梯高区 产权清晰 诚意出售,495万,1室2厅 | 73.47平米 | 南 | 精装 | 中楼层(共18层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-cb801258-4c17-42cf-a248-70c293bb703a.jpg.296x216.jpg
20200208,宝山,大华,中间楼层，户型好南北通。全明两房，交通便利,530万,2室2厅 | 94.57平米 | 南 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c98359b3-5367-4d1b-8d7e-ac1aa894730e.jpg.296x216.jpg
20200208,宝山,大华,南北双阳台，楼层好，采光通风好,800万,3室2厅 | 119.38平米 | 南 | 简装 | 高楼层(共11层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f2e7cfc9-8db8-4b55-a3a6-0a1e18145a5d.jpg.296x216.jpg
20200208,宝山,大华,电梯房，满五唯一，诚意出售，采光好视野开阔房主自荐,660万,3室2厅 | 127.87平米 | 南 | 简装 | 高楼层(共8层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2aJVjTXN7_1.jpg.296x216.jpg
20200208,宝山,大华,电梯大两房 户型正气 南北双阳台 金地物业 有车位可选,496万,2室2厅 | 104.72平米 | 南 | 简装 | 低楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_eoaOu4STd_1.jpg.296x216.jpg
20200208,宝山,大华,板式飞机户型，一梯两户得房率高。房主自荐,628万,3室2厅 | 102.5平米 | 南 北 | 精装 | 低楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SgwBTjUwA_1.jpg.296x216.jpg
20200208,宝山,大华,品质小区   位置好   精心设计  婚房装修   税费少,630万,3室2厅 | 125.41平米 | 南 | 精装 | 中楼层(共10层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_f7LnOPV47_1.jpg.296x216.jpg
20200208,宝山,大华,水岸蓝桥 品质小区 精装修 交通方便,600万,3室2厅 | 119.57平米 | 南 西 | 精装 | 低楼层(共11层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_d4gjPPDms_1.jpg.296x216.jpg
20200208,宝山,大华,家有梧桐。凤凰自来，税费少、南北通户型房东诚意出售,585万,2室2厅 | 136.75平米 | 南 北 | 精装 | 低楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ufNprfnvA_1.jpg.296x216.jpg
20200208,宝山,大华,南北通透大三房，电梯中高区，采光通风好,719万,3室2厅 | 124.07平米 | 南 北 | 精装 | 中楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XSGDYNw3k_2.jpg.296x216.jpg
20200208,宝山,大华,南北通双阳台 刚需三房 采光好 满五唯一 居家自住,500万,3室2厅 | 105.1平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Mw2H4HXwv_1.jpg.296x216.jpg
20200208,宝山,大华,2016年精装三房 带产权地下车位 二手买进 税少,780万,3室2厅 | 110.42平米 | 南 西 | 精装 | 低楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Md73OFK8d_1.jpg.296x216.jpg
20200208,宝山,大华,大华公园世家康华苑 4室2厅 630万,630万,4室2厅 | 134.04平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9wGouhZFM_2.jpg.296x216.jpg
20200208,宝山,大华,此房位于小区花园位置，精装修三房，您值得一看！房主自荐,628万,3室2厅 | 117.27平米 | 西南 | 精装 | 低楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WEeFJrTo8_1.jpg.296x216.jpg
20200208,宝山,大华,大华公园世家康华苑 4室2厅 1180万,1180万,4室2厅 | 208.19平米 | 南 | 精装 | 高楼层(共18层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JUQXe4Lrb_1.jpg.296x216.jpg
20200208,宝山,大华,中环板块 成熟商圈  三面视野花园 两卫，采光视野好,635万,3室2厅 | 119.26平米 | 南 | 精装 | 中楼层(共14层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_gKd59I8gv_1.jpg.296x216.jpg
20200208,宝山,大华,电梯顶复，视野开阔，户型佳，位置好，诚售,1100万,5室3厅 | 255.02平米 | 南 | 精装 | 高楼层(共11层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_aNmTTiTfL_2.jpg.296x216.jpg
20200208,宝山,大华,高区经典1改2，采光无 di，房屋温馨怡人，期待有缘人,368万,2室1厅 | 67.9平米 | 南 北 | 精装 | 高楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_3itK19RZJ_1.jpg.296x216.jpg
20200208,宝山,大华,采光无遮挡，精装修，税费少。双南大两房,405万,2室2厅 | 86.35平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_YkKVstQYD_1.jpg.296x216.jpg
20200208,宝山,大华,12年次新房，全南户型，带花园！！,475万,2室2厅 | 83.69平米 | 南 | 毛坯 | 18层 | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_HqRyNN8Zm_1.jpg.296x216.jpg
20200208,宝山,大华,朝南双阳台，小区花园位置，精装修，带家具家电！,540万,3室2厅 | 102.39平米 | 南 | 精装 | 低楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_oUDiiYcyy_1.jpg.296x216.jpg
20200208,宝山,大华,南北通两房 买进价格高 精装修 拎包入住,460万,2室2厅 | 87.12平米 | 南 北 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_gqGlUjFh2_1.jpg.296x216.jpg
20200208,宝山,大华,电梯南北通户型 前面无遮挡 配套设施齐全 交通便利,510万,2室2厅 | 96.57平米 | 南 北 | 简装 | 低楼层(共14层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d6af2980-183b-4750-a4cb-b0f28d2da3d0.jpg.296x216.jpg
20200208,宝山,大华,大华明星社区，精装自住，诚意出售，看房方便,598万,2室2厅 | 87.43平米 | 南 西 北 | 精装 | 低楼层(共12层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a2de690a-04cf-4dab-89d0-abbac9a66d85.jpg.296x216.jpg
20200208,宝山,大华,电梯花园洋房 楼中楼复式 精装 满五唯一,518万,2室2厅 | 89.6平米 | 南 | 简装 | 中楼层(共12层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e5f7e8d9-88dc-4442-98ce-9f5da3208cf5.jpg.296x216.jpg
20200208,宝山,大华,2013年次新房，精装电梯房，有车位，业主诚心出售。,780万,3室2厅 | 132.21平米 | 南 | 精装 | 18层 | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4229a29c-3b6b-410f-906a-1546628d09bd.jpg.296x216.jpg
20200208,宝山,大华,全明户型 地铁站上面 品质小区 看房方便,299万,1室1厅 | 54.63平米 | 南 | 毛坯 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wTgqcdngY_1.jpg.296x216.jpg
20200208,宝山,大华,电梯高区 13年房子 楼层位置佳，朝南双阳台，价格可谈,555万,2室2厅 | 95.17平米 | 南 | 简装 | 中楼层(共14层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_sPnDqICru_1.jpg.296x216.jpg
20200208,宝山,大华,大华低总价两房，全明户型，采光好，有钥匙,280万,2室1厅 | 61.7平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IaFKXtBMg_1.jpg.296x216.jpg
20200208,宝山,大华,有钥匙随时看，小区位置好，户型方正，业主信任！,302万,2室1厅 | 68.25平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ye5pIlGBt_2.jpg.296x216.jpg
20200208,宝山,大华,单价zui di 的三楼 了解价格空间找维护人,376万,3室1厅 | 79.33平米 | 南 北 | 毛坯 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7ki7BwXfy_1.jpg.296x216.jpg
20200208,宝山,大华,此房没增值税，边套全明，低楼层适合老人，有钥匙,455万,3室1厅 | 83.57平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8XWsIAfBQ_1.jpg.296x216.jpg
20200208,宝山,大华,小区一楼，出行方便，配套齐全。,243万,1室1厅 | 47.02平米 | 东南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VLkVKK0uL_1.jpg.296x216.jpg
20200208,宝山,大华,电梯高区三房，精装修，户型全明，一梯两户，低总价,625万,3室2厅 | 114.98平米 | 南 北 | 精装 | 中楼层(共14层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_voLMFQjuB_1.jpg.296x216.jpg
20200208,宝山,大华,精装南北通 全明两房 采光好 适合养花草 满五唯一税少,475万,2室2厅 | 85.13平米 | 南 北 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c200571a-3ddf-4148-9112-7f22d3d1bc92.jpg.296x216.jpg
20200208,宝山,大华,大华三村二街坊 2室1厅 390万,390万,2室1厅 | 71.05平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KRhL8Woql_2.jpg.296x216.jpg
20200208,宝山,大华,近商圈，楼层采光好，厨卫全明，南北通风，干净清爽,295万,2室1厅 | 64.28平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-99c5291e-e18a-45b9-a776-73a44c1aa1da.jpg.296x216.jpg
20200208,宝山,大华,嘉华苑双南2居+4楼采光好+满五唯一税费少+近7号线,379万,2室1厅 | 64.87平米 | 南 北 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d34963f1-19ee-4249-a9b8-63b623945e99.jpg.296x216.jpg
20200208,宝山,大华,高楼层，精装修，全明两房，业主诚意卖,480万,2室2厅 | 84.12平米 | 东南 | 精装 | 高楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-68848e55-eda9-4403-9537-cad263bbab09.jpg.296x216.jpg
20200208,宝山,大华,满五不唯一，精装修可拎包入住，诚意出售,353万,2室1厅 | 66.67平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_TvFrteHIp_1.jpg.296x216.jpg
20200208,宝山,大华,七号线大华三路擦肩而过，满五唯一，业主诚售！,269万,1室1厅 | 53.16平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-eab75737-817a-4c17-b6ce-862c06e089b4.jpg.296x216.jpg
20200208,宝山,大华,滨江雅苑就这一套一房在售，位置好，采光好，户型正,365万,1室1厅 | 58.34平米 | 南 北 | 精装 | 低楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PWXTaQ3gW_1.jpg.296x216.jpg
20200208,宝山,大华,诚意出售！南北通透！行知公园隔壁，品质高，环境好,475万,2室1厅 | 84.88平米 | 南 北 | 简装 | 低楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_s7f738B1p_1.jpg.296x216.jpg
20200208,宝山,大华,此房满五唯一，精装修的次顶楼，适合一家三口居住,340万,2室1厅 | 63.64平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qoKjan79e_1.jpg.296x216.jpg
20200208,宝山,大华,新  全明房源 地铁近 配套成熟 南北直通,265万,1室1厅 | 51平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_xAOx8ni87_1.jpg.296x216.jpg
20200208,宝山,大华,中环边次新小区，金地物业  精装拎包可住 满五年唯一,465万,2室2厅 | 81.9平米 | 西北 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ofA9czfwW_1.jpg.296x216.jpg
20200208,宝山,大华,中环一号(二期) 3室2厅 560万,560万,3室2厅 | 90.75平米 | 南 北 | 精装 | 18层 | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_vGwhh5mGg_1.jpg.296x216.jpg
20200208,宝山,大华,多层3楼，宜居一房，采光充足，拎包入住房主自荐,345万,1室1厅 | 57.74平米 | 南 | 精装 | 中楼层(共4层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_u8Tq88Igx_1.jpg.296x216.jpg
